matcher,source_iri,target_iri,confidence
AML,https://example.org/mod-sbd#records,https://example.org/ontology/sora#records,1.0
AML,https://example.org/mod-sbd#monitors,https://example.org/ontology/sora#monitors,1.0
AML,https://example.org/mod-sbd#Component,https://example.org/ontology/sora#Component,0.99
AML,https://example.org/mod-sbd#Standard,https://example.org/ontology/sora#Standard,0.9899
AML,https://example.org/mod-sbd#HumanError,https://example.org/ontology/sora#HumanError,0.9878
AML,https://example.org/mod-sbd#Programme,https://example.org/ontology/sora#Programme,0.9873
AML,https://example.org/mod-sbd#Service,https://example.org/ontology/sora#Service,0.9856
AML,https://example.org/mod-sbd#Organisation,https://example.org/ontology/sora#Organisation,0.9817
AML,https://example.org/mod-sbd#System,https://example.org/ontology/sora#System,0.9801
AML,https://example.org/mod-sbd#Activity,https://example.org/ontology/sora#Activity,0.9801
AML,https://example.org/mod-sbd#InformationArtifact,https://example.org/ontology/sora#InformationArtifact,0.9801
AML,https://example.org/mod-sbd#SecurityProperty,https://example.org/ontology/sora#SecurityProperty,0.9801
AML,https://example.org/mod-sbd#CyberRisk,https://example.org/ontology/sora#CyberRisk,0.9801
AML,https://example.org/mod-sbd#Data,https://example.org/ontology/sora#Data,0.9801
AML,https://example.org/mod-sbd#LifecycleContext,https://example.org/ontology/sora#LifecycleContext,0.9801
AML,https://example.org/mod-sbd#SecurityPrincipleOrPractice,https://example.org/ontology/sora#SecurityPrincipleOrPractice,0.9801
AML,https://example.org/mod-sbd#SecurityMechanism,https://example.org/ontology/sora#SecurityMechanism,0.9801
AML,https://example.org/mod-sbd#Risk,https://example.org/ontology/sora#Risk,0.9801
AML,https://example.org/mod-sbd#requiresActivity,https://example.org/ontology/sora#requiresActivityType,0.9323
AML,https://example.org/mod-sbd#hasSourceCriterion,https://example.org/ontology/sora#hasCriterion,0.9142
AML,https://example.org/mod-sbd#appliesTo,https://example.org/ontology/sora#appliesToActorRole,0.8396
AML,https://example.org/mod-sbd#performs,https://example.org/ontology/sora#performsActivity,0.8381
AML,https://example.org/mod-sbd#requires,https://example.org/ontology/sora#requiresEvidence,0.8381
AML,https://example.org/mod-sbd#requiresSecurityPractice,https://example.org/ontology/sora#requiresSecurityPrinciple,0.8338
AML,https://example.org/mod-sbd#derivedFrom,https://example.org/ontology/sora#derivedFromSourceDocument,0.8262
AML,https://example.org/mod-sbd#requiresSecurityControl,https://example.org/ontology/sora#requiresSecurityMechanism,0.7964
AML,https://example.org/mod-sbd#belongsToPrinciple,https://example.org/ontology/sora#belongsToOSO,0.7825
AML,https://example.org/mod-sbd#addressesRiskConcept,https://example.org/ontology/sora#addresses,0.7715
AML,https://example.org/mod-sbd#CriticalData,https://example.org/ontology/sora#SafetyCriticalData,0.7239
AML,https://example.org/mod-sbd#Personnel,https://example.org/ontology/sora#Person,0.69
AML,https://example.org/mod-sbd#uses,https://example.org/ontology/sora#usesStandardOrMeans,0.6835
AML,https://example.org/mod-sbd#ThreatConcept,https://example.org/ontology/sora#RiskAndThreatConcept,0.6689
AML,https://example.org/mod-sbd#ThreatActorRole,https://example.org/ontology/sora#ActorRole,0.6531
AML,https://example.org/mod-sbd#OperationalContext,https://example.org/ontology/sora#OperationalContextElement,0.6496
AML,https://example.org/mod-sbd#Threat,https://example.org/ontology/sora#ThreatType,0.6457
AML,https://example.org/mod-sbd#partOfRequirement,https://example.org/ontology/sora#inheritsRequirement,0.6432
AML,https://example.org/mod-sbd#SecurityPlan,https://example.org/ontology/sora#Plan,0.6272
AML,https://example.org/mod-sbd#DesignStandard,https://example.org/ontology/sora#AirworthinessDesignStandard,0.6178
AML,https://example.org/mod-sbd#TrainingEvidence,https://example.org/ontology/sora#TrainingRecord,0.6124
AML,https://example.org/mod-sbd#contributesTo,https://example.org/ontology/sora#conformsTo,0.6047
BERTMap,https://example.org/mod-sbd#Activity,https://example.org/ontology/sora#Activity,1.0
BERTMap,https://example.org/mod-sbd#Component,https://example.org/ontology/sora#Component,1.0
BERTMap,https://example.org/mod-sbd#Data,https://example.org/ontology/sora#Data,1.0
BERTMap,https://example.org/mod-sbd#Organisation,https://example.org/ontology/sora#Organisation,1.0
BERTMap,https://example.org/mod-sbd#Programme,https://example.org/ontology/sora#Programme,1.0
BERTMap,https://example.org/mod-sbd#Risk,https://example.org/ontology/sora#Risk,1.0
BERTMap,https://example.org/mod-sbd#Service,https://example.org/ontology/sora#Service,1.0
BERTMap,https://example.org/mod-sbd#Standard,https://example.org/ontology/sora#Standard,1.0
BERTMap,https://example.org/mod-sbd#System,https://example.org/ontology/sora#System,1.0
