Evidence ID,Candidate Number,Matcher,Evaluation Scope,Entity Type,Source IRI,Source Entity,Source Definition,Target IRI,Target Entity,Target Definition,Candidate Rank,Similarity,Ranking Band,Reciprocal Best,Assurance Classification,Review Basis
LOGMAP-U-012,12,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#SinglePointOfFailure,Single Point of Failure,A dependency on a single role or resource whose loss could undermine recovery capability.,https://example.org/ontology/sora#Failure,Failure,A failure of the UAS or supporting system relevant to safety or assurance.,1,0.386184,low review priority,True,Partial,
LOGMAP-U-013,13,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#CriticalData,Critical Data,"Data whose location, movement and compromise effects require explicit understanding.",https://example.org/ontology/sora#SafetyCriticalData,SafetyCriticalData,Data whose compromise or unavailability can affect safety-critical activities.,1,0.373654,low review priority,True,Partial,
LOGMAP-U-014,14,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#OrganisationalContext,Organisational Context,The organisational circumstances on which programme cybersecurity strategy is based.,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture,The organisational culture supporting cyber safety and safety responsibilities.,1,0.368146,low review priority,True,Partial,
LOGMAP-U-015,15,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#SbDRequirement,SbD Requirement,An official MOD Secure by Design requirement represented with its source identifier and exact wording.,https://example.org/ontology/sora#SORARequirement,SORARequirement,An official claimable SORA obligation from the controlled requirements register.,1,0.36707,low review priority,True,Partial,
LOGMAP-U-016,16,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.,https://example.org/ontology/sora#SORAConcept,SORAConcept,Root grouping class for concepts required to represent the controlled SORA supplier-assurance domain.,1,0.362732,low review priority,True,Missing,
LOGMAP-U-017,17,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#SecurityAuthorisationDecision,Security Authorisation Decision,An informed decision by an accountable risk owner about the cyber risk held by a capability.,https://example.org/ontology/sora#OperationalAuthorisation,OperationalAuthorisation,An operational authorisation governing the approved UAS operation.,1,0.359111,low review priority,True,Weak,
LOGMAP-U-018,18,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#Threat,Threat,"A cyber threat or threat condition that informs risk appetite, assessment and security decisions.",https://example.org/ontology/sora#ThreatType,ThreatType,A controlled type of cybersecurity threat or attack referenced by the SORA Cyber Safety Extension.,1,0.3469,low review priority,True,Partial,
LOGMAP-U-019,19,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#ProgrammeBoard,Programme Board,"A governance body that reviews security, risk, performance or through-life management.",https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,1,0.319001,low review priority,True,Weak,
LOGMAP-U-020,20,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#RiskConcept,Risk Concept,"A threat, vulnerability, adverse event, risk, contributor or treatment concept relevant to SbD.",https://example.org/ontology/sora#RiskAndThreatConcept,RiskAndThreatConcept,"A risk, hazard, failure, threat, event, or condition relevant to SORA safety or cyber safety.",1,0.314615,low review priority,True,Partial,
LOGMAP-U-021,21,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,"An artefact whose primary purpose is to support, state, or demonstrate assurance.",1,0.307807,low review priority,True,Full,
LOGMAP-U-022,22,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#CybersecurityDecision,Cybersecurity Decision,"A decision relating to cybersecurity, risk or programme action informed by relevant information.",https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation,An industry-recognised cybersecurity accreditation.,1,0.307057,low review priority,True,Weak,
LOGMAP-U-023,23,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#SecurityControl,Security Control,"A control selected, monitored, reviewed or resourced to manage cybersecurity risk.",https://example.org/ontology/sora#ControlStation,ControlStation,A station used to control or supervise the unmanned aircraft.,1,0.299103,low review priority,True,Missing,
LOGMAP-U-024,24,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#SecurityManagementConcept,Security Management Concept,"An abstract management concept used to govern cybersecurity decisions, risk, controls or awareness.",https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept,An abstract cybersecurity or safety concept referenced by the SORA requirement set.,1,0.296892,low review priority,True,Partial,
LOGMAP-U-025,25,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#ExternalRequirement,"External Legal, Regulatory or Policy Requirement","A legal, regulatory or policy requirement external to the SbD requirement set that a programme must understand or consider.",https://example.org/ontology/sora#Policy,Policy,"A policy defining organisational expectations, controls, or responsibilities.",1,0.294344,low review priority,True,Partial,
LOGMAP-U-026,26,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,https://example.org/ontology/sora#ManagementSystem,ManagementSystem,A managed organisational system used to control an assurance-relevant domain.,1,0.284441,low review priority,True,Weak,
LOGMAP-U-027,27,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,1,0.283614,low review priority,True,Partial,
LOGMAP-U-028,28,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#InServiceStage,In-Service,"CADMID In-Service stage; used where operation, monitoring, incidents, backups, reporting or recovery indicate in-service relevance.",https://example.org/ontology/sora#ExternalService,ExternalService,A service external to the UAS/operator that supports the operation and may require assurance.,1,0.283387,low review priority,True,Missing,
LOGMAP-U-029,29,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#RiskManagementActivity,Risk Management Activity,"An activity used to identify, assess, treat, communicate or monitor cyber risk.",https://example.org/ontology/sora#ActivityType,ActivityType,"A controlled vocabulary entry identifying the kind of activity required or performed, such as audit, test, validation, monitoring, maintenance, or training.",1,0.275588,low review priority,True,Partial,
LOGMAP-U-030,30,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#SocioTechnicalRisk,Socio-Technical Risk,"Risk arising from interacting technical, human, organisational, policy and workflow factors.",https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset,"A technical system, component, communication element, or interface relevant to the SORA requirements.",1,0.270297,low review priority,True,Missing,
LOGMAP-U-031,31,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#DefenceStrategicObjective,Defence Strategic Objective,A Defence strategic objective to which delivered capabilities contribute.,https://example.org/ontology/sora#SafetyObjective,SafetyObjective,A safety objective or desired safety outcome referenced in SORA requirements.,1,0.266859,low review priority,True,Partial,
LOGMAP-U-032,32,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#PlanRiskResponse,Plan Risk Response,"Choose, plan, track and communicate a response to identified risk.",https://example.org/ontology/sora#EmergencyResponsePlan,EmergencyResponsePlan,The plan addressing hazardous secondary or escalating effects after loss of control.,1,0.26502,low review priority,True,Partial,
LOGMAP-U-033,33,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",https://example.org/ontology/sora#SecurityEventType,SecurityEventType,"A controlled type of security event or indicator, such as anomaly, suspicious activity, malicious activity, or security breach.",1,0.234702,very low textual similarity,True,Partial,
LOGMAP-U-034,34,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#EssentialSystem,Essential System,A system whose compromise or adverse technological change could affect essential programme functions.,https://example.org/ontology/sora#ITSystem,ITSystem,An information-technology system used by an applicant/operator or supporting organisation.,1,0.229001,very low textual similarity,True,Partial,
LOGMAP-U-035,35,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#Remediate,Remediate,Implement corrective actions that address weaknesses or improve resilience.,https://example.org/ontology/sora#RemovableMedia,RemovableMedia,Removable electronic media used in maintenance or data transfer.,1,0.212152,very low textual similarity,True,Missing,
LOGMAP-U-036,36,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#StakeholderRole,Stakeholder Role,"A role held by a party with needs, expectations, responsibilities or decision interests in the programme or capability.",https://example.org/ontology/sora#NotApplicablePlaceholder,NotApplicablePlaceholder,An official Low/Medium/High register placeholder whose source content is N/A or otherwise non-positive.,1,0.17362,very low textual similarity,True,Missing,
LOGMAP-U-037,37,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#ManufactureStage,Manufacture,CADMID Manufacture stage; used where component/design/manufacturing applicability is plausible.,https://example.org/ontology/sora#Manual,Manual,"A controlled manual describing information, procedures, or instructions.",1,0.148124,very low textual similarity,True,Missing,
LOGMAP-U-038,38,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#ProtectData,Protect Data,"Apply physical, technical or cryptographic protections to data.",https://example.org/ontology/sora#Datalink,Datalink,"A data communications link, which may be operational, safety-related, or payload-related depending on context.",1,0.146629,very low textual similarity,True,Missing,
LOGMAP-U-039,39,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#Integrity,Integrity,Protection of data from unauthorised or undetected alteration.,https://example.org/ontology/sora#Interface,Interface,An interface through which actors or systems interact.,1,0.126892,very low textual similarity,True,Missing,
LOGMAP-U-040,40,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#RiskDecisionInformation,Risk Decision Information,Information supplied to an accountable risk owner to support an informed risk decision.,https://example.org/ontology/sora#Declaration,Declaration,A declaration made by an applicant/operator as a permitted assurance method at lower assurance levels.,1,0.114072,very low textual similarity,True,Weak,
LOGMAP-U-041,41,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#SecureDevelopment,Secure Development,Integrate and monitor secure development practices throughout delivery.,https://example.org/ontology/sora#Equipment,Equipment,"Equipment relevant to manufacturing, operation, maintenance, or assurance.",1,0.111571,very low textual similarity,True,Missing,
LOGMAP-U-042,42,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#MaintainDataInventory,Maintain Data Inventory,Maintain and regularly review an inventory of programme data.,https://example.org/ontology/sora#MaintenanceLog,MaintenanceLog,A log recording maintenance performed on the UAS.,1,0.11047,very low textual similarity,True,Missing,
LOGMAP-U-043,43,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#SpecialistCyberResponderRole,Specialist Cyber Responder,A specialist external or internal role that augments cyber incident recovery capability.,https://example.org/ontology/sora#Checklist,Checklist,A checklist used to perform or evidence defined operational or assurance steps.,1,0.102825,very low textual similarity,True,Missing,
LOGMAP-U-044,44,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#DevelopSecurely,Develop Securely,Integrate secure practices throughout capability development and delivery.,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope,The designed or permitted flight envelope relevant to operational safety and protection functions.,1,0.089656,very low textual similarity,True,Missing,
LOGMAP-U-045,45,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#protects,protects,"Relates a security control, activity or security practice to the managed/protected object it protects.",https://example.org/ontology/sora#protects,protects,Links a requirement element or security mechanism to the security property or safety objective it protects.,1,0.746812,high review priority,True,Partial,
LOGMAP-U-046,46,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#records,records,"Relates an activity or organisational concept to a record, inventory or documented evidence item it creates or maintains.",https://example.org/ontology/sora#records,records,Links an actor or system to a Record or Log that it records or maintains.,1,0.72058,high review priority,True,Partial,
LOGMAP-U-047,47,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#monitors,monitors,"Relates a monitoring activity to risk, controls, remediation, capabilities, mechanisms or other monitored subjects.",https://example.org/ontology/sora#monitors,monitors,"Links an actual actor or system to a system, service, performance characteristic, condition, log, or threat context that it monitors.",1,0.680567,medium review priority,True,Partial,
LOGMAP-U-048,48,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#addressesRiskConcept,addresses risk concept,"Links an SbD requirement to a threat, vulnerability, risk, adverse event or related risk concept addressed by it.",https://example.org/ontology/sora#addresses,addresses,"Links a requirement element or activity to a risk, threat, hazard, failure, human error, event, or adverse condition that it addresses.",1,0.486065,medium review priority,True,Partial,
LOGMAP-U-049,49,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#hasSourceCriterion,has source criterion,Associates an SbD requirement with the official SbD criterion/evidence area from which it originates.,https://example.org/ontology/sora#hasCriterion,hasCriterion,Links a SORA requirement element to its source criterion.,1,0.421844,low review priority,True,Full,
LOGMAP-U-050,50,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#requiresActivity,requires activity,Indicates an activity that must be performed to satisfy an SbD requirement.,https://example.org/ontology/sora#requiresActivityType,requiresActivityType,States that satisfaction of a SORA requirement entails an activity or process of the specified type.,1,0.378894,low review priority,True,Partial,
LOGMAP-U-051,51,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#performs,performs,Associates an organisational concept with an activity it performs.,https://example.org/ontology/sora#performsActivity,performsActivity,"Links an actual actor to an actual performed assurance, operational, maintenance, training, audit, or other activity.",1,0.374568,low review priority,True,Partial,
LOGMAP-U-052,52,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#supports,supports,"Indicates that a process, control, activity, resource or managed object supports a function, decision, objective or other capability concern.",https://example.org/ontology/sora#supportedByEvidence,supportedByEvidence,Links an AssuranceClaim to evidence that supports the claim.,1,0.332836,low review priority,True,Missing,
LOGMAP-U-053,53,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#hasRole,has role,Associates a programme or organisation with a role that exists within its SbD governance or delivery context.,https://example.org/ontology/sora#hasRole,hasRole,Links a person or organisation to a source-defined SORA actor role it bears.,1,0.316592,low review priority,True,Partial,
LOGMAP-U-054,54,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#partOfRequirement,part of requirement,Links an atomic requirement clause candidate back to its official parent SbD requirement.,https://example.org/ontology/sora#inheritsRequirement,inheritsRequirement,Links a higher-robustness requirement element to lower-robustness requirement content explicitly inherited through 'Same as Low/Medium' constructs.,1,0.30862,low review priority,True,Missing,
LOGMAP-U-055,55,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#requiresSecurityPractice,requires security practice,Indicates a security principle or recognised practice required or expressed as an obligation by an SbD requirement.,https://example.org/ontology/sora#requiresSecurityPrinciple,requiresSecurityPrinciple,Links a requirement element to a named SORA/Cyber Extension security principle or practice it explicitly requires or incorporates.,1,0.305471,low review priority,True,Full,
LOGMAP-U-056,56,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#appliesTo,applies to,Relates an SbD requirement to a managed/protected object or organisational context to which the obligation applies.,https://example.org/ontology/sora#appliesToActorRole,appliesToActorRole,Associates a SORA requirement element with the source-defined actor role responsible for or directly subject to the requirement.,1,0.295498,low review priority,True,Partial,
LOGMAP-U-057,57,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#requires,requires,"General obligation relationship indicating that an SbD requirement calls for an activity, security practice, control or other domain element.",https://example.org/ontology/sora#requiresEvidence,requiresEvidence,"Links a SORA Assurance requirement to evidence that must be available, documented, provided, or produced.",1,0.292265,low review priority,True,Partial,
LOGMAP-U-058,58,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#derivedFrom,derived from,"Indicates that a concept, artefact or decision is derived from another source statement, assessment or artefact.",https://example.org/ontology/sora#derivedFromSourceDocument,derivedFromSourceDocument,Links an official or analytical requirement element to the controlled SORA source document from which it was derived.,1,0.286138,low review priority,True,Partial,
LOGMAP-U-059,59,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#requiresSecurityControl,requires security control,Indicates a security control that is required by an SbD requirement.,https://example.org/ontology/sora#requiresSecurityMechanism,requiresSecurityMechanism,Links a requirement element to a security mechanism or control that the source requires or explicitly identifies.,1,0.283354,low review priority,True,Partial,
LOGMAP-U-060,60,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#hasAtomicClause,has atomic clause,Links an official SbD requirement to an analytical atomic requirement clause candidate derived from it.,https://example.org/ontology/sora#addsAtomicObligation,addsAtomicObligation,Links a higher-robustness official requirement to an analytical atomic obligation introduced at that robustness level in addition to inherited content.,1,0.20159,very low textual similarity,True,Partial,
LOGMAP-U-061,61,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#uses,uses,"Relates an activity, decision or assurance artefact to an information resource, artefact, asset, control or method it uses.",https://example.org/ontology/sora#usesStandardOrMeans,usesStandardOrMeans,"Links a requirement, activity, or assurance artefact to a Standard or Means of Compliance used to substantiate satisfaction.",1,0.200422,very low textual similarity,True,Partial,
LOGMAP-U-062,62,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#prevents,prevents,"Indicates that a security activity or control is intended to prevent an adverse security event, vulnerability exploitation or failure.",https://example.org/ontology/sora#documents,documents,"Links an actor to a document or information artefact that it creates, maintains, or supplies.",1,0.149025,very low textual similarity,True,Missing,
LOGMAP-U-063,63,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",object_property,https://example.org/mod-sbd#updatedFor,updated for,"Relates an artefact or assessment to a mission, threat, context or technological change that causes or justifies an update.",https://example.org/ontology/sora#validatedBy,validatedBy,"Links an assurance artefact, procedure, programme, training artefact, mechanism, or claim to the actor role that validates it.",1,0.136732,very low textual similarity,True,Missing,
LOGMAP-U-064,64,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",data_property,https://example.org/mod-sbd#parentRequirementIdentifier,parent requirement identifier,Stores the Parent Requirement ID preserved from the requirements spreadsheet for an official SbD requirement. Preserved parent/grouping identifier from the SbD source spreadsheet.,https://example.org/ontology/sora#isRequiredForSAIL,isRequiredForSAIL,States whether a particular OSO robustness assignment is required for the given SAIL. False represents an NR assignment and therefore no robustness level is required.,1,0.10583,very low textual similarity,True,Missing,String parent identifier is unrelated to a Boolean SAIL requirement indicator.
LOGMAP-U-065,65,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",data_property,https://example.org/mod-sbd#likelihood,likelihood,Records the likelihood value or descriptor used in risk assessment. Qualitative descriptor or numeric likelihood value.,https://example.org/ontology/sora#sailOrdinal,sailOrdinal,Stores the ordinal position of a SAIL value from I through VI for ordering/query support.,1,0.01455,very low textual similarity,True,Missing,Risk likelihood is unrelated to the ordinal position of a SAIL level.
LOGMAP-U-066,66,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD06-Criterion_02,Security Authorisation Decisions,,https://example.org/ontology/sora#Authorisation,Authorisation,,1,0.636818,medium review priority,True,Weak,
LOGMAP-U-067,67,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD04-Criterion_03,Data Protection and Resilience,,https://example.org/ontology/sora#Resilience,Resilience,,1,0.569279,medium review priority,True,Partial,
LOGMAP-U-068,68,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_02,Secure Acquisition and Development,,https://example.org/ontology/sora#Development,Development,,1,0.563352,medium review priority,True,Partial,
LOGMAP-U-069,69,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD05-C1-R1,DSTL-SbD05-C1-R1 — Supply Chain Risk Management,,https://example.org/ontology/sora#SupplyChainSecurityManagement,Supply Chain Security Management,,1,0.556833,medium review priority,True,Partial,
LOGMAP-U-070,70,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#SbD_06,"Assure, Verify and Test",,https://example.org/ontology/sora#Verify,Verify,,1,0.556052,medium review priority,True,Partial,
LOGMAP-U-071,71,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#SbD_03,Implement Continuous Risk Management,,https://example.org/ontology/sora#Implement,Implement,,1,0.526732,medium review priority,True,Weak,
LOGMAP-U-072,72,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R4-C2,DSTL-SbD03-C1-R4-C2 — Analyse cyber risks.,,https://example.org/ontology/sora#Analyse,Analyse,,1,0.493732,medium review priority,True,Partial,
LOGMAP-U-073,73,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_03,Communication and Coordination,,https://example.org/ontology/sora#AE-OSO16-I-Criterion_02,Coordination training,,1,0.483756,medium review priority,True,Weak,
LOGMAP-U-074,74,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_03,Monitoring and Detection,,https://example.org/ontology/sora#AE-OSO06-I-Criterion_01,C3 performance and monitoring,,1,0.434246,low review priority,True,Partial,
LOGMAP-U-075,75,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R6-C2,DSTL-SbD02-C1-R6-C2 — Communicate those responsibilities.,,https://example.org/ontology/sora#Communicate,Communicate,,1,0.43345,low review priority,True,Partial,
LOGMAP-U-076,76,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD01-C1-R2-C2,DSTL-SbD01-C1-R2-C2 — Consider stakeholder needs and expectations in cybersecurity risk management.,,https://example.org/ontology/sora#Stakeholder,Stakeholder,,1,0.404108,low review priority,True,Weak,
LOGMAP-U-077,77,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_02,Risk Management Integration,,https://example.org/ontology/sora#CY-OSO01-A-Criterion_04,Risk management programme (evidence),,1,0.377512,low review priority,True,Partial,
LOGMAP-U-078,78,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",individual,https://example.org/mod-sbd#DSTL-SbD03-C4-R1-C2,DSTL-SbD03-C4-R1-C2 — Assess vulnerabilities.,,https://example.org/ontology/sora#Assess,Assess,,1,0.37369,low review priority,True,Partial,
