entity_type,source_iri,source_label,source_definition,target_iri,target_label,target_definition,candidate_rank,combined_similarity,ranking_band,reciprocal_best
class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk,Analyse identified cyber risks.,https://example.org/ontology/sora#RequirementClassification,RequirementClassification,A controlled classification distinguishing Annex E safety requirements from Cyber Extension cyber-safety/security requirements.,1,0.039068,very low textual similarity,False
class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk,Analyse identified cyber risks.,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture,The organisational culture supporting cyber safety and safety responsibilities.,2,0.030056,very low textual similarity,False
class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk,Analyse identified cyber risks.,https://example.org/ontology/sora#Network,Network,A communications or information network relevant to UAS or organisational cyber safety.,3,0.02856,very low textual similarity,False
class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change,Anticipate technological developments that could adversely affect essential systems.,https://example.org/ontology/sora#Configuration,Configuration,The configuration of the UAS or supporting systems that is subject to conformity and change control.,1,0.065365,very low textual similarity,True
class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change,Anticipate technological developments that could adversely affect essential systems.,https://example.org/ontology/sora#Software,Software,"Software used by the UAS, ground systems, maintenance systems, or supporting services.",2,0.0546,very low textual similarity,False
class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change,Anticipate technological developments that could adversely affect essential systems.,https://example.org/ontology/sora#EnvironmentalCondition,EnvironmentalCondition,An environmental condition that can affect safe UAS operation.,3,0.046469,very low textual similarity,False
class,https://example.org/mod-sbd#Architecture,Architecture,"The capability or programme architecture that is reviewed, tested, evaluated and improved for cyber resilience.",https://example.org/ontology/sora#RequirementClassification,RequirementClassification,A controlled classification distinguishing Annex E safety requirements from Cyber Extension cyber-safety/security requirements.,1,0.029614,very low textual similarity,False
class,https://example.org/mod-sbd#Architecture,Architecture,"The capability or programme architecture that is reviewed, tested, evaluated and improved for cyber resilience.",https://example.org/ontology/sora#AuditProgramme,AuditProgramme,"A self-inspection, internal audit, or robust audit programme addressing cyber-safety/SORA concerns.",2,0.029444,very low textual similarity,False
class,https://example.org/mod-sbd#Architecture,Architecture,"The capability or programme architecture that is reviewed, tested, evaluated and improved for cyber resilience.",https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture,The organisational culture supporting cyber safety and safety responsibilities.,3,0.022783,very low textual similarity,False
class,https://example.org/mod-sbd#ArchivalManagement,Archival Management,Manage archival information/assets securely as part of through-life management.,https://example.org/ontology/sora#FatigueRiskManagementSystem,FatigueRiskManagementSystem,A fatigue risk management system used to manage escalation in duty/flight-duty times.,1,0.061943,very low textual similarity,False
class,https://example.org/mod-sbd#ArchivalManagement,Archival Management,Manage archival information/assets securely as part of through-life management.,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,2,0.045182,very low textual similarity,False
class,https://example.org/mod-sbd#ArchivalManagement,Archival Management,Manage archival information/assets securely as part of through-life management.,https://example.org/ontology/sora#SafetyManagementSystem,SafetyManagementSystem,A safety management system in line with the principles required by Annex E OSO #01.,3,0.039908,very low textual similarity,False
class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,https://example.org/ontology/sora#CriterionType,CriterionType,"A controlled classification for a criterion, such as Integrity, Assurance, or Applicability/Cross-reference.",1,0.109702,very low textual similarity,True
class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,"An artefact whose primary purpose is to support, state, or demonstrate assurance.",2,0.07938,very low textual similarity,False
class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,3,0.077733,very low textual similarity,False
class,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,1,0.089748,very low textual similarity,False
class,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,https://example.org/ontology/sora#FunctionalHazardAssessment,FunctionalHazardAssessment,A Functional Hazard Assessment used to demonstrate system-safety assurance.,2,0.084041,very low textual similarity,False
class,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,https://example.org/ontology/sora#AssessmentArtifact,AssessmentArtifact,A documented result or artefact produced by an assessment or appraisal.,3,0.068185,very low textual similarity,False
class,https://example.org/mod-sbd#Asset,Asset,A tangible or intangible programme resource or object subject to management or protection.,https://example.org/ontology/sora#Configuration,Configuration,The configuration of the UAS or supporting systems that is subject to conformity and change control.,1,0.055988,very low textual similarity,False
class,https://example.org/mod-sbd#Asset,Asset,A tangible or intangible programme resource or object subject to management or protection.,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,2,0.044346,very low textual similarity,False
class,https://example.org/mod-sbd#Asset,Asset,A tangible or intangible programme resource or object subject to management or protection.,https://example.org/ontology/sora#OrganisationalArrangement,OrganisationalArrangement,"An organisational structure, management system, programme, or culture established to satisfy SORA requirements.",3,0.038624,very low textual similarity,False
class,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,https://example.org/ontology/sora#Policy,Policy,"A policy defining organisational expectations, controls, or responsibilities.",1,0.10031,very low textual similarity,False
class,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,https://example.org/ontology/sora#SafetyManagementSystem,SafetyManagementSystem,A safety management system in line with the principles required by Annex E OSO #01.,2,0.087836,very low textual similarity,False
class,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,https://example.org/ontology/sora#CyberSafetyPolicy,CyberSafetyPolicy,"A policy addressing cyber-safety governance, roles, responsibilities, or practices.",3,0.052643,very low textual similarity,False
class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",https://example.org/ontology/sora#Document,Document,"A documentary information artefact used to define, support, or evidence SORA compliance.",1,0.155861,very low textual similarity,False
class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",https://example.org/ontology/sora#FunctionalHazardAssessment,FunctionalHazardAssessment,A Functional Hazard Assessment used to demonstrate system-safety assurance.,2,0.137342,very low textual similarity,False
class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,"An artefact whose primary purpose is to support, state, or demonstrate assurance.",3,0.11967,very low textual similarity,False
class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice,"A security practice concerned with ongoing assurance, testing or verification.",https://example.org/ontology/sora#Declaration,Declaration,A declaration made by an applicant/operator as a permitted assurance method at lower assurance levels.,1,0.053566,very low textual similarity,False
class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice,"A security practice concerned with ongoing assurance, testing or verification.",https://example.org/ontology/sora#Accreditation,Accreditation,A recognised accreditation used to support assurance.,2,0.04523,very low textual similarity,False
class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice,"A security practice concerned with ongoing assurance, testing or verification.",https://example.org/ontology/sora#Failure,Failure,A failure of the UAS or supporting system relevant to safety or assurance.,3,0.044486,very low textual similarity,False
class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause,An analytical clause-level obligation candidate decomposed from an official SbD requirement.,https://example.org/ontology/sora#AnalyticalAtomicObligation,AnalyticalAtomicObligation,A candidate atomic semantic obligation decomposed from one official compound SORA requirement.,1,0.297282,low review priority,True
class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause,An analytical clause-level obligation candidate decomposed from an official SbD requirement.,https://example.org/ontology/sora#AnalyticalRequirementElement,AnalyticalRequirementElement,A non-official analytical element introduced to represent the semantics of an official source requirement without altering it.,2,0.115798,very low textual similarity,False
class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause,An analytical clause-level obligation candidate decomposed from an official SbD requirement.,https://example.org/ontology/sora#SORARequirementElement,SORARequirementElement,A source or analytical element used to represent SORA requirement structure.,3,0.088822,very low textual similarity,False
class,https://example.org/mod-sbd#AttackScenario,Attack Scenario,A plausible scenario describing how a threat actor may pursue an objective against the programme or capability.,https://example.org/ontology/sora#ConceptOfOperations,ConceptOfOperations,The documented concept of operations describing the proposed operation.,1,0.045954,very low textual similarity,False
class,https://example.org/mod-sbd#AttackScenario,Attack Scenario,A plausible scenario describing how a threat actor may pursue an objective against the programme or capability.,https://example.org/ontology/sora#Manual,Manual,"A controlled manual describing information, procedures, or instructions.",2,0.045137,very low textual similarity,False
class,https://example.org/mod-sbd#AttackScenario,Attack Scenario,A plausible scenario describing how a threat actor may pursue an objective against the programme or capability.,https://example.org/ontology/sora#OperationalSafetyObjective,OperationalSafetyObjective,A SORA Operational Safety Objective (OSO) to which criteria and requirements are allocated.,3,0.044659,very low textual similarity,False
class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,A method or technique by which a threat actor could attack or analyse a system.,https://example.org/ontology/sora#Declaration,Declaration,A declaration made by an applicant/operator as a permitted assurance method at lower assurance levels.,1,0.083825,very low textual similarity,True
class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,A method or technique by which a threat actor could attack or analyse a system.,https://example.org/ontology/sora#Actor,Actor,"A person or organisation that can participate in, be responsible for, or provide services relevant to SORA assurance.",2,0.042439,very low textual similarity,False
class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,A method or technique by which a threat actor could attack or analyse a system.,https://example.org/ontology/sora#UnmannedAircraft,UnmannedAircraft,"The unmanned aircraft (UA) itself, distinguished from the complete UAS.",3,0.0,very low textual similarity,False
class,https://example.org/mod-sbd#Availability,Availability,Availability or continuity of essential functions and information when needed.,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope,The designed or permitted flight envelope relevant to operational safety and protection functions.,1,0.033657,very low textual similarity,False
class,https://example.org/mod-sbd#Availability,Availability,Availability or continuity of essential functions and information when needed.,https://example.org/ontology/sora#GNSSSensor,GNSSSensor,A GNSS/GPS sensing component or equipment used for navigation or related UAS functions.,2,0.031312,very low textual similarity,False
class,https://example.org/mod-sbd#Availability,Availability,Availability or continuity of essential functions and information when needed.,https://example.org/ontology/sora#Manual,Manual,"A controlled manual describing information, procedures, or instructions.",3,0.030469,very low textual similarity,False
class,https://example.org/mod-sbd#Backup,Backup,A protected and tested copy or recovery resource used to support continuity or recovery.,https://example.org/ontology/sora#Accreditation,Accreditation,A recognised accreditation used to support assurance.,1,0.119594,very low textual similarity,True
class,https://example.org/mod-sbd#Backup,Backup,A protected and tested copy or recovery resource used to support continuity or recovery.,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,2,0.11212,very low textual similarity,False
class,https://example.org/mod-sbd#Backup,Backup,A protected and tested copy or recovery resource used to support continuity or recovery.,https://example.org/ontology/sora#Firmware,Firmware,Firmware used within UAS or support components.,3,0.049669,very low textual similarity,False
class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity,Maintain essential functions during disruption or incidents.,https://example.org/ontology/sora#ComputerSystem,ComputerSystem,"A computer-based system relevant to business, maintenance, or UAS support activities.",1,0.072225,very low textual similarity,True
class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity,Maintain essential functions during disruption or incidents.,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope,The designed or permitted flight envelope relevant to operational safety and protection functions.,2,0.037002,very low textual similarity,False
class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity,Maintain essential functions during disruption or incidents.,https://example.org/ontology/sora#GNSSSensor,GNSSSensor,A GNSS/GPS sensing component or equipment used for navigation or related UAS functions.,3,0.034424,very low textual similarity,False
class,https://example.org/mod-sbd#BusinessContinuityPlan,Business Continuity Plan,A plan for maintaining essential functions during disruption or incident.,https://example.org/ontology/sora#ComputerSystem,ComputerSystem,"A computer-based system relevant to business, maintenance, or UAS support activities.",1,0.060743,very low textual similarity,False
class,https://example.org/mod-sbd#BusinessContinuityPlan,Business Continuity Plan,A plan for maintaining essential functions during disruption or incident.,https://example.org/ontology/sora#EmergencyResponsePlan,EmergencyResponsePlan,The plan addressing hazardous secondary or escalating effects after loss of control.,2,0.05933,very low textual similarity,False
class,https://example.org/mod-sbd#BusinessContinuityPlan,Business Continuity Plan,A plan for maintaining essential functions during disruption or incident.,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope,The designed or permitted flight envelope relevant to operational safety and protection functions.,3,0.03112,very low textual similarity,False
class,https://example.org/mod-sbd#CADMIDStage,CADMID Stage,"A Concept, Assessment, Demonstration, Manufacture, In-Service or Disposal stage used to express MOD lifecycle applicability.",https://example.org/ontology/sora#Material,Material,A material used in manufacture or maintenance of the UAS.,1,0.066187,very low textual similarity,False
class,https://example.org/mod-sbd#CADMIDStage,CADMID Stage,"A Concept, Assessment, Demonstration, Manufacture, In-Service or Disposal stage used to express MOD lifecycle applicability.",https://example.org/ontology/sora#Tool,Tool,"A tool used for manufacture, inspection, maintenance, calibration, or assurance.",2,0.055623,very low textual similarity,False
class,https://example.org/mod-sbd#CADMIDStage,CADMID Stage,"A Concept, Assessment, Demonstration, Manufacture, In-Service or Disposal stage used to express MOD lifecycle applicability.",https://example.org/ontology/sora#ServiceLevelAgreement,ServiceLevelAgreement,A service-level agreement or comparable commitment defining relevant service responsibilities or quality.,3,0.048182,very low textual similarity,False
class,https://example.org/mod-sbd#Capability,Capability,"A delivered programme capability whose essential functions, risk, architecture, controls and through-life security are governed.",https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,1,0.045408,very low textual similarity,False
class,https://example.org/mod-sbd#Capability,Capability,"A delivered programme capability whose essential functions, risk, architecture, controls and through-life security are governed.",https://example.org/ontology/sora#Policy,Policy,"A policy defining organisational expectations, controls, or responsibilities.",2,0.036765,very low textual similarity,False
class,https://example.org/mod-sbd#Capability,Capability,"A delivered programme capability whose essential functions, risk, architecture, controls and through-life security are governed.",https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope,The designed or permitted flight envelope relevant to operational safety and protection functions.,3,0.028116,very low textual similarity,False
class,https://example.org/mod-sbd#CapabilityTeam,Capability Team,A team responsible for aspects of capability delivery and cybersecurity responsibilities.,https://example.org/ontology/sora#Actor,Actor,"A person or organisation that can participate in, be responsible for, or provide services relevant to SORA assurance.",1,0.047751,very low textual similarity,False
class,https://example.org/mod-sbd#CapabilityTeam,Capability Team,A team responsible for aspects of capability delivery and cybersecurity responsibilities.,https://example.org/ontology/sora#Policy,Policy,"A policy defining organisational expectations, controls, or responsibilities.",2,0.04583,very low textual similarity,False
class,https://example.org/mod-sbd#CapabilityTeam,Capability Team,A team responsible for aspects of capability delivery and cybersecurity responsibilities.,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture,The organisational culture supporting cyber safety and safety responsibilities.,3,0.043803,very low textual similarity,False
class,https://example.org/mod-sbd#CaptureLessonsLearned,Capture Lessons Learned,"Capture and feed lessons from delivery, incidents or exercises back into programme and development practice.",https://example.org/ontology/sora#TrainingProgramme,TrainingProgramme,A programme organising initial or recurrent training.,1,0.016666,very low textual similarity,False
class,https://example.org/mod-sbd#CaptureLessonsLearned,Capture Lessons Learned,"Capture and feed lessons from delivery, incidents or exercises back into programme and development practice.",https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,2,0.015385,very low textual similarity,False
class,https://example.org/mod-sbd#CaptureLessonsLearned,Capture Lessons Learned,"Capture and feed lessons from delivery, incidents or exercises back into programme and development practice.",https://example.org/ontology/sora#MaintenanceProgramme,MaintenanceProgramme,A programme organising preventive/scheduled maintenance and related requirements.,3,0.014647,very low textual similarity,False
class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information,"Communicate cybersecurity decisions, responsibilities, risks or information to relevant parties.",https://example.org/ontology/sora#Network,Network,A communications or information network relevant to UAS or organisational cyber safety.,1,0.061885,very low textual similarity,False
class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information,"Communicate cybersecurity decisions, responsibilities, risks or information to relevant parties.",https://example.org/ontology/sora#ServiceLevelAgreement,ServiceLevelAgreement,A service-level agreement or comparable commitment defining relevant service responsibilities or quality.,2,0.04895,very low textual similarity,False
class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information,"Communicate cybersecurity decisions, responsibilities, risks or information to relevant parties.",https://example.org/ontology/sora#Manual,Manual,"A controlled manual describing information, procedures, or instructions.",3,0.043098,very low textual similarity,False
class,https://example.org/mod-sbd#Compromise,Compromise,"Loss or degradation of security affecting a capability, data or essential function.",https://example.org/ontology/sora#OperationalCondition,OperationalCondition,A condition affecting the operation or the applicability/effectiveness of requirements.,1,0.063712,very low textual similarity,False
class,https://example.org/mod-sbd#Compromise,Compromise,"Loss or degradation of security affecting a capability, data or essential function.",https://example.org/ontology/sora#SecurityFunction,SecurityFunction,A cybersecurity function or process such as authentication or authorisation.,2,0.059159,very low textual similarity,False
class,https://example.org/mod-sbd#Compromise,Compromise,"Loss or degradation of security affecting a capability, data or essential function.",https://example.org/ontology/sora#EmergencyResponsePlan,EmergencyResponsePlan,The plan addressing hazardous secondary or escalating effects after loss of control.,3,0.049472,very low textual similarity,False
class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.,https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept,An abstract cybersecurity or safety concept referenced by the SORA requirement set.,1,0.096466,very low textual similarity,False
class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.,https://example.org/ontology/sora#ConceptOfOperations,ConceptOfOperations,The documented concept of operations describing the proposed operation.,2,0.073289,very low textual similarity,False
class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,3,0.060972,very low textual similarity,False
class,https://example.org/mod-sbd#ConductForensics,Conduct Forensics,Perform tested forensic processes to develop a documented understanding of an incident.,https://example.org/ontology/sora#Checklist,Checklist,A checklist used to perform or evidence defined operational or assurance steps.,1,0.051656,very low textual similarity,False
class,https://example.org/mod-sbd#ConductForensics,Conduct Forensics,Perform tested forensic processes to develop a documented understanding of an incident.,https://example.org/ontology/sora#Procedure,Procedure,A documented set of instructions or procedural steps.,2,0.035372,very low textual similarity,False
class,https://example.org/mod-sbd#ConductForensics,Conduct Forensics,Perform tested forensic processes to develop a documented understanding of an incident.,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,3,0.03501,very low textual similarity,False
class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment,"Assess cyber risk using relevant threat, vulnerability, likelihood, impact and contextual information.",https://example.org/ontology/sora#Network,Network,A communications or information network relevant to UAS or organisational cyber safety.,1,0.062031,very low textual similarity,False
class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment,"Assess cyber risk using relevant threat, vulnerability, likelihood, impact and contextual information.",https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,2,0.043213,very low textual similarity,False
class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment,"Assess cyber risk using relevant threat, vulnerability, likelihood, impact and contextual information.",https://example.org/ontology/sora#OperationalStateType,OperationalStateType,"A controlled type describing the state of an operation relevant to SORA risk, including loss of control.",3,0.034884,very low textual similarity,False
class,https://example.org/mod-sbd#ConductRootCauseAnalysis,Conduct Root Cause Analysis,Identify root causes and impacts during post-incident analysis.,https://example.org/ontology/sora#SORAConcept,SORAConcept,Root grouping class for concepts required to represent the controlled SORA supplier-assurance domain.,1,0.077227,very low textual similarity,True
class,https://example.org/mod-sbd#ConductRootCauseAnalysis,Conduct Root Cause Analysis,Identify root causes and impacts during post-incident analysis.,https://example.org/ontology/sora#Log,Log,A chronological or event-oriented record used for later review or analysis.,2,0.069594,very low textual similarity,False
class,https://example.org/mod-sbd#ConductRootCauseAnalysis,Conduct Root Cause Analysis,Identify root causes and impacts during post-incident analysis.,https://example.org/ontology/sora#FlightLog,FlightLog,A log of UAS activities and relevant security events used for subsequent analysis.,3,0.067621,very low textual similarity,False
class,https://example.org/mod-sbd#ConductThreatAnalysis,Conduct Threat Analysis,Analyse systems from a threat-actor perspective and anticipate probable attack methods.,https://example.org/ontology/sora#Software,Software,"Software used by the UAS, ground systems, maintenance systems, or supporting services.",1,0.052729,very low textual similarity,False
class,https://example.org/mod-sbd#ConductThreatAnalysis,Conduct Threat Analysis,Analyse systems from a threat-actor perspective and anticipate probable attack methods.,https://example.org/ontology/sora#Interface,Interface,An interface through which actors or systems interact.,2,0.042533,very low textual similarity,False
class,https://example.org/mod-sbd#ConductThreatAnalysis,Conduct Threat Analysis,Analyse systems from a threat-actor perspective and anticipate probable attack methods.,https://example.org/ontology/sora#CommunicationLink,CommunicationLink,A communications link used by the UAS or supporting systems.,3,0.041499,very low textual similarity,False
class,https://example.org/mod-sbd#ConductThreatAssessment,Conduct Threat Assessment,Assess relevant cyber threats and maintain the assessment over time.,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,1,0.058992,very low textual similarity,False
class,https://example.org/mod-sbd#ConductThreatAssessment,Conduct Threat Assessment,Assess relevant cyber threats and maintain the assessment over time.,https://example.org/ontology/sora#AssessmentArtifact,AssessmentArtifact,A documented result or artefact produced by an assessment or appraisal.,2,0.056259,very low textual similarity,False
class,https://example.org/mod-sbd#ConductThreatAssessment,Conduct Threat Assessment,Assess relevant cyber threats and maintain the assessment over time.,https://example.org/ontology/sora#FunctionalHazardAssessment,FunctionalHazardAssessment,A Functional Hazard Assessment used to demonstrate system-safety assurance.,3,0.05524,very low textual similarity,False
class,https://example.org/mod-sbd#Confidentiality,Confidentiality,Protection of information from unauthorised disclosure.,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope,The designed or permitted flight envelope relevant to operational safety and protection functions.,1,0.049703,very low textual similarity,False
class,https://example.org/mod-sbd#Confidentiality,Confidentiality,Protection of information from unauthorised disclosure.,https://example.org/ontology/sora#Manual,Manual,"A controlled manual describing information, procedures, or instructions.",2,0.036157,very low textual similarity,False
class,https://example.org/mod-sbd#Confidentiality,Confidentiality,Protection of information from unauthorised disclosure.,https://example.org/ontology/sora#ITSystem,ITSystem,An information-technology system used by an applicant/operator or supporting organisation.,3,0.035897,very low textual similarity,False
