class_candidate_number,candidate_id,entity_type,source_iri,source_label,source_definition,target_iri,target_label,target_definition,candidate_rank,combined_similarity,ranking_band,reciprocal_best,manual_classification,review_basis
11,11,class,https://example.org/mod-sbd#OrganisationalConcept,Organisational Concept,"A programme, person, organisation, role, group or network involved in SbD governance or delivery.",https://example.org/ontology/sora#Actor,Actor,"A person or organisation that can participate in, be responsible for, or provide services relevant to SORA assurance.",1,0.141985,very low textual similarity,True,Partial,Manual comparison of entity labels and ontology definitions
12,12,class,https://example.org/mod-sbd#DocumentedEvidence,Documented Evidence,Documented information used to demonstrate or support fulfilment of an SbD requirement.,https://example.org/ontology/sora#FunctionalHazardAssessment,FunctionalHazardAssessment,A Functional Hazard Assessment used to demonstrate system-safety assurance.,1,0.137745,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
13,13,class,https://example.org/mod-sbd#DefineSecurityRequirements,Define Security Requirements,Define security requirements from risk and incorporate them into programme or procurement artefacts.,https://example.org/ontology/sora#RequirementClassification,RequirementClassification,A controlled classification distinguishing Annex E safety requirements from Cyber Extension cyber-safety/security requirements.,1,0.137469,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
14,14,class,https://example.org/mod-sbd#SecurityManagementConcept,Security Management Concept,"An abstract management concept used to govern cybersecurity decisions, risk, controls or awareness.",https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept,An abstract cybersecurity or safety concept referenced by the SORA requirement set.,1,0.132746,very low textual similarity,True,Partial,Manual comparison of entity labels and ontology definitions
15,15,class,https://example.org/mod-sbd#KnowledgeAsset,Knowledge Asset,Knowledge required to support programme or operational activity.,https://example.org/ontology/sora#OperationalProcedure,OperationalProcedure,"A procedure governing normal, contingency, emergency, inspection, or other operational activity.",1,0.130443,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
16,16,class,https://example.org/mod-sbd#Function,Function,A function performed by or supported by a capability.,https://example.org/ontology/sora#SecurityFunction,SecurityFunction,A cybersecurity function or process such as authentication or authorisation.,1,0.12589,very low textual similarity,True,Partial,Manual comparison of entity labels and ontology definitions
17,17,class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",https://example.org/ontology/sora#SecurityEventType,SecurityEventType,"A controlled type of security event or indicator, such as anomaly, suspicious activity, malicious activity, or security breach.",1,0.125398,very low textual similarity,True,Partial,Manual comparison of entity labels and ontology definitions
18,18,class,https://example.org/mod-sbd#SecurityArtefact,Security Artefact,"A documented cybersecurity strategy, plan, assessment, inventory or other structured security artefact.",https://example.org/ontology/sora#AssessmentArtifact,AssessmentArtifact,A documented result or artefact produced by an assessment or appraisal.,1,0.121952,very low textual similarity,True,Partial,Manual comparison of entity labels and ontology definitions
19,19,class,https://example.org/mod-sbd#ManufactureStage,Manufacture,CADMID Manufacture stage; used where component/design/manufacturing applicability is plausible.,https://example.org/ontology/sora#Material,Material,A material used in manufacture or maintenance of the UAS.,1,0.120037,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
20,20,class,https://example.org/mod-sbd#Backup,Backup,A protected and tested copy or recovery resource used to support continuity or recovery.,https://example.org/ontology/sora#Accreditation,Accreditation,A recognised accreditation used to support assurance.,1,0.119594,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
21,21,class,https://example.org/mod-sbd#LifecycleManagementActivity,Lifecycle Management Activity,"An activity used to manage assets, people and security through capability life.",https://example.org/ontology/sora#FatigueRiskManagementSystem,FatigueRiskManagementSystem,A fatigue risk management system used to manage escalation in duty/flight-duty times.,1,0.113278,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
22,22,class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,https://example.org/ontology/sora#CriterionType,CriterionType,"A controlled classification for a criterion, such as Integrity, Assurance, or Applicability/Cross-reference.",1,0.109702,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
23,23,class,https://example.org/mod-sbd#OrganisationalEntity,Organisational Entity,An entity participating in organisational security activity.,https://example.org/ontology/sora#LogFile,LogFile,An electronic or written log file containing recorded UAS or security activity.,1,0.107928,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
24,24,class,https://example.org/mod-sbd#ManageAssets,Manage Assets,Maintain through-life management of programme assets in line with policy.,https://example.org/ontology/sora#OrganisationalArrangement,OrganisationalArrangement,"An organisational structure, management system, programme, or culture established to satisfy SORA requirements.",1,0.105899,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
25,25,class,https://example.org/mod-sbd#InServiceStage,In-Service,"CADMID In-Service stage; used where operation, monitoring, incidents, backups, reporting or recovery indicate in-service relevance.",https://example.org/ontology/sora#ServiceLevelAgreement,ServiceLevelAgreement,A service-level agreement or comparable commitment defining relevant service responsibilities or quality.,1,0.099735,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
26,26,class,https://example.org/mod-sbd#RiskTreatment,Risk Treatment,A concept describing the selected response or treatment of identified risk.,https://example.org/ontology/sora#ConceptOfOperations,ConceptOfOperations,The documented concept of operations describing the proposed operation.,1,0.099264,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
27,27,class,https://example.org/mod-sbd#UnderstandContext,Understand Context,"Establish and maintain understanding of relevant mission, organisational, operational, data or risk context.",https://example.org/ontology/sora#Datalink,Datalink,"A data communications link, which may be operational, safety-related, or payload-related depending on context.",1,0.09601,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
28,28,class,https://example.org/mod-sbd#CyberResilientDesign,Cyber-Resilient Design,"Design capability components, support and resourcing with cyber resilience considered.",https://example.org/ontology/sora#Firmware,Firmware,Firmware used within UAS or support components.,1,0.094903,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
29,29,class,https://example.org/mod-sbd#SupplyChain,Supply Chain,"The network of supplier organisations involved in providing capabilities, systems, services or support.",https://example.org/ontology/sora#Software,Software,"Software used by the UAS, ground systems, maintenance systems, or supporting services.",1,0.094171,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
30,30,class,https://example.org/mod-sbd#PerformDueDiligence,Perform Due Diligence,Perform cybersecurity planning and due diligence before contracting with a supplier.,https://example.org/ontology/sora#Checklist,Checklist,A checklist used to perform or evidence defined operational or assurance steps.,1,0.09375,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
31,31,class,https://example.org/mod-sbd#RiskCommunication,Risk Communication,Conduct structured two-way communication of cybersecurity risks across organisational and supply-chain boundaries.,https://example.org/ontology/sora#C3Link,C3Link,"A command, control, and communication link required for safety of flight.",1,0.088516,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
32,32,class,https://example.org/mod-sbd#SinglePointOfFailure,Single Point of Failure,A dependency on a single role or resource whose loss could undermine recovery capability.,https://example.org/ontology/sora#Failure,Failure,A failure of the UAS or supporting system relevant to safety or assurance.,1,0.084961,very low textual similarity,True,Partial,Manual comparison of entity labels and ontology definitions
33,33,class,https://example.org/mod-sbd#IdentifyDocumentData,Identify or Document Data,Identify and document data relevant to programme functioning or threat exposure.,https://example.org/ontology/sora#SourceDocument,SourceDocument,A controlled SORA source document from which requirements and provenance are derived.,1,0.084431,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
34,34,class,https://example.org/mod-sbd#TrainPersonnel,Train Personnel,"Provide, maintain or demonstrate role-relevant security, disposal, response or recovery training.",https://example.org/ontology/sora#FlightLog,FlightLog,A log of UAS activities and relevant security events used for subsequent analysis.,1,0.084094,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
35,35,class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,A method or technique by which a threat actor could attack or analyse a system.,https://example.org/ontology/sora#Declaration,Declaration,A declaration made by an applicant/operator as a permitted assurance method at lower assurance levels.,1,0.083825,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
36,36,class,https://example.org/mod-sbd#OrganisationalRiskAppetiteStatement,Organisational Risk Appetite Statement,An organisational statement that informs the programme risk appetite.,https://example.org/ontology/sora#AssuranceStatement,AssuranceStatement,"A formal assertion or statement concerning satisfaction, integrity, assurance, or another SORA-relevant condition.",1,0.082817,very low textual similarity,True,Partial,Manual comparison of entity labels and ontology definitions
37,37,class,https://example.org/mod-sbd#Accountability,Accountability,Clear assignment of responsibility for cybersecurity and risk decisions.,https://example.org/ontology/sora#RobustnessLevel,RobustnessLevel,"The SORA Low, Medium, or High robustness level used in OSO requirement assignment. Not Required (NR) is an assignment status, not a robustness level.",1,0.077242,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
38,38,class,https://example.org/mod-sbd#ConductRootCauseAnalysis,Conduct Root Cause Analysis,Identify root causes and impacts during post-incident analysis.,https://example.org/ontology/sora#SORAConcept,SORAConcept,Root grouping class for concepts required to represent the controlled SORA supplier-assurance domain.,1,0.077227,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
39,39,class,https://example.org/mod-sbd#ProtectData,Protect Data,"Apply physical, technical or cryptographic protections to data.",https://example.org/ontology/sora#Hardware,Hardware,A physical computing or UAS component.,1,0.073312,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
40,40,class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity,Maintain essential functions during disruption or incidents.,https://example.org/ontology/sora#ComputerSystem,ComputerSystem,"A computer-based system relevant to business, maintenance, or UAS support activities.",1,0.072225,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
41,41,class,https://example.org/mod-sbd#OnboardingOffboarding,Onboarding or Offboarding,"Manage personnel entry, role change or exit with security-relevant training and controls.",https://example.org/ontology/sora#ActivityType,ActivityType,"A controlled vocabulary entry identifying the kind of activity required or performed, such as audit, test, validation, monitoring, maintenance, or training.",1,0.071073,very low textual similarity,True,Partial,Manual comparison of entity labels and ontology definitions
42,42,class,https://example.org/mod-sbd#ResponseTeam,Response Team,A team assigned to incident response or recovery activities.,https://example.org/ontology/sora#FailureCondition,FailureCondition,A classified failure condition to which severity and frequency expectations can be assigned.,1,0.068842,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
43,43,class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change,Anticipate technological developments that could adversely affect essential systems.,https://example.org/ontology/sora#Configuration,Configuration,The configuration of the UAS or supporting systems that is subject to conformity and change control.,1,0.065365,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
44,44,class,https://example.org/mod-sbd#RiskAppetite,Risk Appetite,The level and type of cyber risk the programme is prepared to accept and use in decision-making.,https://example.org/ontology/sora#OperationalStateType,OperationalStateType,"A controlled type describing the state of an operation relevant to SORA risk, including loss of control.",1,0.065293,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
45,45,class,https://example.org/mod-sbd#SpecialistCyberResponderRole,Specialist Cyber Responder,A specialist external or internal role that augments cyber incident recovery capability.,https://example.org/ontology/sora#AuditProgramme,AuditProgramme,"A self-inspection, internal audit, or robust audit programme addressing cyber-safety/SORA concerns.",1,0.063654,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
46,46,class,https://example.org/mod-sbd#SecurityControl,Security Control,"A control selected, monitored, reviewed or resourced to manage cybersecurity risk.",https://example.org/ontology/sora#ControlStation,ControlStation,A station used to control or supervise the unmanned aircraft.,1,0.060096,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
47,47,class,https://example.org/mod-sbd#EndUserRole,End User,A stakeholder role associated with use of the delivered capability.,https://example.org/ontology/sora#MaintenanceProcedure,MaintenanceProcedure,A documented procedure governing UAS maintenance or associated cyber-safety practices.,1,0.058996,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
48,48,class,https://example.org/mod-sbd#DataInTransit,Data in Transit,"Data while being transferred, including third-party transfers.",https://example.org/ontology/sora#RemovableMedia,RemovableMedia,Removable electronic media used in maintenance or data transfer.,1,0.054605,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
49,49,class,https://example.org/mod-sbd#ResilienceMechanism,Resilience Mechanism,A mechanism intended to provide or strengthen cyber resilience and subject to testing or assessment.,https://example.org/ontology/sora#OperationalVolume,OperationalVolume,The volume within which the UAS operation is intended to take place safely.,1,0.054115,very low textual similarity,True,Missing,Manual comparison of entity labels and ontology definitions
50,50,class,https://example.org/mod-sbd#DisposeSecurely,Dispose Securely,Dispose of assets or capabilities securely in accordance with required procedures and classification rules.,https://example.org/ontology/sora#Manual,Manual,"A controlled manual describing information, procedures, or instructions.",1,0.052844,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
51,51,class,https://example.org/mod-sbd#GovernCybersecurity,Govern Cybersecurity,Direct and control cybersecurity decision-making across the programme.,https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation,An industry-recognised cybersecurity accreditation.,1,0.049858,very low textual similarity,True,Weak,Manual comparison of entity labels and ontology definitions
