individual_candidate_number,candidate_id,entity_type,source_iri,source_label,source_definition,target_iri,target_label,target_definition,candidate_rank,combined_similarity,ranking_band,reciprocal_best,manual_classification,review_basis
20,73,individual,https://example.org/mod-sbd#DSTL-SbD07-C5-R5-C2,DSTL-SbD07-C5-R5-C2 — Feed lessons learned from incidents and resilience exercises into design standards.,,https://example.org/ontology/sora#CY-OSO04-X-Criterion_01,Design standards cyber coverage,,1,0.248755,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
21,74,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R4-C3,DSTL-SbD02-C4-R4-C3 — Use the threat analysis to anticipate probable attack methods.,,https://example.org/ontology/sora#Probable,Probable,,1,0.24338,low review priority,True,Missing,"Manual comparison of individual types, labels, provenance and asserted ontology context"
22,75,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R7-C2,"DSTL-SbD03-C1-R7-C2 — Include technical risks, human elements, insider threat, human error, organisational culture, social engineering, policy and workflow effects in socio-technical risk consideration.",,https://example.org/ontology/sora#CY-OSO01-I-Criterion_01,Organisational culture,,1,0.242082,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
23,76,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_03,Security Plan,,https://example.org/ontology/sora#AE-OSO08-I-Criterion_03,Emergency Response Plan,,1,0.239722,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
24,77,individual,https://example.org/mod-sbd#DSTL-SbD04-C1-R1-C1,"DSTL-SbD04-C1-R1-C1 — Maintain processes to review, test, evaluate and improve capability architecture.",,https://example.org/ontology/sora#Evaluate,Evaluate,,1,0.239443,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
25,78,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R3-C2,DSTL-SbD02-C4-R3-C2 — Maintain the attack scenarios.,,https://example.org/ontology/sora#Maintain,Maintain,,1,0.23686,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
26,79,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R1-C3,DSTL-SbD03-C1-R1-C3 — Ensure the cyber risk assessment considers infrastructure used for delivery.,,https://example.org/ontology/sora#CY-OSO05-I-Criterion_01,Cyber safety risk assessment,,1,0.230927,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
27,80,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R4-C1,DSTL-SbD02-C1-R4-C1 — Review key roles regularly.,,https://example.org/ontology/sora#Review,Review,,1,0.226519,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
28,81,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R6-C1,DSTL-SbD02-C1-R6-C1 — Define responsibilities that continue or change after personnel termination or role change.,,https://example.org/ontology/sora#ChangeManage,Change Manage,,1,0.207022,low review priority,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
29,82,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_04,Threat Assessment & Modelling,,https://example.org/ontology/sora#CyberThreat,Cyber Threat,,1,0.197861,very low textual similarity,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
30,83,individual,https://example.org/mod-sbd#DSTL-SbD05-C2-R1-C1,DSTL-SbD05-C2-R1-C1 — Perform planning and due diligence with the prime supplier to reduce cybersecurity risks before entering contracts.,,https://example.org/ontology/sora#Supplier,Supplier,,1,0.193311,very low textual similarity,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
31,84,individual,https://example.org/mod-sbd#WARP,"Warning, Advice, and Reporting Point (WARP)","A trusted, community-based information security service represented from the SbD requirements context.",https://example.org/ontology/sora#Inservice,In-service,,1,0.154653,very low textual similarity,True,Missing,"Manual comparison of individual types, labels, provenance and asserted ontology context"
32,85,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R3-C4,DSTL-SbD04-C3-R3-C4 — Understand third-party handling of critical data.,,https://example.org/ontology/sora#CompetentThirdParty,Competent Third Party,,1,0.149647,very low textual similarity,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
33,86,individual,https://example.org/mod-sbd#MOD,Ministry of Defence (MOD),"The Ministry of Defence, represented as a named organisation individual rather than a subclass of Organisation.",https://example.org/ontology/sora#DefenceinDepth,Defence in Depth,,1,0.144409,very low textual similarity,True,Missing,"Manual comparison of individual types, labels, provenance and asserted ontology context"
34,87,individual,https://example.org/mod-sbd#DSTL-SbD01-Criterion_01,Mission and Context,,https://example.org/ontology/sora#OSO_20,OSO_20: Human Factors evaluation and HMI appropriate for the mission,,1,0.136422,very low textual similarity,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
35,88,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R4-C2,DSTL-SbD02-C1-R4-C2 — Fill key roles with appropriately skilled personnel who have sufficient authority and support.,,https://example.org/ontology/sora#CompetentAuthority,Competent Authority,,1,0.118201,very low textual similarity,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
36,89,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R6-C3,DSTL-SbD04-C3-R6-C3 — Use appropriate cryptographic protections.,,https://example.org/ontology/sora#OSO_06,OSO_06: C3 link are appropriate for operation,,1,0.107989,very low textual similarity,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
37,90,individual,https://example.org/mod-sbd#DSTL-SbD07-C5-R1,DSTL-SbD07-C5-R1 — Incident Recovery,,https://example.org/ontology/sora#CY-OSO03-A-C5-H1,CY-OSO03-A-C5-H1,,1,0.092176,very low textual similarity,True,Missing,"Manual comparison of individual types, labels, provenance and asserted ontology context"
38,91,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R4-C1,DSTL-SbD02-C4-R4-C1 — Document the steps used to conduct detailed threat analysis.,,https://example.org/ontology/sora#Log,Log,A chronological or event-oriented record used for later review or analysis.,1,0.091091,very low textual similarity,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
39,92,individual,https://example.org/mod-sbd#DSTL-SbD01-C2-R4-C1,DSTL-SbD01-C2-R4-C1 — Clearly define cybersecurity roles and responsibilities.,,https://example.org/ontology/sora#CybersecurityIntegrity,Cybersecurity Integrity,,1,0.090726,very low textual similarity,True,Missing,"Manual comparison of individual types, labels, provenance and asserted ontology context"
40,93,individual,https://example.org/mod-sbd#DSTL-SbD07-C5-R3-C2,DSTL-SbD07-C5-R3-C2 — Duplicate key roles to avoid single points of failure.,,https://example.org/ontology/sora#Hazardous,Hazardous Failure Condition,,1,0.088304,very low textual similarity,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
41,94,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R4-C2,DSTL-SbD04-C3-R4-C2 — Document that impact.,,https://example.org/ontology/sora#CY-OSO01-A-C3-M1-C2,CY-OSO01-A-C3-M1-C2,,1,0.074019,very low textual similarity,True,Missing,"Manual comparison of individual types, labels, provenance and asserted ontology context"
