candidate_id,entity_type,source_iri,source_label,source_definition,target_iri,target_label,target_definition,candidate_rank,combined_similarity,ranking_band,reciprocal_best
21,class,https://example.org/mod-sbd#LifecycleManagementActivity,Lifecycle Management Activity,"An activity used to manage assets, people and security through capability life.",https://example.org/ontology/sora#FatigueRiskManagementSystem,FatigueRiskManagementSystem,A fatigue risk management system used to manage escalation in duty/flight-duty times.,1,0.113278,very low textual similarity,True
22,class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,https://example.org/ontology/sora#CriterionType,CriterionType,"A controlled classification for a criterion, such as Integrity, Assurance, or Applicability/Cross-reference.",1,0.109702,very low textual similarity,True
23,class,https://example.org/mod-sbd#OrganisationalEntity,Organisational Entity,An entity participating in organisational security activity.,https://example.org/ontology/sora#LogFile,LogFile,An electronic or written log file containing recorded UAS or security activity.,1,0.107928,very low textual similarity,True
24,class,https://example.org/mod-sbd#ManageAssets,Manage Assets,Maintain through-life management of programme assets in line with policy.,https://example.org/ontology/sora#OrganisationalArrangement,OrganisationalArrangement,"An organisational structure, management system, programme, or culture established to satisfy SORA requirements.",1,0.105899,very low textual similarity,True
25,class,https://example.org/mod-sbd#InServiceStage,In-Service,"CADMID In-Service stage; used where operation, monitoring, incidents, backups, reporting or recovery indicate in-service relevance.",https://example.org/ontology/sora#ServiceLevelAgreement,ServiceLevelAgreement,A service-level agreement or comparable commitment defining relevant service responsibilities or quality.,1,0.099735,very low textual similarity,True
26,class,https://example.org/mod-sbd#RiskTreatment,Risk Treatment,A concept describing the selected response or treatment of identified risk.,https://example.org/ontology/sora#ConceptOfOperations,ConceptOfOperations,The documented concept of operations describing the proposed operation.,1,0.099264,very low textual similarity,True
27,class,https://example.org/mod-sbd#UnderstandContext,Understand Context,"Establish and maintain understanding of relevant mission, organisational, operational, data or risk context.",https://example.org/ontology/sora#Datalink,Datalink,"A data communications link, which may be operational, safety-related, or payload-related depending on context.",1,0.09601,very low textual similarity,True
28,class,https://example.org/mod-sbd#CyberResilientDesign,Cyber-Resilient Design,"Design capability components, support and resourcing with cyber resilience considered.",https://example.org/ontology/sora#Firmware,Firmware,Firmware used within UAS or support components.,1,0.094903,very low textual similarity,True
29,class,https://example.org/mod-sbd#SupplyChain,Supply Chain,"The network of supplier organisations involved in providing capabilities, systems, services or support.",https://example.org/ontology/sora#Software,Software,"Software used by the UAS, ground systems, maintenance systems, or supporting services.",1,0.094171,very low textual similarity,True
30,class,https://example.org/mod-sbd#PerformDueDiligence,Perform Due Diligence,Perform cybersecurity planning and due diligence before contracting with a supplier.,https://example.org/ontology/sora#Checklist,Checklist,A checklist used to perform or evidence defined operational or assurance steps.,1,0.09375,very low textual similarity,True
31,class,https://example.org/mod-sbd#RiskCommunication,Risk Communication,Conduct structured two-way communication of cybersecurity risks across organisational and supply-chain boundaries.,https://example.org/ontology/sora#C3Link,C3Link,"A command, control, and communication link required for safety of flight.",1,0.088516,very low textual similarity,True
32,class,https://example.org/mod-sbd#SinglePointOfFailure,Single Point of Failure,A dependency on a single role or resource whose loss could undermine recovery capability.,https://example.org/ontology/sora#Failure,Failure,A failure of the UAS or supporting system relevant to safety or assurance.,1,0.084961,very low textual similarity,True
33,class,https://example.org/mod-sbd#IdentifyDocumentData,Identify or Document Data,Identify and document data relevant to programme functioning or threat exposure.,https://example.org/ontology/sora#SourceDocument,SourceDocument,A controlled SORA source document from which requirements and provenance are derived.,1,0.084431,very low textual similarity,True
34,class,https://example.org/mod-sbd#TrainPersonnel,Train Personnel,"Provide, maintain or demonstrate role-relevant security, disposal, response or recovery training.",https://example.org/ontology/sora#FlightLog,FlightLog,A log of UAS activities and relevant security events used for subsequent analysis.,1,0.084094,very low textual similarity,True
35,class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,A method or technique by which a threat actor could attack or analyse a system.,https://example.org/ontology/sora#Declaration,Declaration,A declaration made by an applicant/operator as a permitted assurance method at lower assurance levels.,1,0.083825,very low textual similarity,True
36,class,https://example.org/mod-sbd#OrganisationalRiskAppetiteStatement,Organisational Risk Appetite Statement,An organisational statement that informs the programme risk appetite.,https://example.org/ontology/sora#AssuranceStatement,AssuranceStatement,"A formal assertion or statement concerning satisfaction, integrity, assurance, or another SORA-relevant condition.",1,0.082817,very low textual similarity,True
37,class,https://example.org/mod-sbd#Accountability,Accountability,Clear assignment of responsibility for cybersecurity and risk decisions.,https://example.org/ontology/sora#RobustnessLevel,RobustnessLevel,"The SORA Low, Medium, or High robustness level used in OSO requirement assignment. Not Required (NR) is an assignment status, not a robustness level.",1,0.077242,very low textual similarity,True
38,class,https://example.org/mod-sbd#ConductRootCauseAnalysis,Conduct Root Cause Analysis,Identify root causes and impacts during post-incident analysis.,https://example.org/ontology/sora#SORAConcept,SORAConcept,Root grouping class for concepts required to represent the controlled SORA supplier-assurance domain.,1,0.077227,very low textual similarity,True
39,class,https://example.org/mod-sbd#ProtectData,Protect Data,"Apply physical, technical or cryptographic protections to data.",https://example.org/ontology/sora#Hardware,Hardware,A physical computing or UAS component.,1,0.073312,very low textual similarity,True
40,class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity,Maintain essential functions during disruption or incidents.,https://example.org/ontology/sora#ComputerSystem,ComputerSystem,"A computer-based system relevant to business, maintenance, or UAS support activities.",1,0.072225,very low textual similarity,True
41,class,https://example.org/mod-sbd#OnboardingOffboarding,Onboarding or Offboarding,"Manage personnel entry, role change or exit with security-relevant training and controls.",https://example.org/ontology/sora#ActivityType,ActivityType,"A controlled vocabulary entry identifying the kind of activity required or performed, such as audit, test, validation, monitoring, maintenance, or training.",1,0.071073,very low textual similarity,True
42,class,https://example.org/mod-sbd#ResponseTeam,Response Team,A team assigned to incident response or recovery activities.,https://example.org/ontology/sora#FailureCondition,FailureCondition,A classified failure condition to which severity and frequency expectations can be assigned.,1,0.068842,very low textual similarity,True
43,class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change,Anticipate technological developments that could adversely affect essential systems.,https://example.org/ontology/sora#Configuration,Configuration,The configuration of the UAS or supporting systems that is subject to conformity and change control.,1,0.065365,very low textual similarity,True
44,class,https://example.org/mod-sbd#RiskAppetite,Risk Appetite,The level and type of cyber risk the programme is prepared to accept and use in decision-making.,https://example.org/ontology/sora#OperationalStateType,OperationalStateType,"A controlled type describing the state of an operation relevant to SORA risk, including loss of control.",1,0.065293,very low textual similarity,True
45,class,https://example.org/mod-sbd#SpecialistCyberResponderRole,Specialist Cyber Responder,A specialist external or internal role that augments cyber incident recovery capability.,https://example.org/ontology/sora#AuditProgramme,AuditProgramme,"A self-inspection, internal audit, or robust audit programme addressing cyber-safety/SORA concerns.",1,0.063654,very low textual similarity,True
46,class,https://example.org/mod-sbd#SecurityControl,Security Control,"A control selected, monitored, reviewed or resourced to manage cybersecurity risk.",https://example.org/ontology/sora#ControlStation,ControlStation,A station used to control or supervise the unmanned aircraft.,1,0.060096,very low textual similarity,True
47,class,https://example.org/mod-sbd#EndUserRole,End User,A stakeholder role associated with use of the delivered capability.,https://example.org/ontology/sora#MaintenanceProcedure,MaintenanceProcedure,A documented procedure governing UAS maintenance or associated cyber-safety practices.,1,0.058996,very low textual similarity,True
48,class,https://example.org/mod-sbd#DataInTransit,Data in Transit,"Data while being transferred, including third-party transfers.",https://example.org/ontology/sora#RemovableMedia,RemovableMedia,Removable electronic media used in maintenance or data transfer.,1,0.054605,very low textual similarity,True
49,class,https://example.org/mod-sbd#ResilienceMechanism,Resilience Mechanism,A mechanism intended to provide or strengthen cyber resilience and subject to testing or assessment.,https://example.org/ontology/sora#OperationalVolume,OperationalVolume,The volume within which the UAS operation is intended to take place safely.,1,0.054115,very low textual similarity,True
50,class,https://example.org/mod-sbd#DisposeSecurely,Dispose Securely,Dispose of assets or capabilities securely in accordance with required procedures and classification rules.,https://example.org/ontology/sora#Manual,Manual,"A controlled manual describing information, procedures, or instructions.",1,0.052844,very low textual similarity,True
51,class,https://example.org/mod-sbd#GovernCybersecurity,Govern Cybersecurity,Direct and control cybersecurity decision-making across the programme.,https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation,An industry-recognised cybersecurity accreditation.,1,0.049858,very low textual similarity,True
52,data_property,https://example.org/mod-sbd#parentRequirementIdentifier,parent requirement identifier,Stores the Parent Requirement ID preserved from the requirements spreadsheet for an official SbD requirement. Preserved parent/grouping identifier from the SbD source spreadsheet.,https://example.org/ontology/sora#clauseOrder,clauseOrder,Stores the controlled order of an official clause within its parent criterion.,1,0.112298,very low textual similarity,True
53,data_property,https://example.org/mod-sbd#likelihood,likelihood,Records the likelihood value or descriptor used in risk assessment. Qualitative descriptor or numeric likelihood value.,https://example.org/ontology/sora#sailOrdinal,sailOrdinal,Stores the ordinal position of a SAIL value from I through VI for ordering/query support.,1,0.040103,very low textual similarity,True
54,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_01,Risk Management,,https://example.org/ontology/sora#CY-OSO01-I-Criterion_04,Risk management programme,,1,0.657712,high review priority,True
55,individual,https://example.org/mod-sbd#DSTL-SbD05-Criterion_01,Supply Chain Risk Management,,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,Supply chain management,,1,0.620404,high review priority,True
56,individual,https://example.org/mod-sbd#DSTL-SbD06-Criterion_02,Security Authorisation Decisions,,https://example.org/ontology/sora#Authorisation,Authorisation,,1,0.478023,medium review priority,True
57,individual,https://example.org/mod-sbd#SbD_06,"Assure, Verify and Test",,https://example.org/ontology/sora#Verify,Verify,,1,0.446263,medium review priority,True
58,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_02,Secure Acquisition and Development,,https://example.org/ontology/sora#Development,Development,,1,0.441645,medium review priority,True
59,individual,https://example.org/mod-sbd#DSTL-SbD04-Criterion_03,Data Protection and Resilience,,https://example.org/ontology/sora#Resilience,Resilience,,1,0.420851,medium review priority,True
60,individual,https://example.org/mod-sbd#SbD_03,Implement Continuous Risk Management,,https://example.org/ontology/sora#Implement,Implement,,1,0.384604,medium review priority,True
61,individual,https://example.org/mod-sbd#DSTL-SbD03-C4-R1-C2,DSTL-SbD03-C4-R1-C2 — Assess vulnerabilities.,,https://example.org/ontology/sora#Assess,Assess,,1,0.350435,medium review priority,True
62,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R4-C2,DSTL-SbD03-C1-R4-C2 — Analyse cyber risks.,,https://example.org/ontology/sora#Analyse,Analyse,,1,0.346333,low review priority,True
63,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R6-C2,DSTL-SbD02-C1-R6-C2 — Communicate those responsibilities.,,https://example.org/ontology/sora#Communicate,Communicate,,1,0.322513,low review priority,True
64,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_03,Communication and Coordination,,https://example.org/ontology/sora#AE-OSO16-I-Criterion_01,Coordination procedures,,1,0.296991,low review priority,True
65,individual,https://example.org/mod-sbd#DSTL-SbD04-Criterion_04,Control Identification,,https://example.org/ontology/sora#CY-OSO06-I-Criterion_03,Access control,,1,0.286131,low review priority,True
66,individual,https://example.org/mod-sbd#DSTL-SbD02-C2-R5-C2,DSTL-SbD02-C2-R5-C2 — Derive security requirements from the risk assessment.,,https://example.org/ontology/sora#CY-OSO05-A-Criterion_01,Security risk assessment (evidence),,1,0.271414,low review priority,True
67,individual,https://example.org/mod-sbd#DSTL-SbD04-C4-R1-C3,DSTL-SbD04-C4-R1-C3 — Report on security controls at programme level through life.,,https://example.org/ontology/sora#Report,Report,,1,0.264904,low review priority,True
68,individual,https://example.org/mod-sbd#DSTL-SbD07-C1-R3-C1,DSTL-SbD07-C1-R3-C1 — Train staff in secure disposal procedures.,,https://example.org/ontology/sora#Train,Train,,1,0.263085,low review priority,True
69,individual,https://example.org/mod-sbd#DSTL-SbD01-C1-R2-C2,DSTL-SbD01-C1-R2-C2 — Consider stakeholder needs and expectations in cybersecurity risk management.,,https://example.org/ontology/sora#Stakeholder,Stakeholder,,1,0.25745,low review priority,True
70,individual,https://example.org/mod-sbd#DSTL-SbD04-C4-R1-C2,DSTL-SbD04-C4-R1-C2 — Monitor security controls at programme level through life.,,https://example.org/ontology/sora#Monitor,Monitor,,1,0.252643,low review priority,True
71,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R2-C1,DSTL-SbD02-C4-R2-C1 — Review and update threat assessments routinely.,,https://example.org/ontology/sora#Update,Update,,1,0.252555,low review priority,True
72,individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_03,Monitoring and Detection,,https://example.org/ontology/sora#AE-OSO06-I-Criterion_01,C3 performance and monitoring,,1,0.252457,low review priority,True
73,individual,https://example.org/mod-sbd#DSTL-SbD07-C5-R5-C2,DSTL-SbD07-C5-R5-C2 — Feed lessons learned from incidents and resilience exercises into design standards.,,https://example.org/ontology/sora#CY-OSO04-X-Criterion_01,Design standards cyber coverage,,1,0.248755,low review priority,True
74,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R4-C3,DSTL-SbD02-C4-R4-C3 — Use the threat analysis to anticipate probable attack methods.,,https://example.org/ontology/sora#Probable,Probable,,1,0.24338,low review priority,True
75,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R7-C2,"DSTL-SbD03-C1-R7-C2 — Include technical risks, human elements, insider threat, human error, organisational culture, social engineering, policy and workflow effects in socio-technical risk consideration.",,https://example.org/ontology/sora#CY-OSO01-I-Criterion_01,Organisational culture,,1,0.242082,low review priority,True
76,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_03,Security Plan,,https://example.org/ontology/sora#AE-OSO08-I-Criterion_03,Emergency Response Plan,,1,0.239722,low review priority,True
77,individual,https://example.org/mod-sbd#DSTL-SbD04-C1-R1-C1,"DSTL-SbD04-C1-R1-C1 — Maintain processes to review, test, evaluate and improve capability architecture.",,https://example.org/ontology/sora#Evaluate,Evaluate,,1,0.239443,low review priority,True
78,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R3-C2,DSTL-SbD02-C4-R3-C2 — Maintain the attack scenarios.,,https://example.org/ontology/sora#Maintain,Maintain,,1,0.23686,low review priority,True
79,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R1-C3,DSTL-SbD03-C1-R1-C3 — Ensure the cyber risk assessment considers infrastructure used for delivery.,,https://example.org/ontology/sora#CY-OSO05-I-Criterion_01,Cyber safety risk assessment,,1,0.230927,low review priority,True
80,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R4-C1,DSTL-SbD02-C1-R4-C1 — Review key roles regularly.,,https://example.org/ontology/sora#Review,Review,,1,0.226519,low review priority,True
81,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R6-C1,DSTL-SbD02-C1-R6-C1 — Define responsibilities that continue or change after personnel termination or role change.,,https://example.org/ontology/sora#ChangeManage,Change Manage,,1,0.207022,low review priority,True
82,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_04,Threat Assessment & Modelling,,https://example.org/ontology/sora#CyberThreat,Cyber Threat,,1,0.197861,very low textual similarity,True
83,individual,https://example.org/mod-sbd#DSTL-SbD05-C2-R1-C1,DSTL-SbD05-C2-R1-C1 — Perform planning and due diligence with the prime supplier to reduce cybersecurity risks before entering contracts.,,https://example.org/ontology/sora#Supplier,Supplier,,1,0.193311,very low textual similarity,True
84,individual,https://example.org/mod-sbd#WARP,"Warning, Advice, and Reporting Point (WARP)","A trusted, community-based information security service represented from the SbD requirements context.",https://example.org/ontology/sora#Inservice,In-service,,1,0.154653,very low textual similarity,True
85,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R3-C4,DSTL-SbD04-C3-R3-C4 — Understand third-party handling of critical data.,,https://example.org/ontology/sora#CompetentThirdParty,Competent Third Party,,1,0.149647,very low textual similarity,True
86,individual,https://example.org/mod-sbd#MOD,Ministry of Defence (MOD),"The Ministry of Defence, represented as a named organisation individual rather than a subclass of Organisation.",https://example.org/ontology/sora#DefenceinDepth,Defence in Depth,,1,0.144409,very low textual similarity,True
87,individual,https://example.org/mod-sbd#DSTL-SbD01-Criterion_01,Mission and Context,,https://example.org/ontology/sora#OSO_20,OSO_20: Human Factors evaluation and HMI appropriate for the mission,,1,0.136422,very low textual similarity,True
88,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R4-C2,DSTL-SbD02-C1-R4-C2 — Fill key roles with appropriately skilled personnel who have sufficient authority and support.,,https://example.org/ontology/sora#CompetentAuthority,Competent Authority,,1,0.118201,very low textual similarity,True
89,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R6-C3,DSTL-SbD04-C3-R6-C3 — Use appropriate cryptographic protections.,,https://example.org/ontology/sora#OSO_06,OSO_06: C3 link are appropriate for operation,,1,0.107989,very low textual similarity,True
90,individual,https://example.org/mod-sbd#DSTL-SbD07-C5-R1,DSTL-SbD07-C5-R1 — Incident Recovery,,https://example.org/ontology/sora#CY-OSO03-A-C5-H1,CY-OSO03-A-C5-H1,,1,0.092176,very low textual similarity,True
91,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R4-C1,DSTL-SbD02-C4-R4-C1 — Document the steps used to conduct detailed threat analysis.,,https://example.org/ontology/sora#Log,Log,A chronological or event-oriented record used for later review or analysis.,1,0.091091,very low textual similarity,True
92,individual,https://example.org/mod-sbd#DSTL-SbD01-C2-R4-C1,DSTL-SbD01-C2-R4-C1 — Clearly define cybersecurity roles and responsibilities.,,https://example.org/ontology/sora#CybersecurityIntegrity,Cybersecurity Integrity,,1,0.090726,very low textual similarity,True
93,individual,https://example.org/mod-sbd#DSTL-SbD07-C5-R3-C2,DSTL-SbD07-C5-R3-C2 — Duplicate key roles to avoid single points of failure.,,https://example.org/ontology/sora#Hazardous,Hazardous Failure Condition,,1,0.088304,very low textual similarity,True
94,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R4-C2,DSTL-SbD04-C3-R4-C2 — Document that impact.,,https://example.org/ontology/sora#CY-OSO01-A-C3-M1-C2,CY-OSO01-A-C3-M1-C2,,1,0.074019,very low textual similarity,True
95,object_property,https://example.org/mod-sbd#appliesDuring,applies during,Relates a requirement or activity to the lifecycle context in which it applies.,https://example.org/ontology/sora#assignmentAtSAIL,assignmentAtSAIL,Links an OSO robustness assignment to the SAIL context in which it applies.,1,0.262612,low review priority,True
96,object_property,https://example.org/mod-sbd#hasAtomicClause,has atomic clause,Links an official SbD requirement to an analytical atomic requirement clause candidate derived from it.,https://example.org/ontology/sora#analyticalComponentOf,analyticalComponentOf,Links an analytical atomic obligation to the official SORA requirement from which it was decomposed.,1,0.24462,low review priority,True
97,object_property,https://example.org/mod-sbd#hasResponsibleRole,has responsible role,"Associates a requirement, activity, risk or artefact with the role accountable or responsible for it.",https://example.org/ontology/sora#concerns,concerns,"Associates a requirement, activity, or assurance claim with the SORA-domain object or concept it concerns.",1,0.145537,very low textual similarity,True
98,object_property,https://example.org/mod-sbd#criterionBelongsToPrinciple,criterion belongs to principle,Associates an official SbD criterion with the SbD principle under which that criterion is defined.,https://example.org/ontology/sora#hasAlternativeCriterion,hasAlternativeCriterion,"Links an OSO or criterion to an explicitly stated alternative criterion, such as a Functional Test-Based route.",1,0.124817,very low textual similarity,True
99,object_property,https://example.org/mod-sbd#involvesOrganisationalConcept,involves organisational concept,"Links an SbD requirement to an actor, role, organisation, programme, group or other organisational concept involved in the requirement.",https://example.org/ontology/sora#validatedBy,validatedBy,"Links an assurance artefact, procedure, programme, training artefact, mechanism, or claim to the actor role that validates it.",1,0.116463,very low textual similarity,True
100,object_property,https://example.org/mod-sbd#produces,produces,"Relates an activity to an information artefact, evidence item, record or assessment output that it generates.",https://example.org/ontology/sora#documents,documents,"Links an actor to a document or information artefact that it creates, maintains, or supplies.",1,0.103683,very low textual similarity,True
101,object_property,https://example.org/mod-sbd#supports,supports,"Indicates that a process, control, activity, resource or managed object supports a function, decision, objective or other capability concern.",https://example.org/ontology/sora#supportedByEvidence,supportedByEvidence,Links an AssuranceClaim to evidence that supports the claim.,1,0.098589,very low textual similarity,True
102,object_property,https://example.org/mod-sbd#tests,tests,"Relates a testing or assurance activity to the plan, mechanism, backup, architecture, process or other subject being tested.",https://example.org/ontology/sora#evidencesActivityType,evidencesActivityType,Links an EvidenceArtifact to the type of assurance activity whose execution/result it evidences.,1,0.081335,very low textual similarity,True
103,object_property,https://example.org/mod-sbd#addressesSecurityProperty,addresses security property,Links an SbD requirement to a security property or objective that the requirement explicitly or inferentially seeks to protect or achieve.,https://example.org/ontology/sora#permitsDeclaration,permitsDeclaration,Links a SORA Assurance requirement to the Declaration form of assurance explicitly permitted by the source.,1,0.063819,very low textual similarity,True
104,object_property,https://example.org/mod-sbd#includedIn,included in,"Indicates that a security requirement or security-management element is included in a contract, specification, plan or procurement artefact.",https://example.org/ontology/sora#hasRequirementClassification,hasRequirementClassification,Classifies a requirement element as Annex E safety or Cyber Extension cyber-safety/security.,1,0.059927,very low textual similarity,True
105,object_property,https://example.org/mod-sbd#hasNeedOrExpectation,has need or expectation,Associates a stakeholder role with a stakeholder need or expectation relevant to the capability or programme.,https://example.org/ontology/sora#hasConformityStatus,hasConformityStatus,"Associates a configuration, component, manufactured item, or other relevant object with its conformity status.",1,0.058757,very low textual similarity,True
