review_number,entity_type,source_iri,source_label,source_definition,candidate_rank,target_iri,target_label,target_definition,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes
13,class,https://example.org/mod-sbd#CriticalData,Critical Data,"Data whose location, movement and compromise effects require explicit understanding.",1,https://example.org/ontology/sora#SafetyCriticalData,SafetyCriticalData,Data whose compromise or unavailability can affect safety-critical activities.,0.491916,0.154026,0.373654,low review priority,True,Partial,,Accept,
14,class,https://example.org/mod-sbd#OrganisationalContext,Organisational Context,The organisational circumstances on which programme cybersecurity strategy is based.,1,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture,The organisational culture supporting cyber safety and safety responsibilities.,0.528961,0.069491,0.368146,low review priority,True,Partial,,Accept,
15,class,https://example.org/mod-sbd#SbDRequirement,SbD Requirement,An official MOD Secure by Design requirement represented with its source identifier and exact wording.,1,https://example.org/ontology/sora#SORARequirement,SORARequirement,An official claimable SORA obligation from the controlled requirements register.,0.546033,0.03471,0.36707,low review priority,True,Partial,,Accept,
16,class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.,1,https://example.org/ontology/sora#SORAConcept,SORAConcept,Root grouping class for concepts required to represent the controlled SORA supplier-assurance domain.,0.55805,0.0,0.362732,low review priority,True,Missing,,Reject,
17,class,https://example.org/mod-sbd#SecurityAuthorisationDecision,Security Authorisation Decision,An informed decision by an accountable risk owner about the cyber risk held by a capability.,1,https://example.org/ontology/sora#OperationalAuthorisation,OperationalAuthorisation,An operational authorisation governing the approved UAS operation.,0.524332,0.052273,0.359111,low review priority,True,Weak,,Investigate,
18,class,https://example.org/mod-sbd#Threat,Threat,"A cyber threat or threat condition that informs risk appetite, assessment and security decisions.",1,https://example.org/ontology/sora#ThreatType,ThreatType,A controlled type of cybersecurity threat or attack referenced by the SORA Cyber Safety Extension.,0.485536,0.089433,0.3469,low review priority,True,Partial,,Accept,
19,class,https://example.org/mod-sbd#ProgrammeBoard,Programme Board,"A governance body that reviews security, risk, performance or through-life management.",1,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,0.419269,0.132788,0.319001,low review priority,True,Weak,,Investigate,
20,class,https://example.org/mod-sbd#RiskConcept,Risk Concept,"A threat, vulnerability, adverse event, risk, contributor or treatment concept relevant to SbD.",1,https://example.org/ontology/sora#RiskAndThreatConcept,RiskAndThreatConcept,"A risk, hazard, failure, threat, event, or condition relevant to SORA safety or cyber safety.",0.431511,0.097521,0.314615,low review priority,True,Partial,,Accept,
21,class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",1,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,"An artefact whose primary purpose is to support, state, or demonstrate assurance.",0.408862,0.120134,0.307807,low review priority,True,Full,,Accept,
22,class,https://example.org/mod-sbd#CybersecurityDecision,Cybersecurity Decision,"A decision relating to cybersecurity, risk or programme action informed by relevant information.",1,https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation,An industry-recognised cybersecurity accreditation.,0.446312,0.048441,0.307057,low review priority,True,Weak,,Investigate,
23,class,https://example.org/mod-sbd#SecurityControl,Security Control,"A control selected, monitored, reviewed or resourced to manage cybersecurity risk.",1,https://example.org/ontology/sora#ControlStation,ControlStation,A station used to control or supervise the unmanned aircraft.,0.42234,0.070234,0.299103,low review priority,True,Missing,,Reject,
24,class,https://example.org/mod-sbd#SecurityManagementConcept,Security Management Concept,"An abstract management concept used to govern cybersecurity decisions, risk, controls or awareness.",1,https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept,An abstract cybersecurity or safety concept referenced by the SORA requirement set.,0.384112,0.134911,0.296892,low review priority,True,Partial,,Accept,
25,class,https://example.org/mod-sbd#ExternalRequirement,"External Legal, Regulatory or Policy Requirement","A legal, regulatory or policy requirement external to the SbD requirement set that a programme must understand or consider.",1,https://example.org/ontology/sora#Policy,Policy,"A policy defining organisational expectations, controls, or responsibilities.",0.387846,0.120697,0.294344,low review priority,True,Partial,,Accept,
26,class,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,1,https://example.org/ontology/sora#ManagementSystem,ManagementSystem,A managed organisational system used to control an assurance-relevant domain.,0.437601,0.0,0.284441,low review priority,True,Weak,,Investigate,
27,class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,1,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,0.388851,0.088175,0.283614,low review priority,True,Partial,,Accept,
28,class,https://example.org/mod-sbd#InServiceStage,In-Service,"CADMID In-Service stage; used where operation, monitoring, incidents, backups, reporting or recovery indicate in-service relevance.",1,https://example.org/ontology/sora#ExternalService,ExternalService,A service external to the UAS/operator that supports the operation and may require assurance.,0.371078,0.120531,0.283387,low review priority,True,Missing,,Reject,
29,class,https://example.org/mod-sbd#RiskManagementActivity,Risk Management Activity,"An activity used to identify, assess, treat, communicate or monitor cyber risk.",1,https://example.org/ontology/sora#ActivityType,ActivityType,"A controlled vocabulary entry identifying the kind of activity required or performed, such as audit, test, validation, monitoring, maintenance, or training.",0.402844,0.039256,0.275588,low review priority,True,Partial,,Accept,
30,class,https://example.org/mod-sbd#SocioTechnicalRisk,Socio-Technical Risk,"Risk arising from interacting technical, human, organisational, policy and workflow factors.",1,https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset,"A technical system, component, communication element, or interface relevant to the SORA requirements.",0.375932,0.074118,0.270297,low review priority,True,Missing,,Reject,
31,class,https://example.org/mod-sbd#DefenceStrategicObjective,Defence Strategic Objective,A Defence strategic objective to which delivered capabilities contribute.,1,https://example.org/ontology/sora#SafetyObjective,SafetyObjective,A safety objective or desired safety outcome referenced in SORA requirements.,0.37084,0.073751,0.266859,low review priority,True,Partial,,Accept,
32,class,https://example.org/mod-sbd#PlanRiskResponse,Plan Risk Response,"Choose, plan, track and communicate a response to identified risk.",1,https://example.org/ontology/sora#EmergencyResponsePlan,EmergencyResponsePlan,The plan addressing hazardous secondary or escalating effects after loss of control.,0.374041,0.062553,0.26502,low review priority,True,Partial,,Accept,
33,class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",1,https://example.org/ontology/sora#SecurityEventType,SecurityEventType,"A controlled type of security event or indicator, such as anomaly, suspicious activity, malicious activity, or security breach.",0.291804,0.128656,0.234702,very low textual similarity,True,Partial,,Accept,
34,class,https://example.org/mod-sbd#EssentialSystem,Essential System,A system whose compromise or adverse technological change could affect essential programme functions.,1,https://example.org/ontology/sora#ITSystem,ITSystem,An information-technology system used by an applicant/operator or supporting organisation.,0.35231,0.0,0.229001,very low textual similarity,True,Partial,,Accept,
35,class,https://example.org/mod-sbd#Remediate,Remediate,Implement corrective actions that address weaknesses or improve resilience.,1,https://example.org/ontology/sora#RemovableMedia,RemovableMedia,Removable electronic media used in maintenance or data transfer.,0.326388,0.0,0.212152,very low textual similarity,True,Missing,,Reject,
36,class,https://example.org/mod-sbd#StakeholderRole,Stakeholder Role,"A role held by a party with needs, expectations, responsibilities or decision interests in the programme or capability.",1,https://example.org/ontology/sora#NotApplicablePlaceholder,NotApplicablePlaceholder,An official Low/Medium/High register placeholder whose source content is N/A or otherwise non-positive.,0.267108,0.0,0.17362,very low textual similarity,True,Missing,,Reject,
37,class,https://example.org/mod-sbd#ManufactureStage,Manufacture,CADMID Manufacture stage; used where component/design/manufacturing applicability is plausible.,1,https://example.org/ontology/sora#Manual,Manual,"A controlled manual describing information, procedures, or instructions.",0.227883,0.0,0.148124,very low textual similarity,True,Missing,,Reject,
38,class,https://example.org/mod-sbd#ProtectData,Protect Data,"Apply physical, technical or cryptographic protections to data.",1,https://example.org/ontology/sora#Datalink,Datalink,"A data communications link, which may be operational, safety-related, or payload-related depending on context.",0.199318,0.048778,0.146629,very low textual similarity,True,Missing,,Reject,
39,class,https://example.org/mod-sbd#Integrity,Integrity,Protection of data from unauthorised or undetected alteration.,1,https://example.org/ontology/sora#Interface,Interface,An interface through which actors or systems interact.,0.195218,0.0,0.126892,very low textual similarity,True,Missing,,Reject,
40,class,https://example.org/mod-sbd#RiskDecisionInformation,Risk Decision Information,Information supplied to an accountable risk owner to support an informed risk decision.,1,https://example.org/ontology/sora#Declaration,Declaration,A declaration made by an applicant/operator as a permitted assurance method at lower assurance levels.,0.175495,0.0,0.114072,very low textual similarity,True,Weak,,Investigate,
41,class,https://example.org/mod-sbd#SecureDevelopment,Secure Development,Integrate and monitor secure development practices throughout delivery.,1,https://example.org/ontology/sora#Equipment,Equipment,"Equipment relevant to manufacturing, operation, maintenance, or assurance.",0.171647,0.0,0.111571,very low textual similarity,True,Missing,,Reject,
42,class,https://example.org/mod-sbd#MaintainDataInventory,Maintain Data Inventory,Maintain and regularly review an inventory of programme data.,1,https://example.org/ontology/sora#MaintenanceLog,MaintenanceLog,A log recording maintenance performed on the UAS.,0.169954,0.0,0.11047,very low textual similarity,True,Missing,,Reject,
43,class,https://example.org/mod-sbd#SpecialistCyberResponderRole,Specialist Cyber Responder,A specialist external or internal role that augments cyber incident recovery capability.,1,https://example.org/ontology/sora#Checklist,Checklist,A checklist used to perform or evidence defined operational or assurance steps.,0.158193,0.0,0.102825,very low textual similarity,True,Missing,,Reject,
44,class,https://example.org/mod-sbd#DevelopSecurely,Develop Securely,Integrate secure practices throughout capability development and delivery.,1,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope,The designed or permitted flight envelope relevant to operational safety and protection functions.,0.137933,0.0,0.089656,very low textual similarity,True,Missing,,Reject,
1,object_property,https://example.org/mod-sbd#protects,protects,"Relates a security control, activity or security practice to the managed/protected object it protects.",1,https://example.org/ontology/sora#protects,protects,Links a requirement element or security mechanism to the security property or safety objective it protects.,1.0,0.276607,0.746812,high review priority,True,Partial,,Accept,
2,object_property,https://example.org/mod-sbd#records,records,"Relates an activity or organisational concept to a record, inventory or documented evidence item it creates or maintains.",1,https://example.org/ontology/sora#records,records,Links an actor or system to a Record or Log that it records or maintains.,1.0,0.201656,0.72058,high review priority,True,Partial,,Accept,
3,object_property,https://example.org/mod-sbd#monitors,monitors,"Relates a monitoring activity to risk, controls, remediation, capabilities, mechanisms or other monitored subjects.",1,https://example.org/ontology/sora#monitors,monitors,"Links an actual actor or system to a system, service, performance characteristic, condition, log, or threat context that it monitors.",1.0,0.087334,0.680567,medium review priority,True,Partial,,Accept,
4,object_property,https://example.org/mod-sbd#addressesRiskConcept,addresses risk concept,"Links an SbD requirement to a threat, vulnerability, risk, adverse event or related risk concept addressed by it.",1,https://example.org/ontology/sora#addresses,addresses,"Links a requirement element or activity to a risk, threat, hazard, failure, human error, event, or adverse condition that it addresses.",0.643701,0.193313,0.486065,medium review priority,True,Partial,,Accept,
5,object_property,https://example.org/mod-sbd#hasSourceCriterion,has source criterion,Associates an SbD requirement with the official SbD criterion/evidence area from which it originates.,1,https://example.org/ontology/sora#hasCriterion,hasCriterion,Links a SORA requirement element to its source criterion.,0.518856,0.24168,0.421844,low review priority,True,Full,,Accept,
6,object_property,https://example.org/mod-sbd#requiresActivity,requires activity,Indicates an activity that must be performed to satisfy an SbD requirement.,1,https://example.org/ontology/sora#requiresActivityType,requiresActivityType,States that satisfaction of a SORA requirement entails an activity or process of the specified type.,0.561889,0.039046,0.378894,low review priority,True,Partial,,Accept,
7,object_property,https://example.org/mod-sbd#performs,performs,Associates an organisational concept with an activity it performs.,1,https://example.org/ontology/sora#performsActivity,performsActivity,"Links an actual actor to an actual performed assurance, operational, maintenance, training, audit, or other activity.",0.569632,0.012306,0.374568,low review priority,True,Partial,,Accept,
8,object_property,https://example.org/mod-sbd#supports,supports,"Indicates that a process, control, activity, resource or managed object supports a function, decision, objective or other capability concern.",1,https://example.org/ontology/sora#supportedByEvidence,supportedByEvidence,Links an AssuranceClaim to evidence that supports the claim.,0.454766,0.106396,0.332836,low review priority,True,Missing,,Reject,
9,object_property,https://example.org/mod-sbd#hasRole,has role,Associates a programme or organisation with a role that exists within its SbD governance or delivery context.,1,https://example.org/ontology/sora#hasRole,hasRole,Links a person or organisation to a source-defined SORA actor role it bears.,0.438549,0.0901,0.316592,low review priority,True,Partial,,Accept,
10,object_property,https://example.org/mod-sbd#partOfRequirement,part of requirement,Links an atomic requirement clause candidate back to its official parent SbD requirement.,1,https://example.org/ontology/sora#inheritsRequirement,inheritsRequirement,Links a higher-robustness requirement element to lower-robustness requirement content explicitly inherited through 'Same as Low/Medium' constructs.,0.445024,0.055299,0.30862,low review priority,True,Missing,,Reject,
11,object_property,https://example.org/mod-sbd#requiresSecurityPractice,requires security practice,Indicates a security principle or recognised practice required or expressed as an obligation by an SbD requirement.,1,https://example.org/ontology/sora#requiresSecurityPrinciple,requiresSecurityPrinciple,Links a requirement element to a named SORA/Cyber Extension security principle or practice it explicitly requires or incorporates.,0.362594,0.199387,0.305471,low review priority,True,Full,,Accept,
12,object_property,https://example.org/mod-sbd#appliesTo,applies to,Relates an SbD requirement to a managed/protected object or organisational context to which the obligation applies.,1,https://example.org/ontology/sora#appliesToActorRole,appliesToActorRole,Associates a SORA requirement element with the source-defined actor role responsible for or directly subject to the requirement.,0.444978,0.017893,0.295498,low review priority,True,Partial,,Accept,
13,object_property,https://example.org/mod-sbd#requires,requires,"General obligation relationship indicating that an SbD requirement calls for an activity, security practice, control or other domain element.",1,https://example.org/ontology/sora#requiresEvidence,requiresEvidence,"Links a SORA Assurance requirement to evidence that must be available, documented, provided, or produced.",0.445047,0.008528,0.292265,low review priority,True,Partial,,Accept,
14,object_property,https://example.org/mod-sbd#derivedFrom,derived from,"Indicates that a concept, artefact or decision is derived from another source statement, assessment or artefact.",1,https://example.org/ontology/sora#derivedFromSourceDocument,derivedFromSourceDocument,Links an official or analytical requirement element to the controlled SORA source document from which it was derived.,0.380286,0.111292,0.286138,low review priority,True,Partial,,Accept,
15,object_property,https://example.org/mod-sbd#requiresSecurityControl,requires security control,Indicates a security control that is required by an SbD requirement.,1,https://example.org/ontology/sora#requiresSecurityMechanism,requiresSecurityMechanism,Links a requirement element to a security mechanism or control that the source requires or explicitly identifies.,0.348895,0.161635,0.283354,low review priority,True,Partial,,Accept,
16,object_property,https://example.org/mod-sbd#hasAtomicClause,has atomic clause,Links an official SbD requirement to an analytical atomic requirement clause candidate derived from it.,1,https://example.org/ontology/sora#addsAtomicObligation,addsAtomicObligation,Links a higher-robustness official requirement to an analytical atomic obligation introduced at that robustness level in addition to inherited content.,0.196169,0.211657,0.20159,very low textual similarity,True,Partial,,Accept,
17,object_property,https://example.org/mod-sbd#uses,uses,"Relates an activity, decision or assurance artefact to an information resource, artefact, asset, control or method it uses.",1,https://example.org/ontology/sora#usesStandardOrMeans,usesStandardOrMeans,"Links a requirement, activity, or assurance artefact to a Standard or Means of Compliance used to substantiate satisfaction.",0.258975,0.09168,0.200422,very low textual similarity,True,Partial,,Accept,
18,object_property,https://example.org/mod-sbd#prevents,prevents,"Indicates that a security activity or control is intended to prevent an adverse security event, vulnerability exploitation or failure.",1,https://example.org/ontology/sora#documents,documents,"Links an actor to a document or information artefact that it creates, maintains, or supplies.",0.229269,0.0,0.149025,very low textual similarity,True,Missing,,Reject,
19,object_property,https://example.org/mod-sbd#updatedFor,updated for,"Relates an artefact or assessment to a mission, threat, context or technological change that causes or justifies an update.",1,https://example.org/ontology/sora#validatedBy,validatedBy,"Links an assurance artefact, procedure, programme, training artefact, mechanism, or claim to the actor role that validates it.",0.193116,0.03202,0.136732,very low textual similarity,True,Missing,,Reject,
1,data_property,https://example.org/mod-sbd#parentRequirementIdentifier,parent requirement identifier,Stores the Parent Requirement ID preserved from the requirements spreadsheet for an official SbD requirement. Preserved parent/grouping identifier from the SbD source spreadsheet.,1,https://example.org/ontology/sora#isRequiredForSAIL,isRequiredForSAIL,States whether a particular OSO robustness assignment is required for the given SAIL. False represents an NR assignment and therefore no robustness level is required.,0.162815,0.0,0.10583,very low textual similarity,True,Missing,,Reject,String parent identifier is unrelated to a Boolean SAIL requirement indicator.
2,data_property,https://example.org/mod-sbd#likelihood,likelihood,Records the likelihood value or descriptor used in risk assessment. Qualitative descriptor or numeric likelihood value.,1,https://example.org/ontology/sora#sailOrdinal,sailOrdinal,Stores the ordinal position of a SAIL value from I through VI for ordering/query support.,0.0,0.041572,0.01455,very low textual similarity,True,Missing,,Reject,Risk likelihood is unrelated to the ordinal position of a SAIL level.
1,individual,https://example.org/mod-sbd#DSTL-SbD06-Criterion_02,Security Authorisation Decisions,,1,https://example.org/ontology/sora#Authorisation,Authorisation,,0.722307,0.47805,0.636818,medium review priority,True,Weak,,Investigate,
2,individual,https://example.org/mod-sbd#DSTL-SbD04-Criterion_03,Data Protection and Resilience,,1,https://example.org/ontology/sora#Resilience,Resilience,,0.649221,0.420815,0.569279,medium review priority,True,Partial,,Accept,
3,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_02,Secure Acquisition and Development,,1,https://example.org/ontology/sora#Development,Development,,0.628891,0.441637,0.563352,medium review priority,True,Partial,,Accept,
4,individual,https://example.org/mod-sbd#DSTL-SbD05-C1-R1,DSTL-SbD05-C1-R1 — Supply Chain Risk Management,,1,https://example.org/ontology/sora#SupplyChainSecurityManagement,Supply Chain Security Management,,0.665827,0.354417,0.556833,medium review priority,True,Partial,,Accept,
5,individual,https://example.org/mod-sbd#SbD_06,"Assure, Verify and Test",,1,https://example.org/ontology/sora#Verify,Verify,,0.61517,0.44626,0.556052,medium review priority,True,Partial,,Accept,
6,individual,https://example.org/mod-sbd#SbD_03,Implement Continuous Risk Management,,1,https://example.org/ontology/sora#Implement,Implement,,0.604327,0.382625,0.526732,medium review priority,True,Weak,,Investigate,
7,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R4-C2,DSTL-SbD03-C1-R4-C2 — Analyse cyber risks.,,1,https://example.org/ontology/sora#Analyse,Analyse,,0.573049,0.346428,0.493732,medium review priority,True,Partial,,Accept,
8,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_03,Communication and Coordination,,1,https://example.org/ontology/sora#AE-OSO16-I-Criterion_02,Coordination training,,0.586455,0.293029,0.483756,medium review priority,True,Weak,,Investigate,
9,individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_03,Monitoring and Detection,,1,https://example.org/ontology/sora#AE-OSO06-I-Criterion_01,C3 performance and monitoring,,0.53214,0.252442,0.434246,low review priority,True,Partial,,Accept,
10,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R6-C2,DSTL-SbD02-C1-R6-C2 — Communicate those responsibilities.,,1,https://example.org/ontology/sora#Communicate,Communicate,,0.493165,0.32255,0.43345,low review priority,True,Partial,,Accept,
11,individual,https://example.org/mod-sbd#DSTL-SbD01-C1-R2-C2,DSTL-SbD01-C1-R2-C2 — Consider stakeholder needs and expectations in cybersecurity risk management.,,1,https://example.org/ontology/sora#Stakeholder,Stakeholder,,0.483299,0.257038,0.404108,low review priority,True,Weak,,Investigate,
12,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_02,Risk Management Integration,,1,https://example.org/ontology/sora#CY-OSO01-A-Criterion_04,Risk management programme (evidence),,0.403056,0.330071,0.377512,low review priority,True,Partial,,Accept,
13,individual,https://example.org/mod-sbd#DSTL-SbD03-C4-R1-C2,DSTL-SbD03-C4-R1-C2 — Assess vulnerabilities.,,1,https://example.org/ontology/sora#Assess,Assess,,0.38617,0.350512,0.37369,low review priority,True,Partial,,Accept,
14,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_03,Security Plan,,1,https://example.org/ontology/sora#CY-OSO01-I-Criterion_02,IT and data security,,0.470776,0.185817,0.37104,low review priority,True,Weak,,Investigate,
15,individual,https://example.org/mod-sbd#DSTL-SbD04-Criterion_04,Control Identification,,1,https://example.org/ontology/sora#AccessControl,Access control,,0.414707,0.286081,0.369688,low review priority,True,Weak,,Investigate,
16,individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_05,Incident Recovery,,1,https://example.org/ontology/sora#Recover,Recover,,0.546564,0.0,0.355267,low review priority,True,Partial,,Accept,
17,individual,https://example.org/mod-sbd#DSTL-SbD02-C2-R5-C2,DSTL-SbD02-C2-R5-C2 — Derive security requirements from the risk assessment.,,1,https://example.org/ontology/sora#CY-OSO05-A-Criterion_01,Security risk assessment (evidence),,0.400067,0.270092,0.354576,low review priority,True,Partial,,Accept,
18,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R4-C2,DSTL-SbD04-C3-R4-C2 — Document that impact.,,1,https://example.org/ontology/sora#Document,Document,"A documentary information artefact used to define, support, or evidence SORA compliance.",0.486168,0.070849,0.340806,low review priority,True,Partial,,Accept,
19,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R3-C2,DSTL-SbD02-C4-R3-C2 — Maintain the attack scenarios.,,1,https://example.org/ontology/sora#Maintain,Maintain,,0.389313,0.23682,0.33594,low review priority,True,Partial,,Accept,
20,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R4-C1,DSTL-SbD02-C1-R4-C1 — Review key roles regularly.,,1,https://example.org/ontology/sora#Review,Review,,0.387133,0.22537,0.330516,low review priority,True,Partial,,Accept,
21,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R4-C3,DSTL-SbD02-C4-R4-C3 — Use the threat analysis to anticipate probable attack methods.,,1,https://example.org/ontology/sora#Probable,Probable,,0.372131,0.243411,0.327079,low review priority,True,Missing,,Reject,
22,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R6-C1,DSTL-SbD02-C1-R6-C1 — Define responsibilities that continue or change after personnel termination or role change.,,1,https://example.org/ontology/sora#ChangeManage,Change Manage,,0.3672,0.238138,0.322028,low review priority,True,Weak,,Investigate,
23,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R2-C1,DSTL-SbD02-C4-R2-C1 — Review and update threat assessments routinely.,,1,https://example.org/ontology/sora#Update,Update,,0.357326,0.252571,0.320662,low review priority,True,Partial,,Accept,
24,individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_04,Incident Response,,1,https://example.org/ontology/sora#AE-OSO08-I-Criterion_03,Emergency Response Plan,,0.373989,0.211976,0.317284,low review priority,True,Partial,,Accept,
25,individual,https://example.org/mod-sbd#DSTL-SbD04-C1-R1-C1,"DSTL-SbD04-C1-R1-C1 — Maintain processes to review, test, evaluate and improve capability architecture.",,1,https://example.org/ontology/sora#Evaluate,Evaluate,,0.358873,0.238795,0.316846,low review priority,True,Partial,,Accept,
26,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_04,Threat Assessment & Modelling,,1,https://example.org/ontology/sora#CyberThreat,Cyber Threat,,0.364913,0.197787,0.306419,low review priority,True,Weak,,Investigate,
27,individual,https://example.org/mod-sbd#DSTL-SbD07-C1-R3-C1,DSTL-SbD07-C1-R3-C1 — Train staff in secure disposal procedures.,,1,https://example.org/ontology/sora#Staff,Staff,,0.338694,0.244996,0.3059,low review priority,True,Weak,,Investigate,
28,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R7-C2,"DSTL-SbD03-C1-R7-C2 — Include technical risks, human elements, insider threat, human error, organisational culture, social engineering, policy and workflow effects in socio-technical risk consideration.",,1,https://example.org/ontology/sora#CY-OSO01-I-Criterion_01,Organisational culture,,0.311512,0.2392,0.286203,low review priority,True,Partial,,Accept,
29,individual,https://example.org/mod-sbd#DSTL-SbD06-Criterion_01,Security Testing and Verification,,1,https://example.org/ontology/sora#CY-OSO05-I-Criterion_05,Test and security validation,,0.390235,0.092694,0.286096,low review priority,True,Full,,Accept,
