entity_type,source_iri,source_label,source_definition,candidate_rank,target_iri,target_label,target_definition,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes
class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change,Anticipate technological developments that could adversely affect essential systems.,3,https://example.org/ontology/sora#Certificate,Certificate,A certificate used as evidence of recognised status or qualification.,0.053907,0.0,0.03504,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Architecture,Architecture,"The capability or programme architecture that is reviewed, tested, evaluated and improved for cyber resilience.",1,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture,The organisational culture supporting cyber safety and safety responsibilities.,0.104482,0.020781,0.075187,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Architecture,Architecture,"The capability or programme architecture that is reviewed, tested, evaluated and improved for cyber resilience.",2,https://example.org/ontology/sora#Failure,Failure,A failure of the UAS or supporting system relevant to safety or assurance.,0.073204,0.0,0.047583,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Architecture,Architecture,"The capability or programme architecture that is reviewed, tested, evaluated and improved for cyber resilience.",3,https://example.org/ontology/sora#Procedure,Procedure,A documented set of instructions or procedural steps.,0.062679,0.0,0.040742,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ArchivalManagement,Archival Management,Manage archival information/assets securely as part of through-life management.,1,https://example.org/ontology/sora#ManagementSystem,ManagementSystem,A managed organisational system used to control an assurance-relevant domain.,0.334708,0.0,0.21756,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ArchivalManagement,Archival Management,Manage archival information/assets securely as part of through-life management.,2,https://example.org/ontology/sora#SafetyManagementSystem,SafetyManagementSystem,A safety management system in line with the principles required by Annex E OSO #01.,0.223473,0.045378,0.16114,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ArchivalManagement,Archival Management,Manage archival information/assets securely as part of through-life management.,3,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,0.219276,0.051526,0.160563,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,1,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,0.388851,0.088175,0.283614,low review priority,True,,,,
class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,2,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,"An artefact whose primary purpose is to support, state, or demonstrate assurance.",0.126729,0.086193,0.112541,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,3,https://example.org/ontology/sora#EvidenceArtifact,EvidenceArtifact,Evidence supplied or retained to support satisfaction of a SORA requirement.,0.156329,0.0,0.101614,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,1,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,0.587138,0.112235,0.420922,low review priority,True,,,,
class,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,2,https://example.org/ontology/sora#AssessmentArtifact,AssessmentArtifact,A documented result or artefact produced by an assessment or appraisal.,0.574412,0.090116,0.404908,low review priority,False,,,,
class,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,3,https://example.org/ontology/sora#FunctionalHazardAssessment,FunctionalHazardAssessment,A Functional Hazard Assessment used to demonstrate system-safety assurance.,0.428241,0.104951,0.315089,low review priority,False,,,,
class,https://example.org/mod-sbd#Asset,Asset,A tangible or intangible programme resource or object subject to management or protection.,1,https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset,"A technical system, component, communication element, or interface relevant to the SORA requirements.",0.40742,0.0,0.264823,low review priority,False,,,,
class,https://example.org/mod-sbd#Asset,Asset,A tangible or intangible programme resource or object subject to management or protection.,2,https://example.org/ontology/sora#AssessmentArtifact,AssessmentArtifact,A documented result or artefact produced by an assessment or appraisal.,0.169838,0.0,0.110395,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Asset,Asset,A tangible or intangible programme resource or object subject to management or protection.,3,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,0.090129,0.0,0.058584,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,1,https://example.org/ontology/sora#ManagementSystem,ManagementSystem,A managed organisational system used to control an assurance-relevant domain.,0.437601,0.0,0.284441,low review priority,True,,,,
class,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,2,https://example.org/ontology/sora#SafetyManagementSystem,SafetyManagementSystem,A safety management system in line with the principles required by Annex E OSO #01.,0.292171,0.088218,0.220787,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,3,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,0.286683,0.029506,0.196671,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",1,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,"An artefact whose primary purpose is to support, state, or demonstrate assurance.",0.408862,0.120134,0.307807,low review priority,True,,,,
class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",2,https://example.org/ontology/sora#AssuranceClaim,AssuranceClaim,"A claim that a SORA-relevant requirement, integrity level, or assurance condition is satisfied.",0.427857,0.017671,0.284292,low review priority,False,,,,
class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",3,https://example.org/ontology/sora#AssuranceStatement,AssuranceStatement,"A formal assertion or statement concerning satisfaction, integrity, assurance, or another SORA-relevant condition.",0.41812,0.016429,0.277528,low review priority,False,,,,
class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice,"A security practice concerned with ongoing assurance, testing or verification.",1,https://example.org/ontology/sora#AssuranceClaim,AssuranceClaim,"A claim that a SORA-relevant requirement, integrity level, or assurance condition is satisfied.",0.379028,0.038359,0.259794,low review priority,False,,,,
class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice,"A security practice concerned with ongoing assurance, testing or verification.",2,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,"An artefact whose primary purpose is to support, state, or demonstrate assurance.",0.373106,0.042192,0.257286,low review priority,False,,,,
class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice,"A security practice concerned with ongoing assurance, testing or verification.",3,https://example.org/ontology/sora#AssuranceStatement,AssuranceStatement,"A formal assertion or statement concerning satisfaction, integrity, assurance, or another SORA-relevant condition.",0.370402,0.035663,0.253243,low review priority,False,,,,
class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause,An analytical clause-level obligation candidate decomposed from an official SbD requirement.,1,https://example.org/ontology/sora#SORARequirement,SORARequirement,An official claimable SORA obligation from the controlled requirements register.,0.360328,0.076756,0.261078,low review priority,False,,,,
class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause,An analytical clause-level obligation candidate decomposed from an official SbD requirement.,2,https://example.org/ontology/sora#SORARequirementElement,SORARequirementElement,A source or analytical element used to represent SORA requirement structure.,0.318041,0.093322,0.23939,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause,An analytical clause-level obligation candidate decomposed from an official SbD requirement.,3,https://example.org/ontology/sora#AnalyticalRequirementElement,AnalyticalRequirementElement,A non-official analytical element introduced to represent the semantics of an official source requirement without altering it.,0.27191,0.124023,0.22015,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AttackScenario,Attack Scenario,A plausible scenario describing how a threat actor may pursue an objective against the programme or capability.,1,https://example.org/ontology/sora#ThreatType,ThreatType,A controlled type of cybersecurity threat or attack referenced by the SORA Cyber Safety Extension.,0.030047,0.055207,0.038853,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AttackScenario,Attack Scenario,A plausible scenario describing how a threat actor may pursue an objective against the programme or capability.,2,https://example.org/ontology/sora#OperationalContextElement,OperationalContextElement,"A non-actor element describing an operational boundary, configuration, resource, or environmental condition.",0.0,0.063185,0.022115,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AttackScenario,Attack Scenario,A plausible scenario describing how a threat actor may pursue an objective against the programme or capability.,3,https://example.org/ontology/sora#Criterion,Criterion,A criterion grouping within an OSO under which requirement clauses are organised.,0.030436,0.0,0.019784,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,A method or technique by which a threat actor could attack or analyse a system.,1,https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset,"A technical system, component, communication element, or interface relevant to the SORA requirements.",0.201166,0.0,0.130758,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,A method or technique by which a threat actor could attack or analyse a system.,2,https://example.org/ontology/sora#ThreatType,ThreatType,A controlled type of cybersecurity threat or attack referenced by the SORA Cyber Safety Extension.,0.023955,0.082237,0.044354,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,A method or technique by which a threat actor could attack or analyse a system.,3,https://example.org/ontology/sora#Declaration,Declaration,A declaration made by an applicant/operator as a permitted assurance method at lower assurance levels.,0.0,0.087212,0.030524,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Availability,Availability,Availability or continuity of essential functions and information when needed.,1,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,0.168706,0.0,0.109659,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Availability,Availability,Availability or continuity of essential functions and information when needed.,2,https://example.org/ontology/sora#Failure,Failure,A failure of the UAS or supporting system relevant to safety or assurance.,0.03645,0.0,0.023692,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Availability,Availability,Availability or continuity of essential functions and information when needed.,3,https://example.org/ontology/sora#TrainingSyllabus,TrainingSyllabus,A syllabus specifying required training content or structure.,0.029094,0.0,0.018911,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Backup,Backup,A protected and tested copy or recovery resource used to support continuity or recovery.,1,https://example.org/ontology/sora#Accreditation,Accreditation,A recognised accreditation used to support assurance.,0.0,0.112111,0.039239,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Backup,Backup,A protected and tested copy or recovery resource used to support continuity or recovery.,2,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,0.0,0.111625,0.039069,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Backup,Backup,A protected and tested copy or recovery resource used to support continuity or recovery.,3,https://example.org/ontology/sora#Firmware,Firmware,Firmware used within UAS or support components.,0.0,0.046613,0.016315,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity,Maintain essential functions during disruption or incidents.,1,https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard,An Airworthiness Design Standard used for UAS components essential to safe operations.,0.078419,0.035606,0.063435,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity,Maintain essential functions during disruption or incidents.,2,https://example.org/ontology/sora#ControlStation,ControlStation,A station used to control or supervise the unmanned aircraft.,0.075105,0.0,0.048818,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity,Maintain essential functions during disruption or incidents.,3,https://example.org/ontology/sora#RobustnessLevel,RobustnessLevel,"The SORA Low, Medium, or High robustness level used in OSO requirement assignment. Not Required (NR) is an assignment status, not a robustness level.",0.063681,0.0,0.041393,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#BusinessContinuityPlan,Business Continuity Plan,A plan for maintaining essential functions during disruption or incident.,1,https://example.org/ontology/sora#EmergencyResponsePlan,EmergencyResponsePlan,The plan addressing hazardous secondary or escalating effects after loss of control.,0.079271,0.069175,0.075737,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#BusinessContinuityPlan,Business Continuity Plan,A plan for maintaining essential functions during disruption or incident.,2,https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard,An Airworthiness Design Standard used for UAS components essential to safe operations.,0.072906,0.029319,0.05765,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#BusinessContinuityPlan,Business Continuity Plan,A plan for maintaining essential functions during disruption or incident.,3,https://example.org/ontology/sora#ControlStation,ControlStation,A station used to control or supervise the unmanned aircraft.,0.069825,0.0,0.045386,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CADMIDStage,CADMID Stage,"A Concept, Assessment, Demonstration, Manufacture, In-Service or Disposal stage used to express MOD lifecycle applicability.",1,https://example.org/ontology/sora#Material,Material,A material used in manufacture or maintenance of the UAS.,0.0,0.061552,0.021543,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CADMIDStage,CADMID Stage,"A Concept, Assessment, Demonstration, Manufacture, In-Service or Disposal stage used to express MOD lifecycle applicability.",2,https://example.org/ontology/sora#ServiceLevelAgreement,ServiceLevelAgreement,A service-level agreement or comparable commitment defining relevant service responsibilities or quality.,0.0,0.055325,0.019364,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CADMIDStage,CADMID Stage,"A Concept, Assessment, Demonstration, Manufacture, In-Service or Disposal stage used to express MOD lifecycle applicability.",3,https://example.org/ontology/sora#Tool,Tool,"A tool used for manufacture, inspection, maintenance, calibration, or assurance.",0.0,0.052554,0.018394,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Capability,Capability,"A delivered programme capability whose essential functions, risk, architecture, controls and through-life security are governed.",1,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,0.202648,0.0,0.131721,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Capability,Capability,"A delivered programme capability whose essential functions, risk, architecture, controls and through-life security are governed.",2,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,0.0,0.045125,0.015794,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Capability,Capability,"A delivered programme capability whose essential functions, risk, architecture, controls and through-life security are governed.",3,https://example.org/ontology/sora#SecurityEventType,SecurityEventType,"A controlled type of security event or indicator, such as anomaly, suspicious activity, malicious activity, or security breach.",0.008794,0.019274,0.012462,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CapabilityTeam,Capability Team,A team responsible for aspects of capability delivery and cybersecurity responsibilities.,1,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,0.168424,0.0,0.109476,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CapabilityTeam,Capability Team,A team responsible for aspects of capability delivery and cybersecurity responsibilities.,2,https://example.org/ontology/sora#Actor,Actor,"A person or organisation that can participate in, be responsible for, or provide services relevant to SORA assurance.",0.0,0.046415,0.016245,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CapabilityTeam,Capability Team,A team responsible for aspects of capability delivery and cybersecurity responsibilities.,3,https://example.org/ontology/sora#Policy,Policy,"A policy defining organisational expectations, controls, or responsibilities.",0.0,0.042599,0.01491,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CaptureLessonsLearned,Capture Lessons Learned,"Capture and feed lessons from delivery, incidents or exercises back into programme and development practice.",1,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture,The organisational culture supporting cyber safety and safety responsibilities.,0.069893,0.0,0.045431,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CaptureLessonsLearned,Capture Lessons Learned,"Capture and feed lessons from delivery, incidents or exercises back into programme and development practice.",2,https://example.org/ontology/sora#ConceptOfOperations,ConceptOfOperations,The documented concept of operations describing the proposed operation.,0.05478,0.0,0.035607,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CaptureLessonsLearned,Capture Lessons Learned,"Capture and feed lessons from delivery, incidents or exercises back into programme and development practice.",3,https://example.org/ontology/sora#Failure,Failure,A failure of the UAS or supporting system relevant to safety or assurance.,0.04897,0.0,0.03183,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information,"Communicate cybersecurity decisions, responsibilities, risks or information to relevant parties.",1,https://example.org/ontology/sora#CommunicationLink,CommunicationLink,A communications link used by the UAS or supporting systems.,0.46927,0.0,0.305025,low review priority,False,,,,
class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information,"Communicate cybersecurity decisions, responsibilities, risks or information to relevant parties.",2,https://example.org/ontology/sora#CommunicationDevice,CommunicationDevice,A device providing communications relevant to the operation.,0.448267,0.023238,0.299507,low review priority,False,,,,
class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information,"Communicate cybersecurity decisions, responsibilities, risks or information to relevant parties.",3,https://example.org/ontology/sora#SecurityFunction,SecurityFunction,A cybersecurity function or process such as authentication or authorisation.,0.193623,0.021762,0.133472,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Compromise,Compromise,"Loss or degradation of security affecting a capability, data or essential function.",1,https://example.org/ontology/sora#ComputerSystem,ComputerSystem,"A computer-based system relevant to business, maintenance, or UAS support activities.",0.142088,0.0,0.092357,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Compromise,Compromise,"Loss or degradation of security affecting a capability, data or essential function.",2,https://example.org/ontology/sora#MaintenanceComputer,MaintenanceComputer,"A computer used for UAS maintenance, loading, diagnostic, or related support tasks.",0.065262,0.0,0.04242,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Compromise,Compromise,"Loss or degradation of security affecting a capability, data or essential function.",3,https://example.org/ontology/sora#MeansOfCompliance,MeansOfCompliance,A means of compliance accepted by a competent authority for demonstrating satisfaction of a requirement.,0.061249,0.0,0.039812,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.,1,https://example.org/ontology/sora#SORAConcept,SORAConcept,Root grouping class for concepts required to represent the controlled SORA supplier-assurance domain.,0.55805,0.0,0.362732,low review priority,True,,,,
class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.,2,https://example.org/ontology/sora#ConceptOfOperations,ConceptOfOperations,The documented concept of operations describing the proposed operation.,0.403911,0.082469,0.291406,low review priority,False,,,,
class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.,3,https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept,An abstract cybersecurity or safety concept referenced by the SORA requirement set.,0.383969,0.104915,0.2863,low review priority,False,,,,
class,https://example.org/mod-sbd#ConductForensics,Conduct Forensics,Perform tested forensic processes to develop a documented understanding of an incident.,1,https://example.org/ontology/sora#FailureCondition,FailureCondition,A classified failure condition to which severity and frequency expectations can be assigned.,0.045024,0.0,0.029266,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ConductForensics,Conduct Forensics,Perform tested forensic processes to develop a documented understanding of an incident.,2,https://example.org/ontology/sora#OperationalCondition,OperationalCondition,A condition affecting the operation or the applicability/effectiveness of requirements.,0.044052,0.0,0.028634,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ConductForensics,Conduct Forensics,Perform tested forensic processes to develop a documented understanding of an incident.,3,https://example.org/ontology/sora#ConceptOfOperations,ConceptOfOperations,The documented concept of operations describing the proposed operation.,0.025602,0.033864,0.028493,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment,"Assess cyber risk using relevant threat, vulnerability, likelihood, impact and contextual information.",1,https://example.org/ontology/sora#AssessmentArtifact,AssessmentArtifact,A documented result or artefact produced by an assessment or appraisal.,0.405511,0.028106,0.273419,low review priority,False,,,,
class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment,"Assess cyber risk using relevant threat, vulnerability, likelihood, impact and contextual information.",2,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,0.39852,0.029659,0.269419,low review priority,False,,,,
class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment,"Assess cyber risk using relevant threat, vulnerability, likelihood, impact and contextual information.",3,https://example.org/ontology/sora#FunctionalHazardAssessment,FunctionalHazardAssessment,A Functional Hazard Assessment used to demonstrate system-safety assurance.,0.290669,0.027734,0.198641,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#ConductRootCauseAnalysis,Conduct Root Cause Analysis,Identify root causes and impacts during post-incident analysis.,1,https://example.org/ontology/sora#AnalyticalRequirementElement,AnalyticalRequirementElement,A non-official analytical element introduced to represent the semantics of an official source requirement without altering it.,0.108379,0.0,0.070446,very low textual similarity,False,,,,
