review_number,entity_type,source_iri,source_label,source_definition,candidate_rank,target_iri,target_label,target_definition,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes
13,class,https://example.org/mod-sbd#CriticalData,Critical Data,"Data whose location, movement and compromise effects require explicit understanding.",1,https://example.org/ontology/sora#SafetyCriticalData,SafetyCriticalData,Data whose compromise or unavailability can affect safety-critical activities.,0.491916,0.154026,0.373654,low review priority,True,Partial,,Accept,
14,class,https://example.org/mod-sbd#OrganisationalContext,Organisational Context,The organisational circumstances on which programme cybersecurity strategy is based.,1,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture,The organisational culture supporting cyber safety and safety responsibilities.,0.528961,0.069491,0.368146,low review priority,True,Partial,,Accept,
15,class,https://example.org/mod-sbd#SbDRequirement,SbD Requirement,An official MOD Secure by Design requirement represented with its source identifier and exact wording.,1,https://example.org/ontology/sora#SORARequirement,SORARequirement,An official claimable SORA obligation from the controlled requirements register.,0.546033,0.03471,0.36707,low review priority,True,Partial,,Accept,
16,class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.,1,https://example.org/ontology/sora#SORAConcept,SORAConcept,Root grouping class for concepts required to represent the controlled SORA supplier-assurance domain.,0.55805,0.0,0.362732,low review priority,True,Missing,,Reject,
17,class,https://example.org/mod-sbd#SecurityAuthorisationDecision,Security Authorisation Decision,An informed decision by an accountable risk owner about the cyber risk held by a capability.,1,https://example.org/ontology/sora#OperationalAuthorisation,OperationalAuthorisation,An operational authorisation governing the approved UAS operation.,0.524332,0.052273,0.359111,low review priority,True,Weak,,Investigate,
18,class,https://example.org/mod-sbd#Threat,Threat,"A cyber threat or threat condition that informs risk appetite, assessment and security decisions.",1,https://example.org/ontology/sora#ThreatType,ThreatType,A controlled type of cybersecurity threat or attack referenced by the SORA Cyber Safety Extension.,0.485536,0.089433,0.3469,low review priority,True,Partial,,Accept,
19,class,https://example.org/mod-sbd#ProgrammeBoard,Programme Board,"A governance body that reviews security, risk, performance or through-life management.",1,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,0.419269,0.132788,0.319001,low review priority,True,Weak,,Investigate,
20,class,https://example.org/mod-sbd#RiskConcept,Risk Concept,"A threat, vulnerability, adverse event, risk, contributor or treatment concept relevant to SbD.",1,https://example.org/ontology/sora#RiskAndThreatConcept,RiskAndThreatConcept,"A risk, hazard, failure, threat, event, or condition relevant to SORA safety or cyber safety.",0.431511,0.097521,0.314615,low review priority,True,Partial,,Accept,
21,class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",1,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,"An artefact whose primary purpose is to support, state, or demonstrate assurance.",0.408862,0.120134,0.307807,low review priority,True,Full,,Accept,
22,class,https://example.org/mod-sbd#CybersecurityDecision,Cybersecurity Decision,"A decision relating to cybersecurity, risk or programme action informed by relevant information.",1,https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation,An industry-recognised cybersecurity accreditation.,0.446312,0.048441,0.307057,low review priority,True,Weak,,Investigate,
23,class,https://example.org/mod-sbd#SecurityControl,Security Control,"A control selected, monitored, reviewed or resourced to manage cybersecurity risk.",1,https://example.org/ontology/sora#ControlStation,ControlStation,A station used to control or supervise the unmanned aircraft.,0.42234,0.070234,0.299103,low review priority,True,Missing,,Reject,
24,class,https://example.org/mod-sbd#SecurityManagementConcept,Security Management Concept,"An abstract management concept used to govern cybersecurity decisions, risk, controls or awareness.",1,https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept,An abstract cybersecurity or safety concept referenced by the SORA requirement set.,0.384112,0.134911,0.296892,low review priority,True,Partial,,Accept,
25,class,https://example.org/mod-sbd#ExternalRequirement,"External Legal, Regulatory or Policy Requirement","A legal, regulatory or policy requirement external to the SbD requirement set that a programme must understand or consider.",1,https://example.org/ontology/sora#Policy,Policy,"A policy defining organisational expectations, controls, or responsibilities.",0.387846,0.120697,0.294344,low review priority,True,Partial,,Accept,
26,class,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,1,https://example.org/ontology/sora#ManagementSystem,ManagementSystem,A managed organisational system used to control an assurance-relevant domain.,0.437601,0.0,0.284441,low review priority,True,Weak,,Investigate,
27,class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.,1,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,0.388851,0.088175,0.283614,low review priority,True,Partial,,Accept,
28,class,https://example.org/mod-sbd#InServiceStage,In-Service,"CADMID In-Service stage; used where operation, monitoring, incidents, backups, reporting or recovery indicate in-service relevance.",1,https://example.org/ontology/sora#ExternalService,ExternalService,A service external to the UAS/operator that supports the operation and may require assurance.,0.371078,0.120531,0.283387,low review priority,True,Missing,,Reject,
29,class,https://example.org/mod-sbd#RiskManagementActivity,Risk Management Activity,"An activity used to identify, assess, treat, communicate or monitor cyber risk.",1,https://example.org/ontology/sora#ActivityType,ActivityType,"A controlled vocabulary entry identifying the kind of activity required or performed, such as audit, test, validation, monitoring, maintenance, or training.",0.402844,0.039256,0.275588,low review priority,True,Partial,,Accept,
30,class,https://example.org/mod-sbd#SocioTechnicalRisk,Socio-Technical Risk,"Risk arising from interacting technical, human, organisational, policy and workflow factors.",1,https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset,"A technical system, component, communication element, or interface relevant to the SORA requirements.",0.375932,0.074118,0.270297,low review priority,True,Missing,,Reject,
31,class,https://example.org/mod-sbd#DefenceStrategicObjective,Defence Strategic Objective,A Defence strategic objective to which delivered capabilities contribute.,1,https://example.org/ontology/sora#SafetyObjective,SafetyObjective,A safety objective or desired safety outcome referenced in SORA requirements.,0.37084,0.073751,0.266859,low review priority,True,Partial,,Accept,
32,class,https://example.org/mod-sbd#PlanRiskResponse,Plan Risk Response,"Choose, plan, track and communicate a response to identified risk.",1,https://example.org/ontology/sora#EmergencyResponsePlan,EmergencyResponsePlan,The plan addressing hazardous secondary or escalating effects after loss of control.,0.374041,0.062553,0.26502,low review priority,True,Partial,,Accept,
33,class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",1,https://example.org/ontology/sora#SecurityEventType,SecurityEventType,"A controlled type of security event or indicator, such as anomaly, suspicious activity, malicious activity, or security breach.",0.291804,0.128656,0.234702,very low textual similarity,True,Partial,,Accept,
34,class,https://example.org/mod-sbd#EssentialSystem,Essential System,A system whose compromise or adverse technological change could affect essential programme functions.,1,https://example.org/ontology/sora#ITSystem,ITSystem,An information-technology system used by an applicant/operator or supporting organisation.,0.35231,0.0,0.229001,very low textual similarity,True,Partial,,Accept,
35,class,https://example.org/mod-sbd#Remediate,Remediate,Implement corrective actions that address weaknesses or improve resilience.,1,https://example.org/ontology/sora#RemovableMedia,RemovableMedia,Removable electronic media used in maintenance or data transfer.,0.326388,0.0,0.212152,very low textual similarity,True,Missing,,Reject,
36,class,https://example.org/mod-sbd#StakeholderRole,Stakeholder Role,"A role held by a party with needs, expectations, responsibilities or decision interests in the programme or capability.",1,https://example.org/ontology/sora#NotApplicablePlaceholder,NotApplicablePlaceholder,An official Low/Medium/High register placeholder whose source content is N/A or otherwise non-positive.,0.267108,0.0,0.17362,very low textual similarity,True,Missing,,Reject,
37,class,https://example.org/mod-sbd#ManufactureStage,Manufacture,CADMID Manufacture stage; used where component/design/manufacturing applicability is plausible.,1,https://example.org/ontology/sora#Manual,Manual,"A controlled manual describing information, procedures, or instructions.",0.227883,0.0,0.148124,very low textual similarity,True,Missing,,Reject,
38,class,https://example.org/mod-sbd#ProtectData,Protect Data,"Apply physical, technical or cryptographic protections to data.",1,https://example.org/ontology/sora#Datalink,Datalink,"A data communications link, which may be operational, safety-related, or payload-related depending on context.",0.199318,0.048778,0.146629,very low textual similarity,True,Missing,,Reject,
39,class,https://example.org/mod-sbd#Integrity,Integrity,Protection of data from unauthorised or undetected alteration.,1,https://example.org/ontology/sora#Interface,Interface,An interface through which actors or systems interact.,0.195218,0.0,0.126892,very low textual similarity,True,Missing,,Reject,
40,class,https://example.org/mod-sbd#RiskDecisionInformation,Risk Decision Information,Information supplied to an accountable risk owner to support an informed risk decision.,1,https://example.org/ontology/sora#Declaration,Declaration,A declaration made by an applicant/operator as a permitted assurance method at lower assurance levels.,0.175495,0.0,0.114072,very low textual similarity,True,Weak,,Investigate,
41,class,https://example.org/mod-sbd#SecureDevelopment,Secure Development,Integrate and monitor secure development practices throughout delivery.,1,https://example.org/ontology/sora#Equipment,Equipment,"Equipment relevant to manufacturing, operation, maintenance, or assurance.",0.171647,0.0,0.111571,very low textual similarity,True,Missing,,Reject,
42,class,https://example.org/mod-sbd#MaintainDataInventory,Maintain Data Inventory,Maintain and regularly review an inventory of programme data.,1,https://example.org/ontology/sora#MaintenanceLog,MaintenanceLog,A log recording maintenance performed on the UAS.,0.169954,0.0,0.11047,very low textual similarity,True,Missing,,Reject,
43,class,https://example.org/mod-sbd#SpecialistCyberResponderRole,Specialist Cyber Responder,A specialist external or internal role that augments cyber incident recovery capability.,1,https://example.org/ontology/sora#Checklist,Checklist,A checklist used to perform or evidence defined operational or assurance steps.,0.158193,0.0,0.102825,very low textual similarity,True,Missing,,Reject,
44,class,https://example.org/mod-sbd#DevelopSecurely,Develop Securely,Integrate secure practices throughout capability development and delivery.,1,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope,The designed or permitted flight envelope relevant to operational safety and protection functions.,0.137933,0.0,0.089656,very low textual similarity,True,Missing,,Reject,
