ontology_side,entity_type,entity_iri,label,description
source_SbD,class,https://example.org/mod-sbd#CyberSecurityStrategy,Cyber Security Strategy,A formally documented programme cybersecurity strategy based on organisational context and reviewed as threats and mission change.
source_SbD,class,https://example.org/mod-sbd#Cyberattack,Cyberattack,"A cyber attack whose methods, techniques and impact on essential functions are considered."
source_SbD,class,https://example.org/mod-sbd#CybersecurityDecision,Cybersecurity Decision,"A decision relating to cybersecurity, risk or programme action informed by relevant information."
source_SbD,class,https://example.org/mod-sbd#DataInTransit,Data in Transit,"Data while being transferred, including third-party transfers."
source_SbD,class,https://example.org/mod-sbd#DataInventory,Data Inventory,A maintained record identifying programme data and supporting understanding of its location and handling.
source_SbD,class,https://example.org/mod-sbd#DataProtection,Data Protection,Protect important data in transit and storage using appropriate safeguards.
source_SbD,class,https://example.org/mod-sbd#Decision,Decision,"A decision or approval that influences programme, capability or cybersecurity action."
source_SbD,class,https://example.org/mod-sbd#DecisionMakerRole,Decision Maker,A role responsible for using security information to make programme or risk decisions.
source_SbD,class,https://example.org/mod-sbd#DefenceStrategicObjective,Defence Strategic Objective,A Defence strategic objective to which delivered capabilities contribute.
source_SbD,class,https://example.org/mod-sbd#DefineRolesAndResponsibilities,Define Roles and Responsibilities,"Define and assign cybersecurity roles, responsibilities and accountabilities."
source_SbD,class,https://example.org/mod-sbd#DefineSecurityRequirements,Define Security Requirements,Define security requirements from risk and incorporate them into programme or procurement artefacts.
source_SbD,class,https://example.org/mod-sbd#DemonstrationStage,Demonstration,"Development/demonstration context associated with design, architecture and implementation before or during delivery."
source_SbD,class,https://example.org/mod-sbd#DesignDevelopmentSecurityPractice,Design and Development Security Practice,"A security principle or practice concerned with design, development or architecture."
source_SbD,class,https://example.org/mod-sbd#DevelopAttackScenarios,Develop Attack Scenarios,Develop and maintain plausible attack scenarios based on threat-actor objectives.
source_SbD,class,https://example.org/mod-sbd#DevelopSecurely,Develop Securely,Integrate secure practices throughout capability development and delivery.
source_SbD,class,https://example.org/mod-sbd#DevelopmentPractice,Development Practice,"A development practice that may be improved using lessons learned from incidents, exercises or delivery."
source_SbD,class,https://example.org/mod-sbd#DisasterRecovery,Disaster Recovery,Restore capability and supporting information following disruption.
source_SbD,class,https://example.org/mod-sbd#DisasterRecoveryPlan,Disaster Recovery Plan,A plan for restoring capability or services following disruption.
source_SbD,class,https://example.org/mod-sbd#DisposalStage,Disposal,CADMID Disposal stage or explicit secure-disposal context.
source_SbD,class,https://example.org/mod-sbd#DisposeSecurely,Dispose Securely,Dispose of assets or capabilities securely in accordance with required procedures and classification rules.
source_SbD,class,https://example.org/mod-sbd#DocumentedEvidence,Documented Evidence,Documented information used to demonstrate or support fulfilment of an SbD requirement.
source_SbD,class,https://example.org/mod-sbd#EndUserRole,End User,A stakeholder role associated with use of the delivered capability.
source_SbD,class,https://example.org/mod-sbd#EssentialFunction,Essential Function,A mission- or programme-critical function whose continuity or protection is a key security concern.
source_SbD,class,https://example.org/mod-sbd#EssentialSystem,Essential System,A system whose compromise or adverse technological change could affect essential programme functions.
source_SbD,class,https://example.org/mod-sbd#EvidenceAssessmentOutput,Evidence or Assessment Output,"Evidence produced by monitoring, testing, measurement or assurance assessment."
source_SbD,class,https://example.org/mod-sbd#EvidenceRecord,Evidence Record,"A record or documented evidence item showing that an assurance-relevant activity, event or review occurred."
source_SbD,class,https://example.org/mod-sbd#ExerciseRecovery,Exercise Recovery,Exercise recovery teams and resilience arrangements and use lessons to improve future practice.
source_SbD,class,https://example.org/mod-sbd#ExternalRequirement,"External Legal, Regulatory or Policy Requirement","A legal, regulatory or policy requirement external to the SbD requirement set that a programme must understand or consider."
source_SbD,class,https://example.org/mod-sbd#FinancialForecast,Financial Forecast,A financial planning artefact into which cybersecurity resourcing is integrated.
source_SbD,class,https://example.org/mod-sbd#ForensicRecord,Forensic Record,Forensic evidence documenting an incident and supporting understanding of what occurred.
source_SbD,class,https://example.org/mod-sbd#Function,Function,A function performed by or supported by a capability.
source_SbD,class,https://example.org/mod-sbd#GovernCybersecurity,Govern Cybersecurity,Direct and control cybersecurity decision-making across the programme.
source_SbD,class,https://example.org/mod-sbd#GovernanceActivity,Governance Activity,"An activity that directs, coordinates, reviews or communicates cybersecurity governance."
source_SbD,class,https://example.org/mod-sbd#IdentifyDocumentData,Identify or Document Data,Identify and document data relevant to programme functioning or threat exposure.
source_SbD,class,https://example.org/mod-sbd#IdentifyRisk,Identify Risk,Identify cyber risks affecting programme capabilities or essential functions.
source_SbD,class,https://example.org/mod-sbd#InServiceStage,In-Service,"CADMID In-Service stage; used where operation, monitoring, incidents, backups, reporting or recovery indicate in-service relevance."
source_SbD,class,https://example.org/mod-sbd#Incident,Incident,"A security incident or near miss that triggers review, response, forensics, recovery or lessons learned."
source_SbD,class,https://example.org/mod-sbd#IncidentContainment,Incident Containment,Contain or limit the impact of an incident during response.
source_SbD,class,https://example.org/mod-sbd#IncidentManagementActivity,Incident Management Activity,"An activity used to plan for, contain, analyse, respond to or recover from cybersecurity incidents."
source_SbD,class,https://example.org/mod-sbd#IncidentResponse,Incident Response,Prepare for and manage cyber incidents to contain impact and sustain essential functions.
source_SbD,class,https://example.org/mod-sbd#IncidentResponsePlan,Incident Response Plan,"A maintained and tested plan defining how incidents are handled and integrated with continuity, supply-chain and infrastructure plans."
source_SbD,class,https://example.org/mod-sbd#IncidentReviewRecord,Incident Review Record,"Documented incident or near-miss review used to understand causes, impacts and lessons."
source_SbD,class,https://example.org/mod-sbd#InformationSecurityService,Information Security Service,"A service providing trusted information-security support, warning, advice, reporting or related community functions."
source_SbD,class,https://example.org/mod-sbd#InformationTechnology,Information Technology (IT),Information technology considered in programme cyber-risk assessment.
source_SbD,class,https://example.org/mod-sbd#Infrastructure,Infrastructure,"Physical or digital infrastructure supporting programme delivery, operations, continuity or security."
source_SbD,class,https://example.org/mod-sbd#InherentRisk,Inherent Risk,"Risk determined from threat, vulnerability, likelihood and impact before the selected risk response is considered."
source_SbD,class,https://example.org/mod-sbd#InsiderThreat,Insider Threat,"A threat originating from an insider, explicitly included in socio-technical risk considerations."
source_SbD,class,https://example.org/mod-sbd#Integrity,Integrity,Protection of data from unauthorised or undetected alteration.
source_SbD,class,https://example.org/mod-sbd#InvestmentApproval,Investment Approval,A programme investment approval within which cybersecurity is to be embedded.
source_SbD,class,https://example.org/mod-sbd#InviteToTenderDocumentation,Invite to Tender Documentation,Procurement documentation into which security requirements may be included.
source_SbD,class,https://example.org/mod-sbd#KnowledgeAsset,Knowledge Asset,Knowledge required to support programme or operational activity.
source_SbD,class,https://example.org/mod-sbd#LifecycleManagementActivity,Lifecycle Management Activity,"An activity used to manage assets, people and security through capability life."
source_SbD,class,https://example.org/mod-sbd#LifecycleSecurityPractice,Lifecycle Security Practice,"A security practice concerned with secure through-life handling, archival management or disposal."
source_SbD,class,https://example.org/mod-sbd#MaintainDataInventory,Maintain Data Inventory,Maintain and regularly review an inventory of programme data.
source_SbD,class,https://example.org/mod-sbd#MakeSecurityAuthorisationDecision,Make Security Authorisation Decision,Enable an accountable risk owner to make an informed decision about risk held by a capability.
source_SbD,class,https://example.org/mod-sbd#ManageAssets,Manage Assets,Maintain through-life management of programme assets in line with policy.
source_SbD,class,https://example.org/mod-sbd#ManageBackups,Manage Backups,"Secure, test and make backups available for continuity or recovery."
source_SbD,class,https://example.org/mod-sbd#ManageIncident,Manage Incident,Execute tested incident-management processes to contain impact and maintain essential functions.
source_SbD,class,https://example.org/mod-sbd#ManageSecurityControls,Manage Security Controls,"Monitor, report, review and maintain security controls through life."
source_SbD,class,https://example.org/mod-sbd#ManageThroughLife,Manage Through Life,"Manage security, assets, controls, assurance and capability change throughout the lifecycle."
source_SbD,class,https://example.org/mod-sbd#ManageVulnerabilities,Manage Vulnerabilities,"Systematically understand, assess, manage and improve treatment of vulnerabilities."
source_SbD,class,https://example.org/mod-sbd#ManagedObject,Managed or Protected Object,"An object, capability, service, data item, resource or artefact that is managed, protected or referenced by SbD requirements."
source_SbD,class,https://example.org/mod-sbd#ManufactureStage,Manufacture,CADMID Manufacture stage; used where component/design/manufacturing applicability is plausible.
source_SbD,class,https://example.org/mod-sbd#Mission,Mission,"The mission or mission purpose whose change, essential functions or objectives influence cybersecurity decisions."
source_SbD,class,https://example.org/mod-sbd#MonitorRemediation,Monitor Remediation,Monitor remediation arising from independent security testing or other assurance activity.
source_SbD,class,https://example.org/mod-sbd#MonitorRiskEffectiveness,Monitor Risk or Effectiveness,"Monitor security, risk, controls, remediation or resilience and review effectiveness over time."
source_SbD,class,https://example.org/mod-sbd#MonitoringAndDetection,Monitoring and Detection,Monitor capabilities to detect or understand security issues throughout life.
source_SbD,class,https://example.org/mod-sbd#MonitoringEvidence,Monitoring Evidence,"Evidence from ongoing monitoring of controls, risk, remediations, capabilities or resilience."
source_SbD,class,https://example.org/mod-sbd#NormativeElement,Normative Element,"A requirement, principle, criterion, standard or other normative element relevant to MOD Secure by Design."
source_SbD,class,https://example.org/mod-sbd#Obsolescence,Obsolescence,Through-life degradation or ageing that may affect capability effectiveness or security.
source_SbD,class,https://example.org/mod-sbd#ObtainSupplyChainAssurance,Obtain Supply Chain Assurance,Obtain and manage assurance over supply-chain risk management and flowed-down security expectations.
source_SbD,class,https://example.org/mod-sbd#OnboardingOffboarding,Onboarding or Offboarding,"Manage personnel entry, role change or exit with security-relevant training and controls."
source_SbD,class,https://example.org/mod-sbd#OperationalKnowledge,Operational Knowledge,Knowledge required by response or recovery personnel such that loss of one individual does not undermine recovery.
source_SbD,class,https://example.org/mod-sbd#OperationalResilienceSecurityPractice,Operational Resilience Security Practice,"A security practice concerned with continuity, incident response and recovery."
source_SbD,class,https://example.org/mod-sbd#OperationalTechnology,Operational Technology (OT),Operational technology considered in programme cyber-risk assessment.
source_SbD,class,https://example.org/mod-sbd#OrganisationalConcept,Organisational Concept,"A programme, person, organisation, role, group or network involved in SbD governance or delivery."
source_SbD,class,https://example.org/mod-sbd#OrganisationalContext,Organisational Context,The organisational circumstances on which programme cybersecurity strategy is based.
source_SbD,class,https://example.org/mod-sbd#OrganisationalEntity,Organisational Entity,An entity participating in organisational security activity.
source_SbD,class,https://example.org/mod-sbd#OrganisationalRiskAppetiteStatement,Organisational Risk Appetite Statement,An organisational statement that informs the programme risk appetite.
source_SbD,class,https://example.org/mod-sbd#OrganisationalUnit,Organisational Unit,"A team, board, group or management unit within an organisation."
source_SbD,class,https://example.org/mod-sbd#PerformDueDiligence,Perform Due Diligence,Perform cybersecurity planning and due diligence before contracting with a supplier.
source_SbD,class,https://example.org/mod-sbd#PersonnelLifecycleContext,Personnel Lifecycle Context,"Personnel onboarding, role change, termination and offboarding context."
source_SbD,class,https://example.org/mod-sbd#PlanIncidentResponse,Plan Incident Response,"Establish, communicate, maintain, review, test and integrate incident response planning."
source_SbD,class,https://example.org/mod-sbd#PlanRiskResponse,Plan Risk Response,"Choose, plan, track and communicate a response to identified risk."
source_SbD,class,https://example.org/mod-sbd#PlanningArtefact,Planning Artefact,"An artefact used to plan, resource or govern programme activity."
source_SbD,class,https://example.org/mod-sbd#PostIncidentOperationalNorm,Post-Incident Operational Norm,The intended operational state established through prioritised post-incident recovery actions.
source_SbD,class,https://example.org/mod-sbd#PrimeSupplier,Prime Supplier,"The principal contracted supplier with which MOD conducts planning, due diligence and contractual risk treatment."
source_SbD,class,https://example.org/mod-sbd#PrioritiseRisk,Prioritise Risk,"Prioritise risks, improvements, responses or recovery actions."
source_SbD,class,https://example.org/mod-sbd#ProcurementArtefact,Procurement Artefact,An information artefact used in procurement or contracting.
source_SbD,class,https://example.org/mod-sbd#ProgrammeBoard,Programme Board,"A governance body that reviews security, risk, performance or through-life management."
source_SbD,class,https://example.org/mod-sbd#ProgrammeSponsorRole,Programme Sponsor,A stakeholder role sponsoring the programme and contributing needs and expectations.
source_SbD,class,https://example.org/mod-sbd#ProtectData,Protect Data,"Apply physical, technical or cryptographic protections to data."
source_SbD,class,https://example.org/mod-sbd#ProtectionControlSecurityPractice,Protection and Control Security Practice,"A security principle or practice concerned with protecting assets, data and vulnerabilities."
source_SbD,class,https://example.org/mod-sbd#Recover,Recover,Restore or sustain essential functions following an incident.
source_SbD,class,https://example.org/mod-sbd#Recoverability,Recoverability,Ability to restore required capability or functions following an incident.
source_SbD,class,https://example.org/mod-sbd#RecoveryPlan,Recovery Plan,"A documented plan defining selection, scope and prioritisation of post-incident recovery actions."
source_SbD,class,https://example.org/mod-sbd#RecoveryPreparedness,Recovery Preparedness,"Prepare people, resources, plans and backups for post-incident recovery."
source_SbD,class,https://example.org/mod-sbd#RecoverySupportService,Recovery Support Service,An external service or support arrangement that augments internal recovery capability.
source_SbD,class,https://example.org/mod-sbd#Remediate,Remediate,Implement corrective actions that address weaknesses or improve resilience.
source_SbD,class,https://example.org/mod-sbd#ReportingRecord,Reporting Record,"A record demonstrating reporting of cyber issues, risks or control status."
source_SbD,class,https://example.org/mod-sbd#ResidualCyberRisk,Residual Cyber Risk,"Cyber risk remaining after controls or responses, considered against risk appetite for decision-making."
source_SbD,class,https://example.org/mod-sbd#Resilience,Resilience,"Ability of the capability/programme to withstand, continue through and recover from cyber disruption."
source_SbD,class,https://example.org/mod-sbd#ResilienceMechanism,Resilience Mechanism,A mechanism intended to provide or strengthen cyber resilience and subject to testing or assessment.
source_SbD,class,https://example.org/mod-sbd#Resource,Resource,"Time, authority, funding, people or other resources allocated to security delivery, controls or recovery."
source_SbD,class,https://example.org/mod-sbd#ResourceGap,Resource Gap,"A shortfall in time, authority, funding or skilled personnel that may create cybersecurity delivery risk."
source_SbD,class,https://example.org/mod-sbd#ResponseTeam,Response Team,A team assigned to incident response or recovery activities.
source_SbD,class,https://example.org/mod-sbd#Review,Review,"Review a security artefact, process, role, risk, control or outcome for currency or effectiveness."
source_SbD,class,https://example.org/mod-sbd#ReviewIncidents,Review Incidents,"Review incidents and near misses to understand causes, effects and improvements."
source_SbD,class,https://example.org/mod-sbd#ReviewRecord,Review Record,"Evidence that an artefact, process, role, risk or control has been reviewed."
source_SbD,class,https://example.org/mod-sbd#ReviewTestArchitecture,Review or Test Architecture,"Review, test, evaluate and improve capability architecture."
source_SbD,class,https://example.org/mod-sbd#RiskAppetite,Risk Appetite,The level and type of cyber risk the programme is prepared to accept and use in decision-making.
source_SbD,class,https://example.org/mod-sbd#RiskAppetiteStatement,Risk Appetite Statement,A documented statement defining organisational or Defence risk appetite.
source_SbD,class,https://example.org/mod-sbd#RiskBasedSecurity,Risk-Based Security,Select and manage security decisions in proportion to assessed cyber risk and risk appetite.
source_SbD,class,https://example.org/mod-sbd#RiskCommunication,Risk Communication,Conduct structured two-way communication of cybersecurity risks across organisational and supply-chain boundaries.
source_SbD,class,https://example.org/mod-sbd#RiskConcept,Risk Concept,"A threat, vulnerability, adverse event, risk, contributor or treatment concept relevant to SbD."
source_SbD,class,https://example.org/mod-sbd#RiskContributor,Risk Contributor,A condition or factor that contributes to cybersecurity risk.
source_SbD,class,https://example.org/mod-sbd#RiskDecisionInformation,Risk Decision Information,Information supplied to an accountable risk owner to support an informed risk decision.
source_SbD,class,https://example.org/mod-sbd#RiskGovernanceSecurityPractice,Risk and Governance Security Practice,A security principle or practice concerned with risk-informed governance.
source_SbD,class,https://example.org/mod-sbd#RiskManagementActivity,Risk Management Activity,"An activity used to identify, assess, treat, communicate or monitor cyber risk."
source_SbD,class,https://example.org/mod-sbd#RiskManagementFramework,Risk Management Framework,The programme framework into which vulnerability and broader cyber-risk management are integrated.
source_SbD,class,https://example.org/mod-sbd#RiskOwnerRole,Risk Owner,An empowered and accountable role responsible for informed decisions about capability risk.
source_SbD,class,https://example.org/mod-sbd#RiskResponse,Risk Response,"The chosen, prioritised, planned, tracked and communicated response to identified risk."
source_SbD,class,https://example.org/mod-sbd#RiskTreatment,Risk Treatment,A concept describing the selected response or treatment of identified risk.
source_SbD,class,https://example.org/mod-sbd#Role,Role,A responsibility-bearing position or function that may be held by a person or organisational entity.
source_SbD,class,https://example.org/mod-sbd#RoleRedundancy,Role Redundancy,Duplicate critical recovery roles to avoid a personnel single point of failure.
source_SbD,class,https://example.org/mod-sbd#SQEPPersonnel,Suitably Qualified and Experienced Personnel (SQEP),"Personnel possessing the cybersecurity knowledge, skills, experience and authority required for relevant work."
source_SbD,class,https://example.org/mod-sbd#SbDCriterion,SbD Criterion,An official source criterion/evidence-area used to organise SbD requirements.
source_SbD,class,https://example.org/mod-sbd#SbDPrinciple,SbD Principle,An official MOD Secure by Design principle grouping related criteria and requirements.
source_SbD,class,https://example.org/mod-sbd#SbDRequirement,SbD Requirement,An official MOD Secure by Design requirement represented with its source identifier and exact wording.
source_SbD,class,https://example.org/mod-sbd#SecureAcquisition,Secure Acquisition,"Build cybersecurity considerations into acquisition, contractual and lifecycle processes."
source_SbD,class,https://example.org/mod-sbd#SecureByDesign,Secure by Design,Security is integrated into capability and programme decisions from the outset rather than added later.
source_SbD,class,https://example.org/mod-sbd#SecureDevelopment,Secure Development,Integrate and monitor secure development practices throughout delivery.
source_SbD,class,https://example.org/mod-sbd#SecureDisposal,Secure Disposal,Apply security controls and classification rules when disposing of assets or capabilities.
source_SbD,class,https://example.org/mod-sbd#SecurityArtefact,Security Artefact,"A documented cybersecurity strategy, plan, assessment, inventory or other structured security artefact."
source_SbD,class,https://example.org/mod-sbd#SecurityAuthorisationDecision,Security Authorisation Decision,An informed decision by an accountable risk owner about the cyber risk held by a capability.
source_SbD,class,https://example.org/mod-sbd#SecurityAwareness,Security Awareness,"Personnel awareness of security and privacy responsibilities, measured for effectiveness."
source_SbD,class,https://example.org/mod-sbd#SecurityAwarenessMeasurement,Security Awareness Measurement,Evidence of security-awareness effectiveness based on behavioural impact rather than attendance alone.
source_SbD,class,https://example.org/mod-sbd#SecurityControl,Security Control,"A control selected, monitored, reviewed or resourced to manage cybersecurity risk."
source_SbD,class,https://example.org/mod-sbd#SecurityEngineeringActivity,Security Engineering Activity,"An activity used to define, develop, implement, protect, test or improve security in a capability."
source_SbD,class,https://example.org/mod-sbd#SecurityGovernance,Security Governance,"Govern cybersecurity decisions, roles, escalation and performance through accountable programme structures."
source_SbD,class,https://example.org/mod-sbd#SecurityManagementConcept,Security Management Concept,"An abstract management concept used to govern cybersecurity decisions, risk, controls or awareness."
source_SbD,class,https://example.org/mod-sbd#SecurityReporting,Security Reporting,"Report security issues, risks, status or control information through defined reporting channels."
source_SbD,class,https://example.org/mod-sbd#SecurityRequirement,Security Requirement,"A normative cybersecurity requirement applying to a programme, capability, asset, activity or stakeholder."
source_SbD,class,https://example.org/mod-sbd#SecurityRequirementFlowDown,Security Requirement Flow-Down,Propagate security requirements and risk-appetite expectations through supplier tiers.
source_SbD,class,https://example.org/mod-sbd#SecurityTestingAndVerification,Security Testing and Verification,Practice of testing and verifying security or resilience expectations.
source_SbD,class,https://example.org/mod-sbd#SecurityWorkingGroup,Security Working Group,"A governance group used to manage, coordinate and communicate cybersecurity decisions and risks."
source_SbD,class,https://example.org/mod-sbd#SelectSecurityControls,Select Security Controls,"Select controls appropriate to capability delivery, assessed risk and risk appetite."
source_SbD,class,https://example.org/mod-sbd#SeniorManagementRole,Senior Management,A senior leadership role to which significant cybersecurity analysis may be escalated.
source_SbD,class,https://example.org/mod-sbd#SeniorResponsibleOwnerRole,Senior Responsible Owner,A senior accountable role that may define risk appetite or act as a risk owner.
source_SbD,class,https://example.org/mod-sbd#SinglePointOfFailure,Single Point of Failure,A dependency on a single role or resource whose loss could undermine recovery capability.
source_SbD,class,https://example.org/mod-sbd#SocialEngineering,Social Engineering,"Manipulative attack techniques targeting people, explicitly included in socio-technical risk."
source_SbD,class,https://example.org/mod-sbd#SocioTechnicalRisk,Socio-Technical Risk,"Risk arising from interacting technical, human, organisational, policy and workflow factors."
source_SbD,class,https://example.org/mod-sbd#SocioTechnicalSecurity,Socio-Technical Security,"Treat cyber risk as arising from interacting technical, human, organisational and process factors."
source_SbD,class,https://example.org/mod-sbd#SpecialistCyberResponderRole,Specialist Cyber Responder,A specialist external or internal role that augments cyber incident recovery capability.
source_SbD,class,https://example.org/mod-sbd#Specification,Specification,A technical or procurement specification into which security requirements may be incorporated.
source_SbD,class,https://example.org/mod-sbd#StakeholderNeedOrExpectation,Stakeholder Need or Expectation,A stakeholder need or expectation to be understood and considered in cybersecurity risk management.
source_SbD,class,https://example.org/mod-sbd#StakeholderRole,Stakeholder Role,"A role held by a party with needs, expectations, responsibilities or decision interests in the programme or capability."
source_SbD,class,https://example.org/mod-sbd#StoredData,Stored Data,Data held at rest and requiring appropriate physical or technical protection.
source_SbD,class,https://example.org/mod-sbd#SupplierOrganisation,Supplier Organisation,"An external organisation supplying goods, services, support or resources to a programme."
source_SbD,class,https://example.org/mod-sbd#SupplyChain,Supply Chain,"The network of supplier organisations involved in providing capabilities, systems, services or support."
source_SbD,class,https://example.org/mod-sbd#SupplyChainAssuranceEvidence,Supply Chain Assurance Evidence,"Evidence that supplier risk management, flowed-down security requirements and risk appetite expectations are addressed."
source_SbD,class,https://example.org/mod-sbd#SupplyChainRiskManagement,Supply Chain Risk Management,Manage cybersecurity risk and security expectations across the supplier chain.
source_SbD,class,https://example.org/mod-sbd#SupplyChainSecurityPractice,Supply-Chain Security Practice,A security practice concerned with acquisition and supplier-chain risk.
source_SbD,class,https://example.org/mod-sbd#TechnologicalChangeRisk,Technological Change Risk,Risk arising from technological developments or changes that may adversely affect essential systems or invalidate prior assessments.
source_SbD,class,https://example.org/mod-sbd#Technology,Technology,Technology used or anticipated in delivering capabilities and considered in risk assessment.
source_SbD,class,https://example.org/mod-sbd#TestSecurityResilience,Test Security or Resilience,"Test security or resilience mechanisms, processes, plans or controls."
