mapping_id,source_type,target_type,source_iri,source_label,source_definition,source_domain,source_range,target_iri,target_label,target_definition,target_domain,target_range,relation,aml_score,manual_classification,assurance_relevance,reviewer_decision,review_notes,classification_reason
11,class,class,https://example.org/mod-sbd#System,System,"A technical or socio-technical system subject to acquisition, use, exit, risk assessment or security controls.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#System,System,A technical system considered by SORA requirements.,[Not explicitly stated],[Not explicitly stated],=,0.9801,Partial,,,,"SbD includes socio-technical systems, while SORA focuses on technical systems."
12,class,class,https://example.org/mod-sbd#Activity,Activity,"An action, process or practice performed to satisfy or support SbD requirements.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Activity,Activity,"A performed action, process, or event relevant to satisfying or evidencing a SORA requirement.",[Not explicitly stated],[Not explicitly stated],=,0.9801,Full,,,,Equivalent performed activity or process concepts.
13,class,class,https://example.org/mod-sbd#InformationArtifact,Information Artefact,"A document, record, plan, assessment, inventory, reference or other information-bearing artefact used in programme delivery or assurance.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#InformationArtifact,InformationArtifact,"A data, document, record, or assurance artefact that can be created, maintained, reviewed, or supplied as part of SORA assurance.",[Not explicitly stated],[Not explicitly stated],=,0.9801,Full,,,,Equivalent information-bearing artefact concepts.
14,class,class,https://example.org/mod-sbd#SecurityProperty,Security Property,A cybersecurity property or objective that SbD requirements seek to protect or achieve.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#SecurityProperty,SecurityProperty,"A protected cybersecurity attribute or capability, such as confidentiality, integrity, availability, authenticity, or resilience.",[Not explicitly stated],[Not explicitly stated],=,0.9801,Full,,,,Equivalent protected cybersecurity-property concepts.
15,class,class,https://example.org/mod-sbd#CyberRisk,Cyber Risk,"Risk arising from cybersecurity threats, vulnerabilities, dependencies or failures that may affect programme capabilities or essential functions.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#CyberRisk,CyberRisk,Risk arising from cyber threats affecting the UAS operation or its supporting systems.,[Not explicitly stated],[Not explicitly stated],=,0.9801,Full,,,,Equivalent cybersecurity-risk concepts.
16,class,class,https://example.org/mod-sbd#Data,Data,"Information essential to programme functioning or security that may be stored, transferred, inventoried, protected or compromised.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Data,Data,"Data or information relevant to the UAS, operation, or assurance activities.",[Not explicitly stated],[Not explicitly stated],=,0.9801,Partial,,,,"Same data concept, but with different domain scope."
17,class,class,https://example.org/mod-sbd#LifecycleContext,Lifecycle Context,A lifecycle stage or cross-lifecycle context in which an SbD requirement may apply.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#LifecycleContext,LifecycleContext,"A controlled lifecycle or operational context in which a requirement, activity, or assurance expectation applies.",[Not explicitly stated],[Not explicitly stated],=,0.9801,Full,,,,Equivalent lifecycle or operational applicability contexts.
18,class,class,https://example.org/mod-sbd#SecurityPrincipleOrPractice,Security Principle or Practice,A cybersecurity principle or recognised practice expressed by the SbD requirements.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#SecurityPrincipleOrPractice,SecurityPrincipleOrPractice,A named cybersecurity principle or practice referenced by the Cyber Safety Extension.,[Not explicitly stated],[Not explicitly stated],=,0.9801,Full,,,,Equivalent cybersecurity principle or recognised-practice concepts.
19,class,class,https://example.org/mod-sbd#SecurityMechanism,Security Mechanism,A technical or procedural mechanism used to provide a security or resilience function.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#SecurityMechanism,SecurityMechanism,"A security mechanism or control approach such as access control, encryption, anti-replay, digital signatures, hashes, malware protection, or wireless protection.",[Not explicitly stated],[Not explicitly stated],=,0.9801,Full,,,,Equivalent technical or procedural security-mechanism concepts.
20,class,class,https://example.org/mod-sbd#Risk,Risk,A potential for adverse consequence considered in programme cybersecurity decision-making.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Risk,Risk,A SORA-relevant risk combining likelihood/frequency and consequence/severity.,[Not explicitly stated],[Not explicitly stated],=,0.9801,Full,,,,Equivalent general risk concepts.
21,object_property,object_property,https://example.org/mod-sbd#requiresActivity,requires activity,Indicates an activity that must be performed to satisfy an SbD requirement.,SbD Requirement,Activity,https://example.org/ontology/sora#requiresActivityType,requiresActivityType,States that satisfaction of a SORA requirement entails an activity or process of the specified type.,SORARequirementElement,ActivityType,=,0.9323,Partial,,,,"Both require an activity, but SORA points to a controlled activity type."
22,object_property,object_property,https://example.org/mod-sbd#hasSourceCriterion,has source criterion,Associates an SbD requirement with the official SbD criterion/evidence area from which it originates.,SbD Requirement,SbD Criterion,https://example.org/ontology/sora#hasCriterion,hasCriterion,Links a SORA requirement element to its source criterion.,SORARequirementElement,Criterion,=,0.9142,Full,,,,Equivalent links between requirement elements and their source criteria.
23,object_property,object_property,https://example.org/mod-sbd#appliesTo,applies to,Relates an SbD requirement to a managed/protected object or organisational context to which the obligation applies.,SbD Requirement,[anonymous class expression],https://example.org/ontology/sora#appliesToActorRole,appliesToActorRole,Associates a SORA requirement element with the source-defined actor role responsible for or directly subject to the requirement.,SORARequirementElement,ActorRole,=,0.8396,Weak,,,,A general applicability relationship is broader than responsibility assigned to an actor role.
24,object_property,object_property,https://example.org/mod-sbd#performs,performs,Associates an organisational concept with an activity it performs.,Organisational Concept,Activity,https://example.org/ontology/sora#performsActivity,performsActivity,"Links an actual actor to an actual performed assurance, operational, maintenance, training, audit, or other activity.",Actor,Activity,=,0.8381,Partial,,,,"Both express activity performance, but organisational concepts and actual actors have different scope."
25,object_property,object_property,https://example.org/mod-sbd#requires,requires,"General obligation relationship indicating that an SbD requirement calls for an activity, security practice, control or other domain element.",SbD Requirement,[anonymous class expression],https://example.org/ontology/sora#requiresEvidence,requiresEvidence,"Links a SORA Assurance requirement to evidence that must be available, documented, provided, or produced.",SORARequirement,EvidenceArtifact,=,0.8381,Weak,,,,The general SbD requirement relationship is much broader than requiring evidence.
26,object_property,object_property,https://example.org/mod-sbd#requiresSecurityPractice,requires security practice,Indicates a security principle or recognised practice required or expressed as an obligation by an SbD requirement.,SbD Requirement,Security Principle or Practice,https://example.org/ontology/sora#requiresSecurityPrinciple,requiresSecurityPrinciple,Links a requirement element to a named SORA/Cyber Extension security principle or practice it explicitly requires or incorporates.,SORARequirementElement,SecurityPrincipleOrPractice,=,0.8338,Full,,,,Equivalent requirement-to-security-principle relationships.
27,object_property,object_property,https://example.org/mod-sbd#derivedFrom,derived from,"Indicates that a concept, artefact or decision is derived from another source statement, assessment or artefact.",[anonymous class expression],[anonymous class expression],https://example.org/ontology/sora#derivedFromSourceDocument,derivedFromSourceDocument,Links an official or analytical requirement element to the controlled SORA source document from which it was derived.,SORARequirementElement,SourceDocument,=,0.8262,Partial,,,,"Both express derivation, but SORA is restricted to controlled source documents."
28,object_property,object_property,https://example.org/mod-sbd#requiresSecurityControl,requires security control,Indicates a security control that is required by an SbD requirement.,SbD Requirement,Security Control,https://example.org/ontology/sora#requiresSecurityMechanism,requiresSecurityMechanism,Links a requirement element to a security mechanism or control that the source requires or explicitly identifies.,SORARequirementElement,SecurityMechanism,=,0.7964,Full,,,,Security controls and security mechanisms perform the same requirement-supporting role here.
29,object_property,object_property,https://example.org/mod-sbd#belongsToPrinciple,belongs to principle,Associates an SbD requirement directly with its official SbD principle.,SbD Requirement,SbD Principle,https://example.org/ontology/sora#belongsToOSO,belongsToOSO,Links a SORA requirement element to the Operational Safety Objective it supports.,SORARequirementElement,OperationalSafetyObjective,=,0.7825,Partial,,,,"Both express structural membership, but an SbD principle and a SORA OSO are different groupings."
30,object_property,object_property,https://example.org/mod-sbd#addressesRiskConcept,addresses risk concept,"Links an SbD requirement to a threat, vulnerability, risk, adverse event or related risk concept addressed by it.",SbD Requirement,Risk Concept,https://example.org/ontology/sora#addresses,addresses,"Links a requirement element or activity to a risk, threat, hazard, failure, human error, event, or adverse condition that it addresses.",[anonymous class expression],RiskAndThreatConcept,=,0.7715,Full,,,,Equivalent links from requirements or activities to addressed risk and threat concepts.
31,class,class,https://example.org/mod-sbd#CriticalData,Critical Data,"Data whose location, movement and compromise effects require explicit understanding.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#SafetyCriticalData,SafetyCriticalData,Data whose compromise or unavailability can affect safety-critical activities.,[Not explicitly stated],[Not explicitly stated],=,0.7239,Partial,,,,Safety-critical data is a specialised form of critical data.
32,class,class,https://example.org/mod-sbd#Personnel,Personnel,"Staff or personnel performing programme, security, operational, disposal, response or recovery activities.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Person,Person,A human actor participating in the SORA assurance or UAS operational context.,[Not explicitly stated],[Not explicitly stated],=,0.69,Partial,,,,"Personnel and person overlap, but personnel represents a workforce grouping."
33,object_property,object_property,https://example.org/mod-sbd#uses,uses,"Relates an activity, decision or assurance artefact to an information resource, artefact, asset, control or method it uses.",[anonymous class expression],[anonymous class expression],https://example.org/ontology/sora#usesStandardOrMeans,usesStandardOrMeans,"Links a requirement, activity, or assurance artefact to a Standard or Means of Compliance used to substantiate satisfaction.",[anonymous class expression],[anonymous class expression],=,0.6835,Partial,,,,The SbD uses relationship is broader than using a standard or means of compliance.
34,class,class,https://example.org/mod-sbd#ThreatConcept,Threat Concept,"A concept describing cyber threats, adversarial scenarios or assumptions.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#RiskAndThreatConcept,RiskAndThreatConcept,"A risk, hazard, failure, threat, event, or condition relevant to SORA safety or cyber safety.",[Not explicitly stated],[Not explicitly stated],=,0.6689,Partial,,,,Threat Concept is a narrower part of the broader RiskAndThreatConcept grouping.
35,class,class,https://example.org/mod-sbd#ThreatActorRole,Threat Actor,"An adversarial role whose objectives, perspective or actions are considered in threat analysis.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#ActorRole,ActorRole,"A source-defined role that an Actor may hold, such as Applicant, Operator, Remote Pilot, Supplier, or Competent Authority.",[Not explicitly stated],[Not explicitly stated],=,0.6531,Weak,,,,"A threat actor is adversarial, while ActorRole includes many non-adversarial roles."
36,class,class,https://example.org/mod-sbd#OperationalContext,Operational Context,The operational circumstances in which capabilities are provided and used.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#OperationalContextElement,OperationalContextElement,"A non-actor element describing an operational boundary, configuration, resource, or environmental condition.",[Not explicitly stated],[Not explicitly stated],=,0.6496,Partial,,,,"Both describe operational context, but SORA excludes actors from this class."
37,class,class,https://example.org/mod-sbd#Threat,Threat,"A cyber threat or threat condition that informs risk appetite, assessment and security decisions.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#ThreatType,ThreatType,A controlled type of cybersecurity threat or attack referenced by the SORA Cyber Safety Extension.,[Not explicitly stated],[Not explicitly stated],=,0.6457,Partial,,,,ThreatType is a controlled category of the broader Threat concept.
38,object_property,object_property,https://example.org/mod-sbd#partOfRequirement,part of requirement,Links an atomic requirement clause candidate back to its official parent SbD requirement.,Atomic Requirement Clause,SbD Requirement,https://example.org/ontology/sora#inheritsRequirement,inheritsRequirement,Links a higher-robustness requirement element to lower-robustness requirement content explicitly inherited through 'Same as Low/Medium' constructs.,SORARequirementElement,SORARequirementElement,=,0.6432,Missing,,,,Parent-clause membership is not equivalent to inheritance between robustness requirements.
39,class,class,https://example.org/mod-sbd#SecurityPlan,Security Plan,The programme security plan requested as an assurance artefact.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Plan,Plan,"A documented plan for a defined operational, organisational, or response purpose.",[Not explicitly stated],[Not explicitly stated],=,0.6272,Partial,,,,Security Plan is a specialised type of Plan.
40,class,class,https://example.org/mod-sbd#DesignStandard,Design Standard,A design standard into which lessons learned and improvement information may be incorporated.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard,An Airworthiness Design Standard used for UAS components essential to safe operations.,[Not explicitly stated],[Not explicitly stated],=,0.6178,Partial,,,,Airworthiness Design Standard is a domain-specific type of Design Standard.
41,class,class,https://example.org/mod-sbd#TrainingEvidence,Training Record or Evidence,"Evidence that required personnel training has been delivered, maintained or assessed.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#TrainingRecord,TrainingRecord,A retained record of training completed or competence evidence.,[Not explicitly stated],[Not explicitly stated],=,0.6124,Full,,,,Both represent retained evidence of completed training or demonstrated competence.
42,object_property,object_property,https://example.org/mod-sbd#contributesTo,contributes to,Indicates that a capability or activity contributes to a Defence strategic objective or essential function.,[anonymous class expression],[anonymous class expression],https://example.org/ontology/sora#conformsTo,conformsTo,"Represents conformity of a UAS, configuration, manufacturing output, process, or evidence item to design data, a standard, specification, or other source-defined reference.",[anonymous class expression],[anonymous class expression],=,0.6047,Missing,,,,Contribution to an objective is not equivalent to conformity with a standard or specification.
