No.,Matcher,Configuration,Source Ontology,Source Entity,Source IRI,Target Ontology,Target Entity,Target IRI,Profile,Confidence
18,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Security Property,https://example.org/mod-sbd#SecurityProperty,SORA v2.5,Security Property,https://example.org/ontology/sora#SecurityProperty,Classes and individuals,0.6
19,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Service,https://example.org/mod-sbd#Service,SORA v2.5,Service,https://example.org/ontology/sora#Service,Classes and individuals,0.5
20,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Standard,https://example.org/mod-sbd#Standard,SORA v2.5,Standard,https://example.org/ontology/sora#Standard,Classes and individuals,0.77
21,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,System,https://example.org/mod-sbd#System,SORA v2.5,System,https://example.org/ontology/sora#System,Classes and individuals,0.74
22,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Activity,https://example.org/mod-sbd#Activity,SORA v2.5,Activity,https://example.org/ontology/sora#Activity,Classes and object properties,0.9801
23,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Component,https://example.org/mod-sbd#Component,SORA v2.5,Component,https://example.org/ontology/sora#Component,Classes and object properties,0.99
24,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Critical Data,https://example.org/mod-sbd#CriticalData,SORA v2.5,Safety Critical Data,https://example.org/ontology/sora#SafetyCriticalData,Classes and object properties,0.7239
25,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Cyber Risk,https://example.org/mod-sbd#CyberRisk,SORA v2.5,Cyber Risk,https://example.org/ontology/sora#CyberRisk,Classes and object properties,0.9801
26,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Data,https://example.org/mod-sbd#Data,SORA v2.5,Data,https://example.org/ontology/sora#Data,Classes and object properties,0.9801
27,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Design Standard,https://example.org/mod-sbd#DesignStandard,SORA v2.5,Airworthiness Design Standard,https://example.org/ontology/sora#AirworthinessDesignStandard,Classes and object properties,0.6178
28,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Human Error,https://example.org/mod-sbd#HumanError,SORA v2.5,Human Error,https://example.org/ontology/sora#HumanError,Classes and object properties,0.9878
29,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Information Artifact,https://example.org/mod-sbd#InformationArtifact,SORA v2.5,Information Artifact,https://example.org/ontology/sora#InformationArtifact,Classes and object properties,0.9801
30,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Lifecycle Context,https://example.org/mod-sbd#LifecycleContext,SORA v2.5,Lifecycle Context,https://example.org/ontology/sora#LifecycleContext,Classes and object properties,0.9801
31,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Operational Context,https://example.org/mod-sbd#OperationalContext,SORA v2.5,Operational Context Element,https://example.org/ontology/sora#OperationalContextElement,Classes and object properties,0.6496
32,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Organisation,https://example.org/mod-sbd#Organisation,SORA v2.5,Organisation,https://example.org/ontology/sora#Organisation,Classes and object properties,0.9817
33,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Personnel,https://example.org/mod-sbd#Personnel,SORA v2.5,Person,https://example.org/ontology/sora#Person,Classes and object properties,0.69
34,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Programme,https://example.org/mod-sbd#Programme,SORA v2.5,Programme,https://example.org/ontology/sora#Programme,Classes and object properties,0.9873
35,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Risk,https://example.org/mod-sbd#Risk,SORA v2.5,Risk,https://example.org/ontology/sora#Risk,Classes and object properties,0.9801
36,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Security Mechanism,https://example.org/mod-sbd#SecurityMechanism,SORA v2.5,Security Mechanism,https://example.org/ontology/sora#SecurityMechanism,Classes and object properties,0.9801
37,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Security Plan,https://example.org/mod-sbd#SecurityPlan,SORA v2.5,Plan,https://example.org/ontology/sora#Plan,Classes and object properties,0.6272
38,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Security Principle Or Practice,https://example.org/mod-sbd#SecurityPrincipleOrPractice,SORA v2.5,Security Principle Or Practice,https://example.org/ontology/sora#SecurityPrincipleOrPractice,Classes and object properties,0.9801
39,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Security Property,https://example.org/mod-sbd#SecurityProperty,SORA v2.5,Security Property,https://example.org/ontology/sora#SecurityProperty,Classes and object properties,0.9801
40,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Service,https://example.org/mod-sbd#Service,SORA v2.5,Service,https://example.org/ontology/sora#Service,Classes and object properties,0.9856
41,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Standard,https://example.org/mod-sbd#Standard,SORA v2.5,Standard,https://example.org/ontology/sora#Standard,Classes and object properties,0.9899
42,AML,Fixed automatic configuration,MOD Secure by Design v1.0,System,https://example.org/mod-sbd#System,SORA v2.5,System,https://example.org/ontology/sora#System,Classes and object properties,0.9801
43,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Threat,https://example.org/mod-sbd#Threat,SORA v2.5,Threat Type,https://example.org/ontology/sora#ThreatType,Classes and object properties,0.6457
44,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Threat Actor Role,https://example.org/mod-sbd#ThreatActorRole,SORA v2.5,Actor Role,https://example.org/ontology/sora#ActorRole,Classes and object properties,0.6531
45,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Threat Concept,https://example.org/mod-sbd#ThreatConcept,SORA v2.5,Risk And Threat Concept,https://example.org/ontology/sora#RiskAndThreatConcept,Classes and object properties,0.6689
46,AML,Fixed automatic configuration,MOD Secure by Design v1.0,Training Evidence,https://example.org/mod-sbd#TrainingEvidence,SORA v2.5,Training Record,https://example.org/ontology/sora#TrainingRecord,Classes and object properties,0.6124
47,AML,Fixed automatic configuration,MOD Secure by Design v1.0,addresses Risk Concept,https://example.org/mod-sbd#addressesRiskConcept,SORA v2.5,addresses,https://example.org/ontology/sora#addresses,Classes and object properties,0.7715
48,AML,Fixed automatic configuration,MOD Secure by Design v1.0,applies To,https://example.org/mod-sbd#appliesTo,SORA v2.5,applies To Actor Role,https://example.org/ontology/sora#appliesToActorRole,Classes and object properties,0.8396
49,AML,Fixed automatic configuration,MOD Secure by Design v1.0,belongs To Principle,https://example.org/mod-sbd#belongsToPrinciple,SORA v2.5,belongs To OSO,https://example.org/ontology/sora#belongsToOSO,Classes and object properties,0.7825
50,AML,Fixed automatic configuration,MOD Secure by Design v1.0,contributes To,https://example.org/mod-sbd#contributesTo,SORA v2.5,conforms To,https://example.org/ontology/sora#conformsTo,Classes and object properties,0.6047
51,AML,Fixed automatic configuration,MOD Secure by Design v1.0,derived From,https://example.org/mod-sbd#derivedFrom,SORA v2.5,derived From Source Document,https://example.org/ontology/sora#derivedFromSourceDocument,Classes and object properties,0.8262
52,AML,Fixed automatic configuration,MOD Secure by Design v1.0,has Role,https://example.org/mod-sbd#hasRole,SORA v2.5,has Role,https://example.org/ontology/sora#hasRole,Classes and object properties,1.0
53,AML,Fixed automatic configuration,MOD Secure by Design v1.0,has Source Criterion,https://example.org/mod-sbd#hasSourceCriterion,SORA v2.5,has Criterion,https://example.org/ontology/sora#hasCriterion,Classes and object properties,0.9142
54,AML,Fixed automatic configuration,MOD Secure by Design v1.0,monitors,https://example.org/mod-sbd#monitors,SORA v2.5,monitors,https://example.org/ontology/sora#monitors,Classes and object properties,1.0
55,AML,Fixed automatic configuration,MOD Secure by Design v1.0,part Of Requirement,https://example.org/mod-sbd#partOfRequirement,SORA v2.5,inherits Requirement,https://example.org/ontology/sora#inheritsRequirement,Classes and object properties,0.6432
56,AML,Fixed automatic configuration,MOD Secure by Design v1.0,performs,https://example.org/mod-sbd#performs,SORA v2.5,performs Activity,https://example.org/ontology/sora#performsActivity,Classes and object properties,0.8381
57,AML,Fixed automatic configuration,MOD Secure by Design v1.0,protects,https://example.org/mod-sbd#protects,SORA v2.5,protects,https://example.org/ontology/sora#protects,Classes and object properties,1.0
58,AML,Fixed automatic configuration,MOD Secure by Design v1.0,records,https://example.org/mod-sbd#records,SORA v2.5,records,https://example.org/ontology/sora#records,Classes and object properties,1.0
59,AML,Fixed automatic configuration,MOD Secure by Design v1.0,requires,https://example.org/mod-sbd#requires,SORA v2.5,requires Evidence,https://example.org/ontology/sora#requiresEvidence,Classes and object properties,0.8381
60,AML,Fixed automatic configuration,MOD Secure by Design v1.0,requires Activity,https://example.org/mod-sbd#requiresActivity,SORA v2.5,requires Activity Type,https://example.org/ontology/sora#requiresActivityType,Classes and object properties,0.9323
61,AML,Fixed automatic configuration,MOD Secure by Design v1.0,requires Security Control,https://example.org/mod-sbd#requiresSecurityControl,SORA v2.5,requires Security Mechanism,https://example.org/ontology/sora#requiresSecurityMechanism,Classes and object properties,0.7964
62,AML,Fixed automatic configuration,MOD Secure by Design v1.0,requires Security Practice,https://example.org/mod-sbd#requiresSecurityPractice,SORA v2.5,requires Security Principle,https://example.org/ontology/sora#requiresSecurityPrinciple,Classes and object properties,0.8338
63,AML,Fixed automatic configuration,MOD Secure by Design v1.0,uses,https://example.org/mod-sbd#uses,SORA v2.5,uses Standard Or Means,https://example.org/ontology/sora#usesStandardOrMeans,Classes and object properties,0.6835
64,BERTMap,Fine-tuned; global matching; filtered,MOD Secure by Design v1.0,Activity,https://example.org/mod-sbd#Activity,SORA v2.5,Activity,https://example.org/ontology/sora#Activity,Classes only,1.0
65,BERTMap,Fine-tuned; global matching; filtered,MOD Secure by Design v1.0,Component,https://example.org/mod-sbd#Component,SORA v2.5,Component,https://example.org/ontology/sora#Component,Classes only,1.0
66,BERTMap,Fine-tuned; global matching; filtered,MOD Secure by Design v1.0,Data,https://example.org/mod-sbd#Data,SORA v2.5,Data,https://example.org/ontology/sora#Data,Classes only,1.0
67,BERTMap,Fine-tuned; global matching; filtered,MOD Secure by Design v1.0,Organisation,https://example.org/mod-sbd#Organisation,SORA v2.5,Organisation,https://example.org/ontology/sora#Organisation,Classes only,1.0
68,BERTMap,Fine-tuned; global matching; filtered,MOD Secure by Design v1.0,Programme,https://example.org/mod-sbd#Programme,SORA v2.5,Programme,https://example.org/ontology/sora#Programme,Classes only,1.0
69,BERTMap,Fine-tuned; global matching; filtered,MOD Secure by Design v1.0,Risk,https://example.org/mod-sbd#Risk,SORA v2.5,Risk,https://example.org/ontology/sora#Risk,Classes only,1.0
70,BERTMap,Fine-tuned; global matching; filtered,MOD Secure by Design v1.0,Service,https://example.org/mod-sbd#Service,SORA v2.5,Service,https://example.org/ontology/sora#Service,Classes only,1.0
71,BERTMap,Fine-tuned; global matching; filtered,MOD Secure by Design v1.0,Standard,https://example.org/mod-sbd#Standard,SORA v2.5,Standard,https://example.org/ontology/sora#Standard,Classes only,1.0
72,BERTMap,Fine-tuned; global matching; filtered,MOD Secure by Design v1.0,System,https://example.org/mod-sbd#System,SORA v2.5,System,https://example.org/ontology/sora#System,Classes only,1.0
