mapping_id,matchers,shared_mapping,source_type,target_type,source_iri,source_label,source_definition,target_iri,target_label,target_definition,logmap_score,aml_score,manual_classification,assurance_relevance,reviewer_decision,review_notes
17,LogMap;AML,True,class,class,https://example.org/mod-sbd#Programme,Programme,The Defence acquisition/development/delivery programme within which SbD activity is governed across the capability lifecycle.,https://example.org/ontology/sora#Programme,Programme,A structured organisational programme maintained for a defined assurance purpose.,0.75,0.9873,,,,
18,LogMap;AML,True,class,class,https://example.org/mod-sbd#Risk,Risk,A potential for adverse consequence considered in programme cybersecurity decision-making.,https://example.org/ontology/sora#Risk,Risk,A SORA-relevant risk combining likelihood/frequency and consequence/severity.,0.81,0.9801,,,,
19,LogMap;AML,True,class,class,https://example.org/mod-sbd#SecurityMechanism,Security Mechanism,A technical or procedural mechanism used to provide a security or resilience function.,https://example.org/ontology/sora#SecurityMechanism,SecurityMechanism,"A security mechanism or control approach such as access control, encryption, anti-replay, digital signatures, hashes, malware protection, or wireless protection.",0.6,0.9801,,,,
20,LogMap;AML,True,class,class,https://example.org/mod-sbd#SecurityPlan,Security Plan,The programme security plan requested as an assurance artefact.,https://example.org/ontology/sora#Plan,Plan,"A documented plan for a defined operational, organisational, or response purpose.",0.51,0.6272,,,,
21,LogMap;AML,True,class,class,https://example.org/mod-sbd#SecurityPrincipleOrPractice,Security Principle or Practice,A cybersecurity principle or recognised practice expressed by the SbD requirements.,https://example.org/ontology/sora#SecurityPrincipleOrPractice,SecurityPrincipleOrPractice,A named cybersecurity principle or practice referenced by the Cyber Safety Extension.,0.6,0.9801,,,,
22,LogMap;AML,True,class,class,https://example.org/mod-sbd#SecurityProperty,Security Property,A cybersecurity property or objective that SbD requirements seek to protect or achieve.,https://example.org/ontology/sora#SecurityProperty,SecurityProperty,"A protected cybersecurity attribute or capability, such as confidentiality, integrity, availability, authenticity, or resilience.",0.6,0.9801,,,,
23,LogMap;AML,True,class,class,https://example.org/mod-sbd#Service,Service,"A service acquired, used, supported or exited as part of programme delivery.",https://example.org/ontology/sora#Service,Service,A service that supports UAS operations or assurance activities.,0.5,0.9856,,,,
24,LogMap;AML,True,class,class,https://example.org/mod-sbd#Standard,Standard,"A normative standard used to guide design, development or assurance.",https://example.org/ontology/sora#Standard,Standard,"A standard used as an accepted design, process, training, or assurance reference.",0.77,0.9899,,,,
25,LogMap;AML,True,class,class,https://example.org/mod-sbd#System,System,"A technical or socio-technical system subject to acquisition, use, exit, risk assessment or security controls.",https://example.org/ontology/sora#System,System,A technical system considered by SORA requirements.,0.74,0.9801,,,,
26,AML,False,class,class,https://example.org/mod-sbd#Threat,Threat,"A cyber threat or threat condition that informs risk appetite, assessment and security decisions.",https://example.org/ontology/sora#ThreatType,ThreatType,A controlled type of cybersecurity threat or attack referenced by the SORA Cyber Safety Extension.,,0.6457,,,,
27,AML,False,class,class,https://example.org/mod-sbd#ThreatActorRole,Threat Actor,"An adversarial role whose objectives, perspective or actions are considered in threat analysis.",https://example.org/ontology/sora#ActorRole,ActorRole,"A source-defined role that an Actor may hold, such as Applicant, Operator, Remote Pilot, Supplier, or Competent Authority.",,0.6531,,,,
28,AML,False,class,class,https://example.org/mod-sbd#ThreatConcept,Threat Concept,"A concept describing cyber threats, adversarial scenarios or assumptions.",https://example.org/ontology/sora#RiskAndThreatConcept,RiskAndThreatConcept,"A risk, hazard, failure, threat, event, or condition relevant to SORA safety or cyber safety.",,0.6689,,,,
29,AML,False,class,class,https://example.org/mod-sbd#TrainingEvidence,Training Record or Evidence,"Evidence that required personnel training has been delivered, maintained or assessed.",https://example.org/ontology/sora#TrainingRecord,TrainingRecord,A retained record of training completed or competence evidence.,,0.6124,,,,
30,AML,False,object_property,object_property,https://example.org/mod-sbd#addressesRiskConcept,addresses risk concept,"Links an SbD requirement to a threat, vulnerability, risk, adverse event or related risk concept addressed by it.",https://example.org/ontology/sora#addresses,addresses,"Links a requirement element or activity to a risk, threat, hazard, failure, human error, event, or adverse condition that it addresses.",,0.7715,,,,
31,AML,False,object_property,object_property,https://example.org/mod-sbd#appliesTo,applies to,Relates an SbD requirement to a managed/protected object or organisational context to which the obligation applies.,https://example.org/ontology/sora#appliesToActorRole,appliesToActorRole,Associates a SORA requirement element with the source-defined actor role responsible for or directly subject to the requirement.,,0.8396,,,,
32,AML,False,object_property,object_property,https://example.org/mod-sbd#belongsToPrinciple,belongs to principle,Associates an SbD requirement directly with its official SbD principle.,https://example.org/ontology/sora#belongsToOSO,belongsToOSO,Links a SORA requirement element to the Operational Safety Objective it supports.,,0.7825,,,,
33,AML,False,object_property,object_property,https://example.org/mod-sbd#contributesTo,contributes to,Indicates that a capability or activity contributes to a Defence strategic objective or essential function.,https://example.org/ontology/sora#conformsTo,conformsTo,"Represents conformity of a UAS, configuration, manufacturing output, process, or evidence item to design data, a standard, specification, or other source-defined reference.",,0.6047,,,,
34,AML,False,object_property,object_property,https://example.org/mod-sbd#derivedFrom,derived from,"Indicates that a concept, artefact or decision is derived from another source statement, assessment or artefact.",https://example.org/ontology/sora#derivedFromSourceDocument,derivedFromSourceDocument,Links an official or analytical requirement element to the controlled SORA source document from which it was derived.,,0.8262,,,,
35,AML,False,object_property,object_property,https://example.org/mod-sbd#hasRole,has role,Associates a programme or organisation with a role that exists within its SbD governance or delivery context.,https://example.org/ontology/sora#hasRole,hasRole,Links a person or organisation to a source-defined SORA actor role it bears.,,1.0,,,,
36,AML,False,object_property,object_property,https://example.org/mod-sbd#hasSourceCriterion,has source criterion,Associates an SbD requirement with the official SbD criterion/evidence area from which it originates.,https://example.org/ontology/sora#hasCriterion,hasCriterion,Links a SORA requirement element to its source criterion.,,0.9142,,,,
37,AML,False,object_property,object_property,https://example.org/mod-sbd#monitors,monitors,"Relates a monitoring activity to risk, controls, remediation, capabilities, mechanisms or other monitored subjects.",https://example.org/ontology/sora#monitors,monitors,"Links an actual actor or system to a system, service, performance characteristic, condition, log, or threat context that it monitors.",,1.0,,,,
38,AML,False,object_property,object_property,https://example.org/mod-sbd#partOfRequirement,part of requirement,Links an atomic requirement clause candidate back to its official parent SbD requirement.,https://example.org/ontology/sora#inheritsRequirement,inheritsRequirement,Links a higher-robustness requirement element to lower-robustness requirement content explicitly inherited through 'Same as Low/Medium' constructs.,,0.6432,,,,
39,AML,False,object_property,object_property,https://example.org/mod-sbd#performs,performs,Associates an organisational concept with an activity it performs.,https://example.org/ontology/sora#performsActivity,performsActivity,"Links an actual actor to an actual performed assurance, operational, maintenance, training, audit, or other activity.",,0.8381,,,,
40,AML,False,object_property,object_property,https://example.org/mod-sbd#protects,protects,"Relates a security control, activity or security practice to the managed/protected object it protects.",https://example.org/ontology/sora#protects,protects,Links a requirement element or security mechanism to the security property or safety objective it protects.,,1.0,,,,
41,AML,False,object_property,object_property,https://example.org/mod-sbd#records,records,"Relates an activity or organisational concept to a record, inventory or documented evidence item it creates or maintains.",https://example.org/ontology/sora#records,records,Links an actor or system to a Record or Log that it records or maintains.,,1.0,,,,
42,AML,False,object_property,object_property,https://example.org/mod-sbd#requires,requires,"General obligation relationship indicating that an SbD requirement calls for an activity, security practice, control or other domain element.",https://example.org/ontology/sora#requiresEvidence,requiresEvidence,"Links a SORA Assurance requirement to evidence that must be available, documented, provided, or produced.",,0.8381,,,,
43,AML,False,object_property,object_property,https://example.org/mod-sbd#requiresActivity,requires activity,Indicates an activity that must be performed to satisfy an SbD requirement.,https://example.org/ontology/sora#requiresActivityType,requiresActivityType,States that satisfaction of a SORA requirement entails an activity or process of the specified type.,,0.9323,,,,
44,AML,False,object_property,object_property,https://example.org/mod-sbd#requiresSecurityControl,requires security control,Indicates a security control that is required by an SbD requirement.,https://example.org/ontology/sora#requiresSecurityMechanism,requiresSecurityMechanism,Links a requirement element to a security mechanism or control that the source requires or explicitly identifies.,,0.7964,,,,
45,AML,False,object_property,object_property,https://example.org/mod-sbd#requiresSecurityPractice,requires security practice,Indicates a security principle or recognised practice required or expressed as an obligation by an SbD requirement.,https://example.org/ontology/sora#requiresSecurityPrinciple,requiresSecurityPrinciple,Links a requirement element to a named SORA/Cyber Extension security principle or practice it explicitly requires or incorporates.,,0.8338,,,,
46,AML,False,object_property,object_property,https://example.org/mod-sbd#uses,uses,"Relates an activity, decision or assurance artefact to an information resource, artefact, asset, control or method it uses.",https://example.org/ontology/sora#usesStandardOrMeans,usesStandardOrMeans,"Links a requirement, activity, or assurance artefact to a Standard or Means of Compliance used to substantiate satisfaction.",,0.6835,,,,
