review_candidate_number,source_iri,source_label,source_comment,candidate_rank,target_iri,target_label,target_comment,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes,source_definition,target_definition,review_basis
11,https://example.org/mod-sbd#CyberRisk,Cyber Risk,"Risk arising from cybersecurity threats, vulnerabilities, dependencies or failures that may affect programme capabilities or essential functions.",1,https://example.org/ontology/sora#CyberRisk,CyberRisk,Risk arising from cyber threats affecting the UAS operation or its supporting systems.,0.533393,0.158583,0.40221,low review priority,True,Full,,,,"Risk arising from cybersecurity threats, vulnerabilities, dependencies or failures that may affect programme capabilities or essential functions.",Risk arising from cyber threats affecting the UAS operation or its supporting systems.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
12,https://example.org/mod-sbd#DesignStandard,Design Standard,A design standard into which lessons learned and improvement information may be incorporated.,1,https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard,An Airworthiness Design Standard used for UAS components essential to safe operations.,0.464329,0.264222,0.394292,low review priority,True,Partial,,,,A design standard into which lessons learned and improvement information may be incorporated.,An Airworthiness Design Standard used for UAS components essential to safe operations.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
13,https://example.org/mod-sbd#SecurityAuthorisationDecision,Security Authorisation Decision,An informed decision by an accountable risk owner about the cyber risk held by a capability.,1,https://example.org/ontology/sora#OperationalAuthorisation,OperationalAuthorisation,An operational authorisation governing the approved UAS operation.,0.524521,0.050298,0.358543,low review priority,True,Partial,,,,An informed decision by an accountable risk owner about the cyber risk held by a capability.,An operational authorisation governing the approved UAS operation.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
14,https://example.org/mod-sbd#SbDRequirement,SbD Requirement,An official MOD Secure by Design requirement represented with its source identifier and exact wording.,1,https://example.org/ontology/sora#SORARequirement,SORARequirement,An official claimable SORA obligation from the controlled requirements register.,0.530679,0.034593,0.357049,low review priority,True,Full,,,,An official MOD Secure by Design requirement represented with its source identifier and exact wording.,An official claimable SORA obligation from the controlled requirements register.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
15,https://example.org/mod-sbd#Threat,Threat,"A cyber threat or threat condition that informs risk appetite, assessment and security decisions.",1,https://example.org/ontology/sora#ThreatType,ThreatType,A controlled type of cybersecurity threat or attack referenced by the SORA Cyber Safety Extension.,0.483588,0.08762,0.344999,low review priority,True,Partial,,,,"A cyber threat or threat condition that informs risk appetite, assessment and security decisions.",A controlled type of cybersecurity threat or attack referenced by the SORA Cyber Safety Extension.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
16,https://example.org/mod-sbd#LifecycleSecurityPractice,Lifecycle Security Practice,"A security practice concerned with secure through-life handling, archival management or disposal.",1,https://example.org/ontology/sora#LifecycleContext,LifecycleContext,"A controlled lifecycle or operational context in which a requirement, activity, or assurance expectation applies.",0.495302,0.042079,0.336674,low review priority,True,Weak,,,,"A security practice concerned with secure through-life handling, archival management or disposal.","A controlled lifecycle or operational context in which a requirement, activity, or assurance expectation applies.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
17,https://example.org/mod-sbd#RiskConcept,Risk Concept,"A threat, vulnerability, adverse event, risk, contributor or treatment concept relevant to SbD.",1,https://example.org/ontology/sora#SORAConcept,SORAConcept,Root grouping class for concepts required to represent the controlled SORA supplier-assurance domain.,0.508937,0.0,0.330809,low review priority,True,Partial,,,,"A threat, vulnerability, adverse event, risk, contributor or treatment concept relevant to SbD.",Root grouping class for concepts required to represent the controlled SORA supplier-assurance domain.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
18,https://example.org/mod-sbd#SecurityControl,Security Control,"A control selected, monitored, reviewed or resourced to manage cybersecurity risk.",1,https://example.org/ontology/sora#ControlStation,ControlStation,A station used to control or supervise the unmanned aircraft.,0.448911,0.07042,0.316439,low review priority,True,Missing,,,,"A control selected, monitored, reviewed or resourced to manage cybersecurity risk.",A station used to control or supervise the unmanned aircraft.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
19,https://example.org/mod-sbd#SupplierOrganisation,Supplier Organisation,"An external organisation supplying goods, services, support or resources to a programme.",1,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture,The organisational culture supporting cyber safety and safety responsibilities.,0.486726,0.0,0.316372,low review priority,True,Missing,,,,"An external organisation supplying goods, services, support or resources to a programme.",The organisational culture supporting cyber safety and safety responsibilities.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
20,https://example.org/mod-sbd#OrganisationalRiskAppetiteStatement,Organisational Risk Appetite Statement,An organisational statement that informs the programme risk appetite.,1,https://example.org/ontology/sora#OrganisationalArrangement,OrganisationalArrangement,"An organisational structure, management system, programme, or culture established to satisfy SORA requirements.",0.445057,0.072192,0.314554,low review priority,True,Weak,,,,An organisational statement that informs the programme risk appetite.,"An organisational structure, management system, programme, or culture established to satisfy SORA requirements.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
21,https://example.org/mod-sbd#RiskDecisionInformation,Risk Decision Information,Information supplied to an accountable risk owner to support an informed risk decision.,1,https://example.org/ontology/sora#InformationArtifact,InformationArtifact,"A data, document, record, or assurance artefact that can be created, maintained, reviewed, or supplied as part of SORA assurance.",0.458672,0.039029,0.311797,low review priority,True,Partial,,,,Information supplied to an accountable risk owner to support an informed risk decision.,"A data, document, record, or assurance artefact that can be created, maintained, reviewed, or supplied as part of SORA assurance.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
22,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.",1,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,"An artefact whose primary purpose is to support, state, or demonstrate assurance.",0.400606,0.128946,0.305525,low review priority,True,Full,,,,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation.","An artefact whose primary purpose is to support, state, or demonstrate assurance.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
23,https://example.org/mod-sbd#AssetManagement,Asset Management,Manage assets through life in line with MOD policy.,1,https://example.org/ontology/sora#ManagementSystem,ManagementSystem,A managed organisational system used to control an assurance-relevant domain.,0.463092,0.0,0.30101,low review priority,True,Weak,,,,Manage assets through life in line with MOD policy.,A managed organisational system used to control an assurance-relevant domain.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
24,https://example.org/mod-sbd#SecurityManagementConcept,Security Management Concept,"An abstract management concept used to govern cybersecurity decisions, risk, controls or awareness.",1,https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept,An abstract cybersecurity or safety concept referenced by the SORA requirement set.,0.374069,0.144997,0.293894,low review priority,True,Partial,,,,"An abstract management concept used to govern cybersecurity decisions, risk, controls or awareness.",An abstract cybersecurity or safety concept referenced by the SORA requirement set.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
25,https://example.org/mod-sbd#CybersecurityDecision,Cybersecurity Decision,"A decision relating to cybersecurity, risk or programme action informed by relevant information.",1,https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation,An industry-recognised cybersecurity accreditation.,0.420652,0.051778,0.291546,low review priority,True,Weak,,,,"A decision relating to cybersecurity, risk or programme action informed by relevant information.",An industry-recognised cybersecurity accreditation.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
26,https://example.org/mod-sbd#ExternalRequirement,"External Legal, Regulatory or Policy Requirement","A legal, regulatory or policy requirement external to the SbD requirement set that a programme must understand or consider.",1,https://example.org/ontology/sora#Policy,Policy,"A policy defining organisational expectations, controls, or responsibilities.",0.382735,0.115758,0.289293,low review priority,True,Partial,,,,"A legal, regulatory or policy requirement external to the SbD requirement set that a programme must understand or consider.","A policy defining organisational expectations, controls, or responsibilities.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
27,https://example.org/mod-sbd#RiskManagementActivity,Risk Management Activity,"An activity used to identify, assess, treat, communicate or monitor cyber risk.",1,https://example.org/ontology/sora#ActivityType,ActivityType,"A controlled vocabulary entry identifying the kind of activity required or performed, such as audit, test, validation, monitoring, maintenance, or training.",0.412974,0.039971,0.282423,low review priority,True,Partial,,,,"An activity used to identify, assess, treat, communicate or monitor cyber risk.","A controlled vocabulary entry identifying the kind of activity required or performed, such as audit, test, validation, monitoring, maintenance, or training.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
28,https://example.org/mod-sbd#SocioTechnicalRisk,Socio-Technical Risk,"Risk arising from interacting technical, human, organisational, policy and workflow factors.",1,https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset,"A technical system, component, communication element, or interface relevant to the SORA requirements.",0.385667,0.084556,0.280278,low review priority,True,Missing,,,,"Risk arising from interacting technical, human, organisational, policy and workflow factors.","A technical system, component, communication element, or interface relevant to the SORA requirements.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
29,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",1,https://example.org/ontology/sora#AdverseEnvironmentalCondition,AdverseEnvironmentalCondition,An adverse environmental condition relevant to UAS design or operation.,0.29838,0.099505,0.228774,very low textual similarity,True,Missing,,,,"An adverse cybersecurity event affecting a capability, system, data or essential function.",An adverse environmental condition relevant to UAS design or operation.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
30,https://example.org/mod-sbd#PostIncidentOperationalNorm,Post-Incident Operational Norm,The intended operational state established through prioritised post-incident recovery actions.,1,https://example.org/ontology/sora#OperationalVolume,OperationalVolume,The volume within which the UAS operation is intended to take place safely.,0.292163,0.049107,0.207093,very low textual similarity,True,Missing,,,,The intended operational state established through prioritised post-incident recovery actions.,The volume within which the UAS operation is intended to take place safely.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
31,https://example.org/mod-sbd#Vulnerability,Vulnerability,"A weakness that may be exploited and must be understood, assessed and managed.",1,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,0.225036,0.0,0.146274,very low textual similarity,True,Missing,,,,"A weakness that may be exploited and must be understood, assessed and managed.",A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
32,https://example.org/mod-sbd#SecureDevelopment,Secure Development,Integrate and monitor secure development practices throughout delivery.,1,https://example.org/ontology/sora#Equipment,Equipment,"Equipment relevant to manufacturing, operation, maintenance, or assurance.",0.176033,0.0,0.114421,very low textual similarity,True,Missing,,,,Integrate and monitor secure development practices throughout delivery.,"Equipment relevant to manufacturing, operation, maintenance, or assurance.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
33,https://example.org/mod-sbd#IdentifyRisk,Identify Risk,Identify cyber risks affecting programme capabilities or essential functions.,1,https://example.org/ontology/sora#Credential,Credential,A formal credential indicating recognised organisational or individual standing.,0.166004,0.0,0.107903,very low textual similarity,True,Missing,,,,Identify cyber risks affecting programme capabilities or essential functions.,A formal credential indicating recognised organisational or individual standing.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
34,https://example.org/mod-sbd#MonitorRiskEffectiveness,Monitor Risk or Effectiveness,"Monitor security, risk, controls, remediation or resilience and review effectiveness over time.",1,https://example.org/ontology/sora#SafetyObjective,SafetyObjective,A safety objective or desired safety outcome referenced in SORA requirements.,0.148474,0.0,0.096508,very low textual similarity,True,Weak,,,,"Monitor security, risk, controls, remediation or resilience and review effectiveness over time.",A safety objective or desired safety outcome referenced in SORA requirements.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
35,https://example.org/mod-sbd#DevelopSecurely,Develop Securely,Integrate secure practices throughout capability development and delivery.,1,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope,The designed or permitted flight envelope relevant to operational safety and protection functions.,0.141906,0.0,0.092239,very low textual similarity,True,Missing,,,,Integrate secure practices throughout capability development and delivery.,The designed or permitted flight envelope relevant to operational safety and protection functions.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
36,https://example.org/mod-sbd#RiskTreatment,Risk Treatment,A concept describing the selected response or treatment of identified risk.,1,https://example.org/ontology/sora#OfficialCommitment,OfficialCommitment,"An official commitment that can support an assurance assertion, including commitments between service provider and applicant.",0.130768,0.0,0.084999,very low textual similarity,True,Weak,,,,A concept describing the selected response or treatment of identified risk.,"An official commitment that can support an assurance assertion, including commitments between service provider and applicant.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
37,https://example.org/mod-sbd#IncidentContainment,Incident Containment,Contain or limit the impact of an incident during response.,1,https://example.org/ontology/sora#EnvironmentalCondition,EnvironmentalCondition,An environmental condition that can affect safe UAS operation.,0.106985,0.0,0.06954,very low textual similarity,True,Missing,,,,Contain or limit the impact of an incident during response.,An environmental condition that can affect safe UAS operation.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
38,https://example.org/mod-sbd#Tier1Supplier,Tier 1 Supplier,A first-tier supplier within the supply-chain assurance scope.,1,https://example.org/ontology/sora#NotApplicablePlaceholder,NotApplicablePlaceholder,An official Low/Medium/High register placeholder whose source content is N/A or otherwise non-positive.,0.065809,0.0,0.042776,very low textual similarity,True,Missing,,,,A first-tier supplier within the supply-chain assurance scope.,An official Low/Medium/High register placeholder whose source content is N/A or otherwise non-positive.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
